
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8517, e=0.0995, goal_e=0.2411, Fr=1.0000, Fs=0.5190, reward=-414.312
[t=672000.0s] a=8519, e=0.0992, goal_e=0.2411, Fr=0.6256, Fs=0.8344, reward=-425.895
[t=684000.0s] a=8520, e=0.0992, goal_e=0.2411, Fr=-0.5202, Fs=-0.3560, reward=-428.474
[t=696000.0s] a=8522, e=0.1002, goal_e=0.2411, Fr=-0.9085, Fs=-0.0194, reward=-438.012
[t=708000.0s] a=8518, e=0.1006, goal_e=0.2411, Fr=-0.1226, Fs=-1.0000, reward=-418.562
[t=720000.0s] a=8513, e=0.1013, goal_e=0.2411, Fr=-0.8720, Fs=1.0000, reward=-398.319
[t=732000.0s] a=8505, e=0.1003, goal_e=0.2411, Fr=-1.0000, Fs=-0.8157, reward=-376.565
[t=744000.0s] a=8500, e=0.1002, goal_e=0.2411, Fr=0.3551, Fs=0.5112, reward=-371.200
[t=756000.0s] a=8488, e=0.0986, goal_e=0.2411, Fr=-0.3140, Fs=-1.0000, reward=-396.821
[t=768000.0s] a=8495, e=0.0983, goal_e=0.2411, Fr=-0.9508, Fs=0.4908, reward=-380.353
[t=780000.0s] a=8485, e=0.0981, goal_e=0.2411, Fr=-0.4395, Fs=1.0000, reward=-209.234
[t=792000.0s] a=8478, e=0.0977, goal_e=0.2411, Fr=-0.8895, Fs=-0.0810, reward=-241.587
[t=804000.0s] a=8480, e=0.0983, goal_e=0.2411, Fr=-1.0000, Fs=-1.0000, reward=-430.687
[t=816000.0s] a=8479, e=0.0966, goal_e=0.2411, Fr=-0.0845, Fs=-0.0640, reward=-435.582
[t=828000.0s] a=8482, e=0.0967, goal_e=0.2411, Fr=0.8655, Fs=-1.0000, reward=-224.484
[t=840000.0s] a=8478, e=0.0974, goal_e=0.2411, Fr=1.0000, Fs=0.6206, reward=-441.987
[t=852000.0s] a=8470, e=0.0976, goal_e=0.2411, Fr=-1.0000, Fs=-1.0000, reward=-280.589
[t=864000.0s] a=8467, e=0.0981, goal_e=0.2411, Fr=0.1851, Fs=-0.8818, reward=-495.029
[t=876000.0s] a=8470, e=0.0977, goal_e=0.2411, Fr=-0.5577, Fs=-0.1876, reward=-278.738
[t=888000.0s] a=8460, e=0.0972, goal_e=0.2411, Fr=0.7272, Fs=-0.8714, reward=-522.529
[t=900000.0s] a=8465, e=0.0966, goal_e=0.2411, Fr=-0.6783, Fs=1.0000, reward=-506.501
[t=912000.0s] a=8470, e=0.0968, goal_e=0.2411, Fr=-1.0000, Fs=-1.0000, reward=-483.603
[t=924000.0s] a=8468, e=0.0963, goal_e=0.2411, Fr=0.3640, Fs=-0.2873, reward=-490.370
[t=936000.0s] a=8472, e=0.0971, goal_e=0.2411, Fr=-1.0000, Fs=-0.7220, reward=-474.942
[t=948000.0s] a=8473, e=0.0972, goal_e=0.2411, Fr=0.1338, Fs=-0.5349, reward=-464.769
[t=960000.0s] a=8471, e=0.0979, goal_e=0.2411, Fr=-0.0937, Fs=0.3719, reward=-471.037
[t=972000.0s] a=8465, e=0.0978, goal_e=0.2411, Fr=-0.5208, Fs=0.0941, reward=-301.243
[t=984000.0s] a=8458, e=0.0986, goal_e=0.2411, Fr=-0.3523, Fs=-1.0000, reward=-341.950
[t=996000.0s] a=8457, e=0.0979, goal_e=0.2411, Fr=0.3866, Fs=-0.6458, reward=-548.782
[t=1008000.0s] a=8452, e=0.0969, goal_e=0.2411, Fr=-0.4356, Fs=0.5769, reward=-588.065
[t=1020000.0s] a=8452, e=0.0982, goal_e=0.2411, Fr=0.1014, Fs=-0.7751, reward=-586.233
[t=1032000.0s] a=8450, e=0.0979, goal_e=0.2411, Fr=-1.0000, Fs=-1.0000, reward=-399.891
[t=1044000.0s] a=8461, e=0.0990, goal_e=0.2411, Fr=0.9355, Fs=-0.4431, reward=-318.623
[t=1056000.0s] a=8447, e=0.0997, goal_e=0.2411, Fr=1.0000, Fs=-0.7717, reward=-616.876
[t=1068000.0s] a=8451, e=0.0997, goal_e=0.2411, Fr=-0.5839, Fs=0.8439, reward=-592.884
[t=1080000.0s] a=8448, e=0.1005, goal_e=0.2411, Fr=1.0000, Fs=-0.3583, reward=-612.458
[t=1092000.0s] a=8446, e=0.1017, goal_e=0.2411, Fr=-0.8162, Fs=0.9175, reward=-624.509
[t=1104000.0s] a=8453, e=0.1019, goal_e=0.2411, Fr=0.2882, Fs=-0.0576, reward=-564.766
[t=1116000.0s] a=8459, e=0.1020, goal_e=0.2411, Fr=-0.5904, Fs=0.7254, reward=-526.034
[t=1128000.0s] a=8466, e=0.1027, goal_e=0.2411, Fr=0.5800, Fs=1.0000, reward=-287.846
[t=1140000.0s] a=8464, e=0.1032, goal_e=0.2411, Fr=-0.9550, Fs=0.8627, reward=-495.622
[t=1152000.0s] a=8473, e=0.1046, goal_e=0.2411, Fr=0.7786, Fs=-0.5806, reward=-252.170
[t=1164000.0s] a=8456, e=0.1057, goal_e=0.2411, Fr=-0.3504, Fs=-1.0000, reward=-336.587
[t=1176000.0s] a=8479, e=0.1063, goal_e=0.2411, Fr=0.5868, Fs=-0.2107, reward=-219.344
[t=1188000.0s] a=8481, e=0.1054, goal_e=0.2411, Fr=0.3693, Fs=0.3892, reward=-411.610
[t=1200000.0s] a=8486, e=0.1054, goal_e=0.2411, Fr=1.0000, Fs=-1.0000, reward=-191.206
[t=1212000.0s] a=8487, e=0.1037, goal_e=0.2411, Fr=-1.0000, Fs=0.1353, reward=-170.554
[t=1224000.0s] a=8482, e=0.1042, goal_e=0.2411, Fr=0.4228, Fs=-0.3833, reward=-208.618
[t=1236000.0s] a=8475, e=0.1045, goal_e=0.2411, Fr=-1.0000, Fs=1.0000, reward=-244.721
[t=1248000.0s] a=8472, e=0.1043, goal_e=0.2411, Fr=1.0000, Fs=0.9845, reward=-457.785
[t=1260000.0s] a=8489, e=0.1041, goal_e=0.2411, Fr=0.7068, Fs=-1.0000, reward=-385.822
[t=1272000.0s] a=8495, e=0.1051, goal_e=0.2411, Fr=-0.6530, Fs=-1.0000, reward=-166.754
[t=1284000.0s] a=8492, e=0.1061, goal_e=0.2411, Fr=-0.7536, Fs=-0.5150, reward=-372.004
[t=1296000.0s] a=8483, e=0.1063, goal_e=0.2411, Fr=0.5783, Fs=-0.5904, reward=-912.108
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8498, e=0.2019, goal_e=0.0413, Fr=-0.7421, Fs=0.0070, reward=-389.975
[t=24000.0s] a=8497, e=0.2005, goal_e=0.0413, Fr=0.9371, Fs=-0.1367, reward=-389.169
[t=36000.0s] a=8499, e=0.2008, goal_e=0.0413, Fr=-1.0000, Fs=-0.5041, reward=-409.282
[t=48000.0s] a=8499, e=0.2006, goal_e=0.0413, Fr=1.0000, Fs=-1.0000, reward=-408.460
[t=60000.0s] a=8500, e=0.2017, goal_e=0.0413, Fr=0.3299, Fs=-0.1424, reward=-387.082
[t=72000.0s] a=8493, e=0.2023, goal_e=0.0413, Fr=-0.1953, Fs=0.7810, reward=-218.758
[t=84000.0s] a=8502, e=0.2029, goal_e=0.0413, Fr=0.4086, Fs=0.9938, reward=-213.509
[t=96000.0s] a=8497, e=0.2026, goal_e=0.0413, Fr=-0.6047, Fs=-1.0000, reward=-413.459
[t=108000.0s] a=8487, e=0.2026, goal_e=0.0413, Fr=0.1190, Fs=-0.4208, reward=-235.909
[t=120000.0s] a=8477, e=0.2026, goal_e=0.0413, Fr=1.0000, Fs=-1.0000, reward=-480.405
[t=132000.0s] a=8484, e=0.2029, goal_e=0.0413, Fr=-1.0000, Fs=-0.0256, reward=-431.955
[t=144000.0s] a=8482, e=0.2048, goal_e=0.0413, Fr=-0.7824, Fs=-1.0000, reward=-461.093
[t=156000.0s] a=8485, e=0.2053, goal_e=0.0413, Fr=-0.6703, Fs=0.2236, reward=-449.042
[t=168000.0s] a=8490, e=0.2051, goal_e=0.0413, Fr=0.7997, Fs=-1.0000, reward=-434.133
[t=180000.0s] a=8494, e=0.2057, goal_e=0.0413, Fr=1.0000, Fs=1.0000, reward=-425.257
[t=192000.0s] a=8490, e=0.2048, goal_e=0.0413, Fr=0.0520, Fs=-0.2361, reward=-428.165
[t=204000.0s] a=8492, e=0.2049, goal_e=0.0413, Fr=-1.0000, Fs=0.8030, reward=-225.412
[t=216000.0s] a=8489, e=0.2049, goal_e=0.0413, Fr=-0.6993, Fs=-0.8741, reward=-436.304
[t=228000.0s] a=8486, e=0.2050, goal_e=0.0413, Fr=0.2557, Fs=-0.8909, reward=-445.538
[t=240000.0s] a=8490, e=0.2051, goal_e=0.0413, Fr=0.0728, Fs=1.0000, reward=-433.207
[t=252000.0s] a=8488, e=0.2050, goal_e=0.0413, Fr=-0.3846, Fs=-0.1137, reward=-414.855
[t=264000.0s] a=8488, e=0.2044, goal_e=0.0413, Fr=-1.0000, Fs=0.5618, reward=-439.530
[t=276000.0s] a=8486, e=0.2030, goal_e=0.0413, Fr=1.0000, Fs=1.0000, reward=-243.462
[t=288000.0s] a=8481, e=0.2035, goal_e=0.0413, Fr=-1.0000, Fs=-1.0000, reward=-265.113
[t=300000.0s] a=8478, e=0.2034, goal_e=0.0413, Fr=0.5265, Fs=-1.0000, reward=-479.335
[t=312000.0s] a=8481, e=0.2036, goal_e=0.0413, Fr=0.7050, Fs=0.5250, reward=-465.941
[t=324000.0s] a=8484, e=0.2031, goal_e=0.0413, Fr=0.1938, Fs=-0.2905, reward=-445.471
[t=336000.0s] a=8488, e=0.2034, goal_e=0.0413, Fr=0.1415, Fs=0.8245, reward=-435.306
[t=348000.0s] a=8489, e=0.2036, goal_e=0.0413, Fr=0.5941, Fs=-0.8724, reward=-431.508
[t=360000.0s] a=8488, e=0.2039, goal_e=0.0413, Fr=0.3898, Fs=-0.6861, reward=-436.282
[t=372000.0s] a=8491, e=0.2032, goal_e=0.0413, Fr=-0.7747, Fs=-0.3893, reward=-426.525
[t=384000.0s] a=8498, e=0.2039, goal_e=0.0413, Fr=0.6277, Fs=-1.0000, reward=-416.089
[t=396000.0s] a=8490, e=0.2048, goal_e=0.0413, Fr=0.1072, Fs=-1.0000, reward=-231.322
[t=408000.0s] a=8500, e=0.2048, goal_e=0.0413, Fr=-0.2505, Fs=1.0000, reward=-216.739
[t=420000.0s] a=8506, e=0.2052, goal_e=0.0413, Fr=-0.7837, Fs=-0.5909, reward=-222.731
[t=432000.0s] a=8519, e=0.2059, goal_e=0.0413, Fr=0.6818, Fs=1.0000, reward=-267.327
[t=444000.0s] a=8516, e=0.2061, goal_e=0.0413, Fr=1.0000, Fs=0.6112, reward=-456.414
[t=456000.0s] a=8516, e=0.2060, goal_e=0.0413, Fr=1.0000, Fs=-0.7204, reward=-457.083
[t=468000.0s] a=8527, e=0.2070, goal_e=0.0413, Fr=-1.0000, Fs=-0.4967, reward=-310.610
[t=480000.0s] a=8533, e=0.2075, goal_e=0.0413, Fr=-0.1332, Fs=-0.6071, reward=-538.342
[t=492000.0s] a=8520, e=0.2074, goal_e=0.0413, Fr=-1.0000, Fs=-0.9369, reward=-277.578
[t=504000.0s] a=8528, e=0.2073, goal_e=0.0413, Fr=-1.0000, Fs=-0.1082, reward=-515.780
[t=516000.0s] a=8526, e=0.2069, goal_e=0.0413, Fr=1.0000, Fs=-0.3571, reward=-506.181
[t=528000.0s] a=8516, e=0.2061, goal_e=0.0413, Fr=-0.5538, Fs=-1.0000, reward=-455.398
[t=540000.0s] a=8517, e=0.2063, goal_e=0.0413, Fr=0.8102, Fs=1.0000, reward=-462.006
[t=552000.0s] a=8520, e=0.2065, goal_e=0.0413, Fr=-0.5334, Fs=0.1604, reward=-452.492
[t=564000.0s] a=8525, e=0.2070, goal_e=0.0413, Fr=0.7935, Fs=-1.0000, reward=-502.507
[t=576000.0s] a=8519, e=0.2071, goal_e=0.0413, Fr=-1.0000, Fs=-0.0515, reward=-450.427
[t=588000.0s] a=8525, e=0.2067, goal_e=0.0413, Fr=1.0000, Fs=0.2808, reward=-500.580
[t=600000.0s] a=8522, e=0.2069, goal_e=0.0413, Fr=-1.0000, Fs=0.1642, reward=-487.030
[t=612000.0s] a=8525, e=0.2061, goal_e=0.0413, Fr=-0.8299, Fs=0.6961, reward=-297.481
[t=624000.0s] a=8520, e=0.2057, goal_e=0.0413, Fr=0.3450, Fs=1.0000, reward=-473.527
[t=636000.0s] a=8521, e=0.2052, goal_e=0.0413, Fr=1.0000, Fs=0.1660, reward=-279.312
[t=648000.0s] a=8517, e=0.2050, goal_e=0.0413, Fr=-0.1128, Fs=0.2822, reward=-455.475
[t=660000.0s] a=8515, e=0.2048, goal_e=0.0413, Fr=0.9403, Fs=0.9686, reward=-251.039
[t=672000.0s] a=8519, e=0.2035, goal_e=0.0413, Fr=1.0000, Fs=-0.0857, reward=-443.301
[t=684000.0s] a=8520, e=0.2029, goal_e=0.0413, Fr=0.4585, Fs=1.0000, reward=-268.396
[t=696000.0s] a=8516, e=0.2034, goal_e=0.0413, Fr=0.0692, Fs=-0.4271, reward=-450.697
[t=708000.0s] a=8509, e=0.2032, goal_e=0.0413, Fr=-0.9383, Fs=-0.4017, reward=-426.786
[t=720000.0s] a=8514, e=0.2037, goal_e=0.0413, Fr=-1.0000, Fs=0.3170, reward=-243.371
[t=732000.0s] a=8521, e=0.2029, goal_e=0.0413, Fr=1.0000, Fs=0.3220, reward=-274.987
[t=744000.0s] a=8524, e=0.2033, goal_e=0.0413, Fr=-1.0000, Fs=1.0000, reward=-290.502
[t=756000.0s] a=8518, e=0.2033, goal_e=0.0413, Fr=1.0000, Fs=-0.7222, reward=-259.148
[t=768000.0s] a=8518, e=0.2030, goal_e=0.0413, Fr=1.0000, Fs=-0.3907, reward=-462.139
[t=780000.0s] a=8509, e=0.2030, goal_e=0.0413, Fr=1.0000, Fs=1.0000, reward=-427.806
[t=792000.0s] a=8519, e=0.2026, goal_e=0.0413, Fr=0.6403, Fs=-0.2366, reward=-460.985
[t=804000.0s] a=8511, e=0.2027, goal_e=0.0413, Fr=-1.0000, Fs=0.0472, reward=-410.966
[t=816000.0s] a=8524, e=0.2028, goal_e=0.0413, Fr=0.1859, Fs=-0.8564, reward=-488.520
[t=828000.0s] a=8525, e=0.2028, goal_e=0.0413, Fr=1.0000, Fs=0.5249, reward=-494.945
[t=840000.0s] a=8525, e=0.2028, goal_e=0.0413, Fr=-0.4307, Fs=-1.0000, reward=-491.699
[t=852000.0s] a=8536, e=0.2030, goal_e=0.0413, Fr=0.2444, Fs=0.8476, reward=-541.044
[t=864000.0s] a=8530, e=0.2026, goal_e=0.0413, Fr=0.5825, Fs=-1.0000, reward=-514.208
[t=876000.0s] a=8534, e=0.2029, goal_e=0.0413, Fr=1.0000, Fs=1.0000, reward=-533.708
[t=888000.0s] a=8536, e=0.2031, goal_e=0.0413, Fr=0.8778, Fs=1.0000, reward=-342.031
[t=900000.0s] a=8539, e=0.2031, goal_e=0.0413, Fr=-0.1424, Fs=-0.2364, reward=-553.371
[t=912000.0s] a=8533, e=0.2036, goal_e=0.0413, Fr=-0.0577, Fs=1.0000, reward=-533.545
[t=924000.0s] a=8531, e=0.2032, goal_e=0.0413, Fr=-1.0000, Fs=1.0000, reward=-320.753
[t=936000.0s] a=8527, e=0.2034, goal_e=0.0413, Fr=-1.0000, Fs=-0.2527, reward=-502.725
[t=948000.0s] a=8529, e=0.2038, goal_e=0.0413, Fr=0.1443, Fs=-1.0000, reward=-512.249
[t=960000.0s] a=8541, e=0.2022, goal_e=0.0413, Fr=-0.3313, Fs=-1.0000, reward=-368.947
[t=972000.0s] a=8550, e=0.2023, goal_e=0.0413, Fr=0.8112, Fs=0.5536, reward=-434.727
[t=984000.0s] a=8549, e=0.2028, goal_e=0.0413, Fr=1.0000, Fs=0.2714, reward=-630.166
[t=996000.0s] a=8555, e=0.2040, goal_e=0.0413, Fr=-1.0000, Fs=0.0655, reward=-472.402
[t=1008000.0s] a=8555, e=0.2047, goal_e=0.0413, Fr=-0.4697, Fs=-1.0000, reward=-471.816
[t=1020000.0s] a=8558, e=0.2044, goal_e=0.0413, Fr=-0.3969, Fs=1.0000, reward=-491.373
[t=1032000.0s] a=8567, e=0.2050, goal_e=0.0413, Fr=1.0000, Fs=-0.6962, reward=-545.947
[t=1044000.0s] a=8556, e=0.2067, goal_e=0.0413, Fr=-0.8364, Fs=1.0000, reward=-485.347
