
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8500, e=0.0942, goal_e=0.2452, Fr=-1.0000, Fs=0.6285, reward=-193.051
[t=672000.0s] a=8495, e=0.0943, goal_e=0.2452, Fr=0.7268, Fs=-0.2558, reward=-395.368
[t=684000.0s] a=8490, e=0.0959, goal_e=0.2452, Fr=0.8108, Fs=-0.4845, reward=-403.716
[t=696000.0s] a=8488, e=0.0962, goal_e=0.2452, Fr=-1.0000, Fs=1.0000, reward=-411.277
[t=708000.0s] a=8490, e=0.0949, goal_e=0.2452, Fr=-0.5431, Fs=0.0888, reward=-386.354
[t=720000.0s] a=8494, e=0.0955, goal_e=0.2452, Fr=0.0871, Fs=0.8696, reward=-396.519
[t=732000.0s] a=8492, e=0.0950, goal_e=0.2452, Fr=0.2988, Fs=1.0000, reward=-402.166
[t=744000.0s] a=8484, e=0.0953, goal_e=0.2452, Fr=-0.0374, Fs=0.2697, reward=-225.333
[t=756000.0s] a=8477, e=0.0957, goal_e=0.2452, Fr=-0.5813, Fs=0.6644, reward=-457.664
[t=768000.0s] a=8475, e=0.0951, goal_e=0.2452, Fr=-0.2596, Fs=0.4924, reward=-268.561
[t=780000.0s] a=8470, e=0.0962, goal_e=0.2452, Fr=-0.1050, Fs=-1.0000, reward=-291.438
[t=792000.0s] a=8464, e=0.0958, goal_e=0.2452, Fr=0.7318, Fs=0.2231, reward=-316.698
[t=804000.0s] a=8471, e=0.0969, goal_e=0.2452, Fr=-0.8053, Fs=-0.9594, reward=-287.443
[t=816000.0s] a=8470, e=0.0966, goal_e=0.2452, Fr=0.5970, Fs=-0.1634, reward=-290.117
[t=828000.0s] a=8465, e=0.0967, goal_e=0.2452, Fr=-0.3869, Fs=0.4386, reward=-513.320
[t=840000.0s] a=8457, e=0.0959, goal_e=0.2452, Fr=1.0000, Fs=0.3083, reward=-358.884
[t=852000.0s] a=8459, e=0.0958, goal_e=0.2452, Fr=-0.0257, Fs=-0.0481, reward=-538.527
[t=864000.0s] a=8461, e=0.0959, goal_e=0.2452, Fr=1.0000, Fs=0.4290, reward=-332.392
[t=876000.0s] a=8456, e=0.0965, goal_e=0.2452, Fr=-0.0932, Fs=1.0000, reward=-367.132
[t=888000.0s] a=8445, e=0.0966, goal_e=0.2452, Fr=0.1742, Fs=-1.0000, reward=-444.185
[t=900000.0s] a=8446, e=0.0981, goal_e=0.2452, Fr=-0.0414, Fs=-0.1742, reward=-633.794
[t=912000.0s] a=8451, e=0.0981, goal_e=0.2452, Fr=-0.2579, Fs=-0.4904, reward=-399.956
[t=924000.0s] a=8465, e=0.0983, goal_e=0.2452, Fr=0.4338, Fs=0.9591, reward=-310.343
[t=936000.0s] a=8468, e=0.0982, goal_e=0.2452, Fr=1.0000, Fs=0.6882, reward=-499.470
[t=948000.0s] a=8460, e=0.0972, goal_e=0.2452, Fr=1.0000, Fs=0.5978, reward=-333.054
[t=960000.0s] a=8472, e=0.0959, goal_e=0.2452, Fr=0.4646, Fs=0.4065, reward=-479.641
[t=972000.0s] a=8456, e=0.0956, goal_e=0.2452, Fr=0.4574, Fs=0.4203, reward=-566.408
[t=984000.0s] a=8463, e=0.0963, goal_e=0.2452, Fr=-0.1716, Fs=0.5339, reward=-321.397
[t=996000.0s] a=8472, e=0.0964, goal_e=0.2452, Fr=-0.9143, Fs=-0.5130, reward=-483.116
[t=1008000.0s] a=8461, e=0.0967, goal_e=0.2452, Fr=-0.0811, Fs=0.4865, reward=-327.584
[t=1020000.0s] a=8466, e=0.0974, goal_e=0.2452, Fr=-1.0000, Fs=1.0000, reward=-508.440
[t=1032000.0s] a=8470, e=0.0967, goal_e=0.2452, Fr=0.0440, Fs=1.0000, reward=-290.401
[t=1044000.0s] a=8462, e=0.0971, goal_e=0.2452, Fr=-0.4150, Fs=-1.0000, reward=-326.334
[t=1056000.0s] a=8469, e=0.0964, goal_e=0.2452, Fr=-0.1876, Fs=0.3733, reward=-295.146
[t=1068000.0s] a=8478, e=0.0968, goal_e=0.2452, Fr=0.8404, Fs=0.4101, reward=-452.021
[t=1080000.0s] a=8471, e=0.0961, goal_e=0.2452, Fr=-1.0000, Fs=1.0000, reward=-489.723
[t=1092000.0s] a=8471, e=0.0966, goal_e=0.2452, Fr=1.0000, Fs=0.0479, reward=-488.290
[t=1104000.0s] a=8457, e=0.0965, goal_e=0.2452, Fr=-1.0000, Fs=0.9052, reward=-556.833
[t=1116000.0s] a=8457, e=0.0970, goal_e=0.2452, Fr=-0.7559, Fs=-0.6180, reward=-555.967
[t=1128000.0s] a=8462, e=0.0973, goal_e=0.2452, Fr=-0.2490, Fs=1.0000, reward=-525.075
[t=1140000.0s] a=8461, e=0.0984, goal_e=0.2452, Fr=0.6030, Fs=-0.7997, reward=-527.707
[t=1152000.0s] a=8467, e=0.0988, goal_e=0.2452, Fr=-0.3011, Fs=1.0000, reward=-501.308
[t=1164000.0s] a=8485, e=0.0985, goal_e=0.2452, Fr=-0.8252, Fs=-0.8456, reward=-417.345
[t=1176000.0s] a=8474, e=0.0978, goal_e=0.2452, Fr=-1.0000, Fs=-0.1104, reward=-268.861
[t=1188000.0s] a=8479, e=0.0983, goal_e=0.2452, Fr=-0.4525, Fs=-1.0000, reward=-447.471
[t=1200000.0s] a=8467, e=0.0995, goal_e=0.2452, Fr=-1.0000, Fs=0.9877, reward=-501.171
[t=1212000.0s] a=8459, e=0.0995, goal_e=0.2452, Fr=-0.3607, Fs=-0.6327, reward=-534.299
[t=1224000.0s] a=8450, e=0.0987, goal_e=0.2452, Fr=1.0000, Fs=0.9833, reward=-610.707
