a (km),e,i (rad),RAAN (rad),argp (rad),nu (rad),mass (kg)
7000.0,0.02,0.890117918517108,5.480333851262194,0.0,0.0,500.0
7000.047404206537,0.02000668289975899,0.8901202547751609,5.48027601861796,-2.332025167253271e-05,0.06739998050036121,499.9993649673125
7000.047404206537,0.02000668289975899,0.8901202547751609,5.480221096914841,1.9452017294026087e-05,0.13472017649595802,499.9993649673125
7000.047404206537,0.02000668289975899,0.8901202547751609,5.48016617521172,6.222428626058489e-05,0.2020165075357844,499.9993649673125
7000.047404206537,0.02000668289975899,0.8901202547751609,5.480111253508601,0.00010499655522714369,0.2692772112096435,499.9993649673125
7000.052185839179,0.020007807975570023,0.890120168325678,5.480056392661421,7.673348600880902e-05,0.33656172549635494,499.9991438597181
7000.082108373365,0.02001217791035862,0.8901228809435778,5.479999858007294,0.00013452253339764667,0.4037028011093069,499.9986415720325
7000.082108373365,0.02001217791035862,0.8901228809435778,5.47994493741111,0.00017729351856410376,0.4707884242780639,499.9986415720325
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479887998000762,-0.00011594775177495254,0.5381311078376544,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479833076956901,-7.317723585770333e-05,0.605046065492703,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.4797781559130385,-3.040671994045413e-05,0.6718609314407037,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479723234869177,1.236379597679508e-05,0.7385665228552635,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479668313825315,5.513431189404429e-05,0.80515422519815,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479613392781455,9.790482781129349e-05,0.8716160299610961,499.9976218596324
7000.053058875161,0.02001113066165278,0.8901279739432814,5.479558471737594,0.0001406753437285427,0.9379445677847846,499.9976218596324
7000.03261884005,0.020008337061403186,0.8901293581259457,5.479503851511479,0.00010681714588100322,1.0042095318622726,499.9973063899232
7000.03261884005,0.020008337061403186,0.8901293581259457,5.479448930012492,0.00014958779394456508,1.070252042036279,499.9973063899232
7000.03261884005,0.020008337061403186,0.8901293581259457,5.479394008513503,0.00019235844200812694,1.1361432870803418,499.9973063899232
7000.03261884005,0.020008337061403186,0.8901293581259457,5.479339087014514,0.00023512909007168881,1.2018786922412592,499.9973063899232
6999.9935983045,0.019999498945231547,0.8901288142327118,5.47928384327391,0.00015421500024887297,1.2675782296354925,499.99628668024604
6999.9935983045,0.019999498945231547,0.8901288142327118,5.479228920705346,0.00019698656860182417,1.332991066607248,499.99628668024604
6999.994335078598,0.0199995077498777,0.8901288018241877,5.479173988099452,0.0002450512731578913,1.398233543107109,499.9962794412098
6999.994335078598,0.0199995077498777,0.8901288018241877,5.479119065550241,0.00028782282843265675,1.4633146114303766,499.9962794412098
6999.935664427315,0.020002149226839593,0.8901294641633284,5.4790648483682,-0.0001058423766202675,1.5286639433112827,499.99557490625637
6999.935664427315,0.020002149226839593,0.8901294641633284,5.479009924241099,-6.306969891862931e-05,1.5934093675110774,499.99557490625637
6999.932477408685,0.020004015165929746,0.8901323047461174,5.478958929425603,-4.414191880406866e-05,1.6580089141602474,499.99498938077505
6999.932477408685,0.020004015165929746,0.8901323047461174,5.478904005395444,-1.3697727990662762e-06,1.722421065153625,499.99498938077505
6999.921244245841,0.02000784670262599,0.8901313703136695,5.478847398780123,-1.0980953327350123e-05,1.7867225175241066,499.9944728337748
6999.997143238656,0.01999984444061149,0.8901320200734357,5.478793819094218,0.0005024577515602681,1.8503376042623203,499.99345312987646
6999.9950169431,0.019999530292397438,0.8901357981613605,5.478747948321952,0.0005192745708095386,1.9142862911816807,499.9924334281737
6999.9950169431,0.019999530292397438,0.8901357981613605,5.478693026265896,0.0005620446184512177,1.9780601768765946,499.9924334281737
6999.908292004748,0.020007083338469928,0.8901343083015435,5.478633088574565,9.045671272583442e-05,2.0422012090389448,499.9914137284346
6999.908292004748,0.020007083338469928,0.8901343083015435,5.478578164002623,0.0001332289588677368,2.10567927708281,499.9914137284346
