time,a,e,i,RAAN,argp,nu
0.0,7000.5678762734315,0.020079438702920255,0.890117918517108,2.0943401868806095,0.7855728673815587,0.06720132255136549
0.016666666666666666,7001.135816278167,0.020158529993059886,0.890117918517108,2.094285286608362,0.7860087734915727,0.13413207121996196
0.03333333333333333,7001.7037695432045,0.020236928798766558,0.890117918517108,2.094230401572942,0.7867010858198614,0.20078507947383553
0.05,7002.271685889494,0.02031429736460777,0.890117918517108,2.0941755317710062,0.7876439897114952,0.26715428259469465
0.06666666666666667,7002.839515691655,0.02039030667639736,0.890117918517108,2.0941206771993772,0.7888307267217092,0.33323470770353597
0.08333333333333333,7003.407210135027,0.02046463777785767,0.890117918517108,2.0940658378550423,0.790253669953251,0.39902246203514063
0.1,7003.974721465997,0.020536982976789287,0.890117918517108,2.0940110137351526,0.7919043988833836,0.46451471979645764
0.11666666666666667,7004.542003233688,0.02060704693996212,0.890117918517108,2.093956204837017,0.7937737729085911,0.5297097078579756
0.13333333333333333,7005.109010521193,0.02067454767715883,0.890117918517108,2.0939014111581034,0.7958520029519527,0.5946066904508197
0.15,7005.67570016472,0.02073921741589086,0.890117918517108,2.093846632696032,0.7981287205912754,0.6592059529768544
0.16666666666666666,7006.2420309591635,0.020800803369268213,0.890117918517108,2.093791869448574,0.8005930442735274,0.7235087849851254
0.18333333333333332,7006.807963848835,0.020859068400338292,0.890117918517108,2.0937371214136435,0.8032336422815458,0.7875174623255368
0.2,7007.373462102267,0.020913791586918667,0.890117918517108,2.093682388589297,0.8060387922115038,0.8512352284591485
0.21666666666666667,7007.938491470221,0.020964768691538373,0.890117918517108,2.093627670973723,0.8089964368037258,0.9146662748829774
0.23333333333333334,7008.503020326271,0.021011812541576427,0.890117918517108,2.09357296856524,0.8120942360449415,0.9778157206144193
0.25,7009.067019789493,0.021054753325050548,0.890117918517108,2.093518281362287,0.8153196155270709,1.040689590674963
0.26666666666666666,7009.63046382905,0.021093438807769555,0.890117918517108,2.093463609363417,0.8186598111064067,1.103294793513234
0.2833333333333333,7010.193329350617,0.021127734477726118,0.890117918517108,2.0934089525672896,0.8221019099580429,1.1656390973120672
0.3,7010.755596264812,0.021157523622678944,0.890117918517108,2.093354310972662,0.8256328881641208,1.2277311051318056
0.31666666666666665,7011.317247537936,0.021182707346862378,0.890117918517108,2.0932996845783807,0.8292396450115359,1.2895802288510638
0.3333333333333333,7011.878269225503,0.02120320453267377,0.890117918517108,2.093245073383372,0.8329090342057807,1.3511966618755633
0.35,7012.438650489153,0.02121895175303174,0.890117918517108,2.0931904773866306,0.8366278922332487,1.4125913505943986
0.36666666666666664,7012.998383597671,0.02122990313987891,0.890117918517108,2.093135896587212,0.8403830641252065,1.4737759645703956
0.38333333333333336,7013.5574639129345,0.021236030214027857,0.890117918517108,2.0930813309842193,0.844161426893342,1.5347628654565113
0.4,7014.115889861651,0.02123732168122533,0.890117918517108,2.0930267805767935,0.8479499109198874,1.5955650746330536
0.4166666666666667,7014.6736628938625,0.02123378319894403,0.890117918517108,2.0929722453641006,0.8517355195952723,1.6561962395606789
0.43333333333333335,7015.230787429154,0.021225437118009526,0.890117918517108,2.0929177253453224,0.8555053475035532,1.7166705988415514
0.45,7015.78727079161,0.02121232220273783,0.890117918517108,2.092863220519642,0.8592465974608431,1.7770029459758336
0.4666666666666667,7016.343123134489,0.021194493332802447,0.890117918517108,2.0928087308862318,0.8629465967149621,1.8372085917929937
0.48333333333333334,7016.898357355614,0.021172021189572968,0.890117918517108,2.092754256444244,0.8665928126157727,1.89730332552762
0.5,7017.452989004459,0.02114499192917542,0.890117918517108,2.092699797192795,0.870172868065319,1.95730337449789
0.5166666666666667,7018.007036181849,0.02111350684402145,0.890117918517108,2.0926453531309557,0.8736745570550555,2.0172253623320673
0.5333333333333333,7018.560519433186,0.021077682014043024,0.890117918517108,2.0925909242577374,0.8770858605941264,2.07708626567492
0.55,7019.113461636013,0.021037647948355033,0.890117918517108,2.0925365105720823,0.8803949633277869,2.136903369292395
0.5666666666666667,7019.665887882734,0.02099354921755364,0.890117918517108,2.092482112072849,0.8835902711384797,2.196694219479865
0.5833333333333334,7020.217825359178,0.02094554407634596,0.890117918517108,2.0924277287588025,0.8866604300135795,2.256476575667495
0.6,7020.7693032197085,0.020893804075700812,0.890117918517108,2.0923733606286032,0.889594346453071,2.316268360106486
0.6166666666666667,7021.320352459435,0.02083851366321333,0.890117918517108,2.0923190076807976,0.8923812096770474,2.3760876055128395
0.6333333333333333,7021.8710057840935,0.020779869769892614,0.890117918517108,2.0922646699138046,0.8950105158764458,2.435952400541747
0.65,7022.421297478048,0.020718081381114594,0.890117918517108,2.0922103473259086,0.8974720947303362,2.4958808329663955
0.6666666666666666,7022.971263270817,0.02065336908903742,0.890117918517108,2.0921560399152503,0.8997561383887511,2.55589093044085
0.6833333333333333,7023.520940202493,0.020585964623358523,0.890117918517108,2.092101747679819,0.9018532330908601,2.6160005987384682
0.7,7024.070366488329,0.02051611035690795,0.890117918517108,2.0920474706174432,0.9037543935535699,2.6762275573758685
0.7166666666666667,7024.61958138275,0.02044405878222862,0.890117918517108,2.091993208725785,0.9054511002247037,2.736589272558599
0.7333333333333333,7025.16862504297,0.020370071954998997,0.890117918517108,2.091938962002333,0.9069353394471251,2.7971028874190798
0.75,7025.717538392387,0.020294420899917315,0.890117918517108,2.091884730444399,0.9081996465249401,2.857785149560752
0.7666666666666667,7026.266362983845,0.02021738497449897,0.890117918517108,2.0918305140491125,0.9092371516197406,2.91865233597523
