a (km),e,i (rad),RAAN (rad),argp (rad),nu (rad),mass (kg)
7000.0,0.02,0.890117918517108,5.480333851262194,0.0,0.0,500.0
7000.048386679939,0.02000679304174552,0.890119440188557,5.480277033237487,1.8386538437123097e-05,0.06735763879155063,499.99947608325317
7000.048386679939,0.02000679304174552,0.890119440188557,5.480222111505613,6.115896061161654e-05,0.13467784679924893,499.99947608325317
7000.048386679939,0.02000679304174552,0.890119440188557,5.4801671897737405,0.00010393138278610997,0.20197419716703033,499.99947608325317
7000.037309122687,0.020003759621778517,0.8901177613244161,5.4801136451936,0.0004587881865339886,0.268921961948638,499.9985615897782
7000.037309122687,0.020003759621778517,0.8901177613244161,5.480058723057,0.0005015611935185366,0.33613551598123687,499.9985615897782
7000.037309122687,0.020003759621778517,0.8901177613244161,5.480003800920399,0.0005443342005030843,0.4032906333529904,499.9985615897782
7000.037309122687,0.020003759621778517,0.8901177613244161,5.479948878783799,0.0005871072074876322,0.4703763215645232,499.9985615897782
7000.037309122687,0.020003759621778517,0.8901177613244161,5.479893956647198,0.0006298802144721802,0.5373819624944158,499.9985615897782
7000.0730642347335,0.020005220984158505,0.8901228514298433,5.479837483286817,0.0010348620289813628,0.603936225468256,499.99754187754115
7000.0730642347335,0.020005220984158505,0.8901228514298433,5.47978256247087,0.0010776331900335888,0.6707518952426906,499.99754187754115
7000.081207963267,0.02000550194433967,0.8901198752551712,5.479728023383931,0.0011939346205652977,0.7373847235264912,499.9971268324591
7000.116126723075,0.020010692231117885,0.8901186870162123,5.479673153229343,0.001317352026597296,0.8038930327237009,499.99666058840904
7000.116126723075,0.020010692231117885,0.8901186870162123,5.479618233289392,0.0013601231741935354,0.8703563572453991,499.99666058840904
7000.116126723075,0.020010692231117885,0.8901186870162123,5.4795633133494395,0.001402894321789775,0.9366865551388894,499.99666058840904
7000.15161160431,0.02000929731558161,0.8901163213984727,5.479507883923566,0.0018078345627526343,1.0025151560425292,499.9958435178241
7000.176082525784,0.020011925254206496,0.8901089053918593,5.4794507125029375,0.001973106817085568,1.068438832745418,499.99482381113035
7000.176082525784,0.020011925254206496,0.8901089053918593,5.479395793540514,0.002015878774143019,1.1343325024041913,499.99482381113035
7000.118924901325,0.0200116424582119,0.8901061106078133,5.479339505163371,0.001619137675263438,1.2005106659539688,499.9940468209346
7000.118924901325,0.0200116424582119,0.8901061106078133,5.479284584443143,0.0016619114501363265,1.2660886958241062,499.9940468209346
7000.118924901325,0.0200116424582119,0.8901061106078133,5.479229663722913,0.0017046852250092153,1.3315039793190016,499.9940468209346
7000.13055718481,0.02001163873764669,0.8901052866313225,5.479174078215586,0.0018331012572557765,1.3966689436456783,499.993875346209
7000.13055718481,0.02001163873764669,0.8901052866313225,5.479119157758912,0.001875874959182484,1.4617523993726245,499.993875346209
7000.13055718481,0.02001163873764669,0.8901052866313225,5.479064237302238,0.0019186486611091913,1.5266681880371586,499.993875346209
7000.13055718481,0.02001163873764669,0.8901052866313225,5.479009316845564,0.001961422363035899,1.591416123288173,499.993875346209
7000.13055718481,0.02001163873764669,0.8901052866313225,5.47895439638889,0.0020041960649626062,1.6559967275321217,499.993875346209
7000.149804794606,0.02000887280205767,0.8901061005976973,5.478900753336221,0.0021734407603346004,1.7202839905204033,499.9934735009292
7000.102090557704,0.020014245228827453,0.8901059812021881,5.478845618746882,0.0019098008669683143,1.7848407946251263,499.9927670766158
7000.102090557704,0.020014245228827453,0.8901059812021881,5.478790697544158,0.001952575038403135,1.8489292469452643,499.9927670766158
7000.102090557704,0.020014245228827453,0.8901059812021881,5.478735776341433,0.0019953492098379556,1.9128591802774018,499.9927670766158
7000.102090557704,0.020014245228827453,0.8901059812021881,5.478680855138709,0.002038123381272776,1.9766343792074903,499.9927670766158
7000.102090557704,0.020014245228827453,0.8901059812021881,5.478625933935985,0.002080897552707597,2.0402592095316825,499.9927670766158
7000.105799152683,0.02001567778090838,0.8901048203078278,5.4785662412152485,0.002192535812626121,2.1036727350114357,499.9922164818608
7000.048107869648,0.02002246786598506,0.8901051630229542,5.478513121780155,0.0019511030321278685,2.167295048710392,499.9915441432345
7000.0271006733465,0.020027176833489608,0.8901054463388366,5.478460241932238,0.001968862226622981,2.2305237393447626,499.9910047918877
7000.0271006733465,0.020027176833489608,0.8901054463388366,5.478405318577049,0.0020116381603524553,2.293600947353929,499.9910047918877
7000.065981353383,0.020025780290226464,0.8901055679892974,5.478353482720884,0.0023659904797037256,2.3562438686928595,499.99037941781916
7000.065981353383,0.020025780290226464,0.8901055679892974,5.478298560447803,0.002408765551119342,2.419086786745664,499.99037941781916
7000.065945828273,0.020025816699312703,0.8901055644290423,5.478243699341849,0.0024531960501758526,2.481822033342136,499.99037066749855
7000.068424788686,0.020023502598860477,0.8901054954681837,5.478189418635312,0.0023738706138967986,2.544582689154069,499.9899372891109
7000.0023130699365,0.020034270982247953,0.8901063055864082,5.478129355063619,0.002362444243518527,2.607189262072181,499.9889175944626
7000.0023130699365,0.020034270982247953,0.8901063055864082,5.478074431054765,0.002405220548351878,2.6696571358708114,499.9889175944626
7000.0023130699365,0.020034270982247953,0.8901063055864082,5.47801950704591,0.002447996853185229,2.732052742576927,499.9889175944626
7000.0023130699365,0.020034270982247953,0.8901063055864082,5.477964583037055,0.0024907731580185804,2.794385154451029,499.9889175944626
7000.0023130699365,0.020034270982247953,0.8901063055864082,5.4779096590281995,0.0025335494628519317,2.8566636387919977,499.9889175944626
7000.008478143593,0.020033511985639005,0.8901085809199161,5.477849521341874,0.0026111446170751203,2.918866103634706,499.98832773072644
