
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=780000.0s] e=0.06, goal=0.20, Fr=-0.0931, Fs=0.3160, reward=-7.212
[t=792000.0s] e=0.06, goal=0.20, Fr=-1.0000, Fs=-0.5577, reward=-7.223
[t=804000.0s] e=0.05, goal=0.20, Fr=0.2432, Fs=-1.0000, reward=-7.297
[t=816000.0s] e=0.05, goal=0.20, Fr=0.8165, Fs=-1.0000, reward=-7.286
[t=828000.0s] e=0.05, goal=0.20, Fr=-1.0000, Fs=0.0747, reward=-7.320
[t=840000.0s] e=0.05, goal=0.20, Fr=-1.0000, Fs=-1.0000, reward=-7.273
[t=852000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=1.0000, reward=-7.222
[t=864000.0s] e=0.06, goal=0.20, Fr=0.0377, Fs=-0.3648, reward=-7.210
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] e=0.10, goal=0.00, Fr=-0.3720, Fs=-0.7746, reward=-5.044
[t=24000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-5.061
[t=36000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=0.7922, reward=-5.095
[t=48000.0s] e=0.10, goal=0.00, Fr=0.1671, Fs=0.9919, reward=-5.128
[t=60000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-5.088
[t=72000.0s] e=0.10, goal=0.00, Fr=-0.2611, Fs=-0.5336, reward=-5.113
[t=84000.0s] e=0.10, goal=0.00, Fr=0.5438, Fs=-0.1536, reward=-5.108
[t=96000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-5.078
[t=108000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-0.7887, reward=-5.091
[t=120000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=-0.6022, reward=-5.064
[t=132000.0s] e=0.10, goal=0.00, Fr=0.3002, Fs=-0.4079, reward=-5.083
[t=144000.0s] e=0.10, goal=0.00, Fr=0.3251, Fs=0.8930, reward=-5.088
[t=156000.0s] e=0.10, goal=0.00, Fr=0.4889, Fs=-1.0000, reward=-5.110
[t=168000.0s] e=0.10, goal=0.00, Fr=1.0000, Fs=0.9504, reward=-5.087
[t=180000.0s] e=0.10, goal=0.00, Fr=-0.1173, Fs=0.0023, reward=-5.040
[t=192000.0s] e=0.10, goal=0.00, Fr=0.7594, Fs=1.0000, reward=-4.982
