
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=7504, e=0.1431, goal_e=0.2000, Fr=0.2155, Fs=-0.3276, reward=498.478
[t=24000.0s] a=7499, e=0.1425, goal_e=0.2000, Fr=0.0600, Fs=1.0000, reward=499.940
[t=36000.0s] a=7491, e=0.1427, goal_e=0.2000, Fr=1.0000, Fs=0.8101, reward=481.093
[t=48000.0s] a=7482, e=0.1435, goal_e=0.2000, Fr=-0.5119, Fs=-0.8413, reward=472.514
[t=60000.0s] a=7485, e=0.1432, goal_e=0.2000, Fr=-0.4467, Fs=-0.2354, reward=479.384
[t=72000.0s] a=7498, e=0.1436, goal_e=0.2000, Fr=-0.9772, Fs=-0.3457, reward=499.698
[t=84000.0s] a=7515, e=0.1425, goal_e=0.2000, Fr=-0.3151, Fs=1.0000, reward=483.919
[t=96000.0s] a=7522, e=0.1417, goal_e=0.2000, Fr=0.7982, Fs=-1.0000, reward=442.718
[t=108000.0s] a=7537, e=0.1416, goal_e=0.2000, Fr=-0.5040, Fs=-0.5953, reward=377.840
[t=120000.0s] a=7542, e=0.1412, goal_e=0.2000, Fr=0.5232, Fs=-0.0833, reward=349.805
[t=132000.0s] a=7537, e=0.1416, goal_e=0.2000, Fr=-1.0000, Fs=0.2369, reward=379.773
[t=144000.0s] a=7541, e=0.1409, goal_e=0.2000, Fr=-0.9243, Fs=-0.9313, reward=358.850
[t=156000.0s] a=7533, e=0.1412, goal_e=0.2000, Fr=0.4616, Fs=-0.6109, reward=404.106
[t=168000.0s] a=7528, e=0.1412, goal_e=0.2000, Fr=0.3814, Fs=-0.1149, reward=428.110
[t=180000.0s] a=7530, e=0.1417, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=424.802
[t=192000.0s] a=7540, e=0.1416, goal_e=0.2000, Fr=-0.5321, Fs=0.5086, reward=361.812
[t=204000.0s] a=7536, e=0.1408, goal_e=0.2000, Fr=0.1242, Fs=1.0000, reward=375.175
[t=216000.0s] a=7544, e=0.1398, goal_e=0.2000, Fr=0.9575, Fs=1.0000, reward=340.367
[t=228000.0s] a=7543, e=0.1404, goal_e=0.2000, Fr=-0.4512, Fs=1.0000, reward=342.774
[t=240000.0s] a=7539, e=0.1406, goal_e=0.2000, Fr=0.2479, Fs=1.0000, reward=372.033
[t=252000.0s] a=7546, e=0.1408, goal_e=0.2000, Fr=-0.7050, Fs=1.0000, reward=326.529
[t=264000.0s] a=7548, e=0.1414, goal_e=0.2000, Fr=0.4266, Fs=-0.5700, reward=317.263
[t=276000.0s] a=7546, e=0.1412, goal_e=0.2000, Fr=-1.0000, Fs=0.5147, reward=328.550
[t=288000.0s] a=7551, e=0.1409, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=299.898
[t=300000.0s] a=7563, e=0.1415, goal_e=0.2000, Fr=-0.4586, Fs=0.2549, reward=225.949
[t=312000.0s] a=7565, e=0.1416, goal_e=0.2000, Fr=0.9477, Fs=0.1647, reward=216.700
[t=324000.0s] a=7576, e=0.1422, goal_e=0.2000, Fr=0.4667, Fs=0.6683, reward=157.634
[t=336000.0s] a=7564, e=0.1422, goal_e=0.2000, Fr=-1.0000, Fs=0.8165, reward=220.226
[t=348000.0s] a=7557, e=0.1429, goal_e=0.2000, Fr=-0.4183, Fs=1.0000, reward=249.702
[t=360000.0s] a=7556, e=0.1444, goal_e=0.2000, Fr=-1.0000, Fs=-0.0435, reward=265.635
[t=372000.0s] a=7546, e=0.1448, goal_e=0.2000, Fr=-0.2960, Fs=-1.0000, reward=327.003
[t=384000.0s] a=7554, e=0.1450, goal_e=0.2000, Fr=1.0000, Fs=0.5330, reward=281.822
[t=396000.0s] a=7541, e=0.1452, goal_e=0.2000, Fr=1.0000, Fs=-0.8475, reward=346.473
[t=408000.0s] a=7531, e=0.1457, goal_e=0.2000, Fr=0.3088, Fs=-1.0000, reward=412.698
[t=420000.0s] a=7544, e=0.1459, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=332.272
[t=432000.0s] a=7547, e=0.1462, goal_e=0.2000, Fr=0.9632, Fs=-0.1151, reward=320.017
[t=444000.0s] a=7551, e=0.1458, goal_e=0.2000, Fr=1.0000, Fs=-0.6591, reward=295.564
[t=456000.0s] a=7558, e=0.1470, goal_e=0.2000, Fr=-0.2493, Fs=0.5859, reward=257.051
[t=468000.0s] a=7558, e=0.1486, goal_e=0.2000, Fr=0.0236, Fs=0.8583, reward=254.106
[t=480000.0s] a=7554, e=0.1492, goal_e=0.2000, Fr=1.0000, Fs=-0.5773, reward=277.600
[t=492000.0s] a=7548, e=0.1477, goal_e=0.2000, Fr=0.9891, Fs=0.4314, reward=316.355
[t=504000.0s] a=7553, e=0.1478, goal_e=0.2000, Fr=-0.8141, Fs=-1.0000, reward=287.489
[t=516000.0s] a=7547, e=0.1471, goal_e=0.2000, Fr=0.6492, Fs=-0.0394, reward=321.535
[t=528000.0s] a=7539, e=0.1479, goal_e=0.2000, Fr=0.5274, Fs=0.6900, reward=373.743
[t=540000.0s] a=7531, e=0.1479, goal_e=0.2000, Fr=-0.6441, Fs=-0.9789, reward=410.027
[t=552000.0s] a=7528, e=0.1479, goal_e=0.2000, Fr=0.1902, Fs=-0.1180, reward=425.314
[t=564000.0s] a=7537, e=0.1473, goal_e=0.2000, Fr=-1.0000, Fs=-0.0168, reward=378.166
[t=576000.0s] a=7536, e=0.1469, goal_e=0.2000, Fr=0.1969, Fs=-1.0000, reward=388.302
[t=588000.0s] a=7531, e=0.1470, goal_e=0.2000, Fr=0.0724, Fs=-0.1531, reward=414.615
[t=600000.0s] a=7519, e=0.1472, goal_e=0.2000, Fr=-1.0000, Fs=1.0000, reward=463.664
[t=612000.0s] a=7518, e=0.1469, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=458.259
[t=624000.0s] a=7518, e=0.1473, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=459.111
[t=636000.0s] a=7509, e=0.1470, goal_e=0.2000, Fr=0.5683, Fs=-0.4007, reward=491.505
[t=648000.0s] a=7503, e=0.1467, goal_e=0.2000, Fr=-0.2447, Fs=0.0584, reward=498.991
[t=660000.0s] a=7487, e=0.1466, goal_e=0.2000, Fr=1.0000, Fs=0.4646, reward=484.033
[t=672000.0s] a=7489, e=0.1459, goal_e=0.2000, Fr=-1.0000, Fs=0.8397, reward=477.884
[t=684000.0s] a=7488, e=0.1446, goal_e=0.2000, Fr=-0.4620, Fs=0.3896, reward=485.355
[t=696000.0s] a=7472, e=0.1440, goal_e=0.2000, Fr=1.0000, Fs=0.6634, reward=428.084
[t=708000.0s] a=7462, e=0.1444, goal_e=0.2000, Fr=0.6882, Fs=0.5181, reward=376.015
[t=720000.0s] a=7461, e=0.1434, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=358.080
[t=732000.0s] a=7451, e=0.1425, goal_e=0.2000, Fr=1.0000, Fs=0.0173, reward=310.262
[t=744000.0s] a=7443, e=0.1428, goal_e=0.2000, Fr=-0.8733, Fs=-0.9449, reward=264.368
[t=756000.0s] a=7433, e=0.1428, goal_e=0.2000, Fr=0.3745, Fs=0.4441, reward=202.023
[t=768000.0s] a=7419, e=0.1433, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=133.628
[t=780000.0s] a=7418, e=0.1425, goal_e=0.2000, Fr=-0.2497, Fs=-1.0000, reward=118.961
[t=792000.0s] a=7406, e=0.1409, goal_e=0.2000, Fr=-0.3017, Fs=-0.5510, reward=84.096
[t=804000.0s] a=7405, e=0.1409, goal_e=0.2000, Fr=0.3469, Fs=-0.1585, reward=82.104
[t=816000.0s] a=7400, e=0.1406, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=66.279
[t=828000.0s] a=7397, e=0.1405, goal_e=0.2000, Fr=0.5778, Fs=0.2974, reward=60.037
[t=840000.0s] a=7396, e=0.1400, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=46.262
[t=852000.0s] a=7402, e=0.1402, goal_e=0.2000, Fr=-1.0000, Fs=-0.7043, reward=73.034
[t=864000.0s] a=7388, e=0.1396, goal_e=0.2000, Fr=-0.8032, Fs=-0.5475, reward=-443.998
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7500, e=0.1247, goal_e=0.0000, Fr=-0.6875, Fs=1.0000, reward=484.011
[t=24000.0s] a=7496, e=0.1249, goal_e=0.0000, Fr=-0.3443, Fs=-0.1855, reward=492.583
[t=36000.0s] a=7497, e=0.1249, goal_e=0.0000, Fr=-1.0000, Fs=-0.7797, reward=482.962
[t=48000.0s] a=7507, e=0.1241, goal_e=0.0000, Fr=0.1893, Fs=-1.0000, reward=479.768
[t=60000.0s] a=7497, e=0.1242, goal_e=0.0000, Fr=-0.7102, Fs=0.1399, reward=493.016
[t=72000.0s] a=7487, e=0.1245, goal_e=0.0000, Fr=1.0000, Fs=0.5512, reward=466.967
[t=84000.0s] a=7484, e=0.1245, goal_e=0.0000, Fr=0.3784, Fs=0.8604, reward=458.797
[t=96000.0s] a=7487, e=0.1237, goal_e=0.0000, Fr=-0.9330, Fs=0.0521, reward=477.654
[t=108000.0s] a=7485, e=0.1237, goal_e=0.0000, Fr=1.0000, Fs=-0.1705, reward=472.177
[t=120000.0s] a=7488, e=0.1240, goal_e=0.0000, Fr=0.6683, Fs=0.9240, reward=485.345
[t=132000.0s] a=7489, e=0.1235, goal_e=0.0000, Fr=1.0000, Fs=-1.0000, reward=473.081
[t=144000.0s] a=7489, e=0.1239, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=487.912
[t=156000.0s] a=7493, e=0.1240, goal_e=0.0000, Fr=-0.3572, Fs=-0.1280, reward=488.708
[t=168000.0s] a=7484, e=0.1246, goal_e=0.0000, Fr=-0.5466, Fs=-0.3774, reward=467.611
[t=180000.0s] a=7485, e=0.1255, goal_e=0.0000, Fr=-0.7153, Fs=0.2014, reward=470.711
[t=192000.0s] a=7472, e=0.1246, goal_e=0.0000, Fr=-0.4519, Fs=-1.0000, reward=420.314
[t=204000.0s] a=7467, e=0.1262, goal_e=0.0000, Fr=0.6918, Fs=-0.0005, reward=397.768
[t=216000.0s] a=7462, e=0.1248, goal_e=0.0000, Fr=0.0053, Fs=0.3838, reward=370.764
[t=228000.0s] a=7458, e=0.1252, goal_e=0.0000, Fr=1.0000, Fs=-0.5665, reward=336.848
[t=240000.0s] a=7450, e=0.1244, goal_e=0.0000, Fr=-1.0000, Fs=0.9587, reward=298.346
[t=252000.0s] a=7452, e=0.1243, goal_e=0.0000, Fr=-0.7391, Fs=-0.9134, reward=315.082
[t=264000.0s] a=7444, e=0.1245, goal_e=0.0000, Fr=1.0000, Fs=0.1489, reward=260.687
[t=276000.0s] a=7441, e=0.1246, goal_e=0.0000, Fr=0.1406, Fs=1.0000, reward=244.304
[t=288000.0s] a=7444, e=0.1242, goal_e=0.0000, Fr=-0.1225, Fs=-1.0000, reward=260.671
