
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=672000.0s] a=7687, e=0.0497, goal_e=0.2000, Fr=0.3954, Fs=0.4678, reward=0.334
[t=684000.0s] a=7682, e=0.0501, goal_e=0.2000, Fr=0.3922, Fs=-0.6299, reward=0.556
[t=696000.0s] a=7684, e=0.0493, goal_e=0.2000, Fr=0.3805, Fs=-0.6141, reward=5.454
[t=708000.0s] a=7694, e=0.0507, goal_e=0.2000, Fr=-0.0016, Fs=0.4541, reward=0.156
[t=720000.0s] a=7688, e=0.0504, goal_e=0.2000, Fr=-0.7101, Fs=-1.0000, reward=-9.683
[t=732000.0s] a=7688, e=0.0500, goal_e=0.2000, Fr=-0.5129, Fs=1.0000, reward=0.318
[t=744000.0s] a=7695, e=0.0513, goal_e=0.2000, Fr=-1.0000, Fs=-0.2365, reward=0.128
[t=756000.0s] a=7709, e=0.0511, goal_e=0.2000, Fr=-0.1896, Fs=-0.7621, reward=-0.049
[t=768000.0s] a=7724, e=0.0519, goal_e=0.2000, Fr=-0.0680, Fs=-0.4759, reward=-0.105
[t=780000.0s] a=7737, e=0.0527, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=-10.123
[t=792000.0s] a=7733, e=0.0531, goal_e=0.2000, Fr=0.5372, Fs=1.0000, reward=-10.122
[t=804000.0s] a=7754, e=0.0533, goal_e=0.2000, Fr=-0.7627, Fs=1.0000, reward=-10.133
[t=816000.0s] a=7765, e=0.0532, goal_e=0.2000, Fr=-1.0000, Fs=-0.0061, reward=-0.136
[t=828000.0s] a=7786, e=0.0519, goal_e=0.2000, Fr=-1.0000, Fs=-0.9366, reward=-10.138
[t=840000.0s] a=7801, e=0.0527, goal_e=0.2000, Fr=0.3303, Fs=-1.0000, reward=-0.140
[t=852000.0s] a=7821, e=0.0526, goal_e=0.2000, Fr=-0.3009, Fs=1.0000, reward=-10.142
[t=864000.0s] a=7831, e=0.0530, goal_e=0.2000, Fr=-1.0000, Fs=-0.1818, reward=-1008.730
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7508, e=0.1107, goal_e=0.0000, Fr=-0.3795, Fs=0.6970, reward=492.983
[t=24000.0s] a=7506, e=0.1107, goal_e=0.0000, Fr=1.0000, Fs=0.5217, reward=501.634
[t=36000.0s] a=7523, e=0.1116, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=454.852
[t=48000.0s] a=7531, e=0.1131, goal_e=0.0000, Fr=1.0000, Fs=-0.4765, reward=403.212
[t=60000.0s] a=7546, e=0.1121, goal_e=0.0000, Fr=-0.0064, Fs=-0.3531, reward=327.810
[t=72000.0s] a=7565, e=0.1119, goal_e=0.0000, Fr=-0.2767, Fs=1.0000, reward=204.083
[t=84000.0s] a=7578, e=0.1117, goal_e=0.0000, Fr=0.4830, Fs=-0.4223, reward=147.618
[t=96000.0s] a=7586, e=0.1115, goal_e=0.0000, Fr=-1.0000, Fs=-0.9038, reward=105.188
[t=108000.0s] a=7586, e=0.1105, goal_e=0.0000, Fr=0.7985, Fs=-1.0000, reward=104.328
[t=120000.0s] a=7596, e=0.1112, goal_e=0.0000, Fr=0.8331, Fs=1.0000, reward=77.826
[t=132000.0s] a=7602, e=0.1113, goal_e=0.0000, Fr=0.4700, Fs=-0.1218, reward=63.264
[t=144000.0s] a=7602, e=0.1115, goal_e=0.0000, Fr=0.1945, Fs=-0.2121, reward=61.648
[t=156000.0s] a=7613, e=0.1110, goal_e=0.0000, Fr=0.0511, Fs=-0.0688, reward=39.659
[t=168000.0s] a=7624, e=0.1103, goal_e=0.0000, Fr=-0.5417, Fs=0.6139, reward=22.967
[t=180000.0s] a=7626, e=0.1108, goal_e=0.0000, Fr=-1.0000, Fs=-0.0974, reward=20.904
[t=192000.0s] a=7640, e=0.1112, goal_e=0.0000, Fr=0.6149, Fs=0.7448, reward=10.142
[t=204000.0s] a=7658, e=0.1121, goal_e=0.0000, Fr=0.5886, Fs=1.0000, reward=-6.559
[t=216000.0s] a=7663, e=0.1124, goal_e=0.0000, Fr=0.1908, Fs=0.5869, reward=2.360
[t=228000.0s] a=7669, e=0.1121, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=1.568
[t=240000.0s] a=7691, e=0.1129, goal_e=0.0000, Fr=-0.3461, Fs=-1.0000, reward=-9.706
[t=252000.0s] a=7694, e=0.1136, goal_e=0.0000, Fr=0.4329, Fs=0.8645, reward=0.233
[t=264000.0s] a=7705, e=0.1131, goal_e=0.0000, Fr=0.8192, Fs=0.4012, reward=0.066
[t=276000.0s] a=7711, e=0.1123, goal_e=0.0000, Fr=0.5664, Fs=0.5724, reward=0.022
[t=288000.0s] a=7712, e=0.1134, goal_e=0.0000, Fr=-1.0000, Fs=-1.0000, reward=-9.986
[t=300000.0s] a=7727, e=0.1135, goal_e=0.0000, Fr=-1.0000, Fs=-0.0908, reward=-0.033
[t=312000.0s] a=7732, e=0.1131, goal_e=0.0000, Fr=-0.6675, Fs=0.0923, reward=-0.042
[t=324000.0s] a=7758, e=0.1125, goal_e=0.0000, Fr=0.0216, Fs=0.5407, reward=-0.053
[t=336000.0s] a=7761, e=0.1133, goal_e=0.0000, Fr=1.0000, Fs=-0.2895, reward=-0.055
[t=348000.0s] a=7764, e=0.1119, goal_e=0.0000, Fr=0.2967, Fs=1.0000, reward=4.942
[t=360000.0s] a=7766, e=0.1117, goal_e=0.0000, Fr=-0.1692, Fs=-1.0000, reward=-0.060
[t=372000.0s] a=7770, e=0.1118, goal_e=0.0000, Fr=1.0000, Fs=-0.2305, reward=-0.062
[t=384000.0s] a=7771, e=0.1114, goal_e=0.0000, Fr=-0.0802, Fs=-0.0756, reward=-0.064
[t=396000.0s] a=7782, e=0.1111, goal_e=0.0000, Fr=1.0000, Fs=-0.5999, reward=-10.066
[t=408000.0s] a=7785, e=0.1120, goal_e=0.0000, Fr=1.0000, Fs=0.0016, reward=-0.068
[t=420000.0s] a=7797, e=0.1121, goal_e=0.0000, Fr=-0.8228, Fs=0.2325, reward=-0.070
[t=432000.0s] a=7806, e=0.1114, goal_e=0.0000, Fr=-0.9409, Fs=0.1732, reward=-0.072
[t=444000.0s] a=7817, e=0.1124, goal_e=0.0000, Fr=0.4294, Fs=-0.7327, reward=-10.074
[t=456000.0s] a=7818, e=0.1129, goal_e=0.0000, Fr=-1.0000, Fs=0.3574, reward=-0.076
[t=468000.0s] a=7815, e=0.1119, goal_e=0.0000, Fr=-0.2325, Fs=-1.0000, reward=4.922
[t=480000.0s] a=7809, e=0.1123, goal_e=0.0000, Fr=1.0000, Fs=-0.0531, reward=-0.080
[t=492000.0s] a=7814, e=0.1112, goal_e=0.0000, Fr=0.4687, Fs=0.8085, reward=4.918
[t=504000.0s] a=7805, e=0.1120, goal_e=0.0000, Fr=-0.0865, Fs=-0.3606, reward=-0.084
[t=516000.0s] a=7811, e=0.1110, goal_e=0.0000, Fr=-0.5129, Fs=1.0000, reward=-10.086
[t=528000.0s] a=7817, e=0.1107, goal_e=0.0000, Fr=1.0000, Fs=0.7030, reward=4.912
[t=540000.0s] a=7828, e=0.1109, goal_e=0.0000, Fr=-0.4673, Fs=-0.4523, reward=-0.090
[t=552000.0s] a=7819, e=0.1104, goal_e=0.0000, Fr=-0.5851, Fs=1.0000, reward=-0.092
[t=564000.0s] a=7824, e=0.1092, goal_e=0.0000, Fr=-1.0000, Fs=-1.0000, reward=-0.094
[t=576000.0s] a=7834, e=0.1097, goal_e=0.0000, Fr=1.0000, Fs=1.0000, reward=4.904
[t=588000.0s] a=7834, e=0.1095, goal_e=0.0000, Fr=-0.9230, Fs=1.0000, reward=4.902
[t=600000.0s] a=7836, e=0.1098, goal_e=0.0000, Fr=-0.1331, Fs=1.0000, reward=-0.100
[t=612000.0s] a=7835, e=0.1084, goal_e=0.0000, Fr=0.9845, Fs=0.2783, reward=-0.102
[t=624000.0s] a=7856, e=0.1069, goal_e=0.0000, Fr=-0.7266, Fs=0.2814, reward=-0.104
[t=636000.0s] a=7858, e=0.1065, goal_e=0.0000, Fr=0.0794, Fs=1.0000, reward=4.894
[t=648000.0s] a=7865, e=0.1032, goal_e=0.0000, Fr=-0.7546, Fs=0.2582, reward=-0.108
[t=660000.0s] a=7863, e=0.1016, goal_e=0.0000, Fr=0.5397, Fs=-0.0313, reward=-0.110
