
 ------------------------------------------------- 
[t=60000.0s] a=7793.75, goal=7909.14, Fs=0.9739, reward=-38.539
[t=72000.0s] a=7798.74, goal=7909.14, Fs=-0.8608, reward=-51.040
[t=84000.0s] a=7813.08, goal=7909.14, Fs=-0.2258, reward=-55.606
[t=96000.0s] a=7830.72, goal=7909.14, Fs=0.1824, reward=-52.842
[t=108000.0s] a=7839.06, goal=7909.14, Fs=-1.0000, reward=-65.008
[t=120000.0s] a=7857.07, goal=7909.14, Fs=-1.0000, reward=-69.206
[t=132000.0s] a=7860.31, goal=7909.14, Fs=-0.1979, reward=-74.883
[t=144000.0s] a=7871.80, goal=7909.14, Fs=-1.0000, reward=-79.734
[t=156000.0s] a=7879.83, goal=7909.14, Fs=1.0000, reward=-77.931
[t=168000.0s] a=7893.74, goal=7909.14, Fs=-1.0000, reward=-89.540
[t=180000.0s] a=7901.81, goal=7909.14, Fs=0.8599, reward=-74.733
 SUCCESS #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8471.45, goal=8103.80, Fs=1.0000, reward=-96.765
[t=24000.0s] a=8472.26, goal=8103.80, Fs=-0.3509, reward=-45.846
[t=36000.0s] a=8488.08, goal=8103.80, Fs=1.0000, reward=-110.428
[t=48000.0s] a=8484.72, goal=8103.80, Fs=0.0624, reward=-116.092
[t=60000.0s] a=8482.65, goal=8103.80, Fs=0.0965, reward=-121.885
[t=72000.0s] a=8468.26, goal=8103.80, Fs=-0.0969, reward=-69.446
[t=84000.0s] a=8469.99, goal=8103.80, Fs=-1.0000, reward=-75.620
[t=96000.0s] a=8476.91, goal=8103.80, Fs=0.0129, reward=-139.312
[t=108000.0s] a=8482.71, goal=8103.80, Fs=1.0000, reward=-145.891
[t=120000.0s] a=8483.30, goal=8103.80, Fs=-0.7375, reward=-94.951
[t=132000.0s] a=8479.64, goal=8103.80, Fs=1.0000, reward=-157.584
[t=144000.0s] a=8469.01, goal=8103.80, Fs=-0.1879, reward=-105.522
[t=156000.0s] a=8450.06, goal=8103.80, Fs=0.1433, reward=-166.626
[t=168000.0s] a=8440.11, goal=8103.80, Fs=-0.6557, reward=-114.631
[t=180000.0s] a=8436.27, goal=8103.80, Fs=-1.0000, reward=-120.247
[t=192000.0s] a=8442.84, goal=8103.80, Fs=1.0000, reward=-183.904
[t=204000.0s] a=8431.21, goal=8103.80, Fs=1.0000, reward=-188.742
[t=216000.0s] a=8420.40, goal=8103.80, Fs=0.1691, reward=-193.660
[t=228000.0s] a=8417.59, goal=8103.80, Fs=0.6811, reward=-199.379
[t=240000.0s] a=8413.96, goal=8103.80, Fs=-0.0427, reward=-148.016
[t=252000.0s] a=8403.29, goal=8103.80, Fs=-0.2269, reward=-152.949
[t=264000.0s] a=8395.37, goal=8103.80, Fs=0.7307, reward=-215.157
[t=276000.0s] a=8375.76, goal=8103.80, Fs=-1.0000, reward=-162.196
[t=288000.0s] a=8355.58, goal=8103.80, Fs=0.6217, reward=-223.178
[t=300000.0s] a=8345.97, goal=8103.80, Fs=0.5449, reward=-228.217
[t=312000.0s] a=8330.51, goal=8103.80, Fs=-0.4849, reward=-175.671
[t=324000.0s] a=8311.42, goal=8103.80, Fs=-0.8512, reward=-179.763
[t=336000.0s] a=8303.85, goal=8103.80, Fs=-1.0000, reward=-185.005
[t=348000.0s] a=8291.03, goal=8103.80, Fs=-0.0886, reward=-189.724
[t=360000.0s] a=8283.32, goal=8103.80, Fs=-0.6873, reward=-194.953
[t=372000.0s] a=8269.26, goal=8103.80, Fs=1.0000, reward=-206.546
[t=384000.0s] a=8266.56, goal=8103.80, Fs=0.3174, reward=-212.276
[t=396000.0s] a=8250.43, goal=8103.80, Fs=-1.0000, reward=-209.663
[t=408000.0s] a=8249.55, goal=8103.80, Fs=1.0000, reward=-222.575
[t=420000.0s] a=8241.94, goal=8103.80, Fs=0.9390, reward=-227.814
[t=432000.0s] a=8233.73, goal=8103.80, Fs=1.0000, reward=-232.993
[t=444000.0s] a=8228.85, goal=8103.80, Fs=-0.1430, reward=-231.505
[t=456000.0s] a=8233.28, goal=8103.80, Fs=-1.0000, reward=-237.948
[t=468000.0s] a=8222.04, goal=8103.80, Fs=0.4150, reward=-249.824
[t=480000.0s] a=8215.43, goal=8103.80, Fs=1.0000, reward=-255.163
[t=492000.0s] a=8197.25, goal=8103.80, Fs=-0.9147, reward=-252.345
[t=504000.0s] a=8202.46, goal=8103.80, Fs=-0.0728, reward=-258.866
[t=516000.0s] a=8195.87, goal=8103.80, Fs=0.7715, reward=-271.207
[t=528000.0s] a=8205.32, goal=8103.80, Fs=1.0000, reward=-278.152
[t=540000.0s] a=8215.97, goal=8103.80, Fs=0.2483, reward=-285.217
[t=552000.0s] a=8213.58, goal=8103.80, Fs=1.0000, reward=-290.978
[t=564000.0s] a=8195.46, goal=8103.80, Fs=0.6690, reward=-295.166
[t=576000.0s] a=8188.94, goal=8103.80, Fs=0.0476, reward=-300.514
