
 ------------------------------------------------- 
[t=12000.0s] a=8428.01, goal=8113.47, Fs=-0.0881, reward=-38.454
[t=24000.0s] a=8424.06, goal=8113.47, Fs=-1.0000, reward=-48.059
[t=36000.0s] a=8411.43, goal=8113.47, Fs=-1.0000, reward=-56.796
[t=48000.0s] a=8394.72, goal=8113.47, Fs=-0.6101, reward=-65.125
[t=60000.0s] a=8376.96, goal=8113.47, Fs=-0.6382, reward=-73.349
[t=72000.0s] a=8357.77, goal=8113.47, Fs=-1.0000, reward=-81.430
[t=84000.0s] a=8330.83, goal=8113.47, Fs=-1.0000, reward=-88.736
[t=96000.0s] a=8307.68, goal=8113.47, Fs=0.6118, reward=-103.422
[t=108000.0s] a=8263.45, goal=8113.47, Fs=1.0000, reward=-108.998
[t=120000.0s] a=8219.44, goal=8113.47, Fs=-0.5940, reward=-107.597
[t=132000.0s] a=8182.83, goal=8113.47, Fs=-0.7356, reward=-113.937
[t=144000.0s] a=8160.65, goal=8113.47, Fs=0.3597, reward=-128.718
[t=156000.0s] a=8113.87, goal=8113.47, Fs=0.4662, reward=-131.040
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7509.78, goal=7897.63, Fs=1.0000, reward=-45.785
[t=24000.0s] a=7469.69, goal=7897.63, Fs=-0.4097, reward=-116.794
[t=36000.0s] a=7456.99, goal=7897.63, Fs=0.7029, reward=-71.064
[t=48000.0s] a=7437.42, goal=7897.63, Fs=-1.0000, reward=-140.021
[t=60000.0s] a=7416.47, goal=7897.63, Fs=-0.3608, reward=-152.116
[t=72000.0s] a=7408.14, goal=7897.63, Fs=0.7166, reward=-105.949
[t=84000.0s] a=7388.66, goal=7897.63, Fs=0.8455, reward=-117.897
[t=96000.0s] a=7376.59, goal=7897.63, Fs=-1.0000, reward=-186.104
[t=108000.0s] a=7350.58, goal=7897.63, Fs=0.2721, reward=-141.705
[t=120000.0s] a=7334.16, goal=7897.63, Fs=-0.7416, reward=-210.346
[t=132000.0s] a=7323.41, goal=7897.63, Fs=-0.1017, reward=-221.422
[t=144000.0s] a=7321.09, goal=7897.63, Fs=0.2170, reward=-174.654
[t=156000.0s] a=7317.62, goal=7897.63, Fs=0.6711, reward=-185.001
[t=168000.0s] a=7294.92, goal=7897.63, Fs=1.0000, reward=-197.271
[t=180000.0s] a=7282.28, goal=7897.63, Fs=-0.9534, reward=-265.535
[t=192000.0s] a=7275.52, goal=7897.63, Fs=0.6056, reward=-219.211
[t=204000.0s] a=7268.79, goal=7897.63, Fs=-0.1945, reward=-286.884
