
 ------------------------------------------------- 
[t=792000.0s] a=7831.79, goal=7905.47, Fs=0.6272, reward=-664.368
[t=804000.0s] a=7836.23, goal=7905.47, Fs=0.3169, reward=-673.924
[t=816000.0s] a=7842.00, goal=7905.47, Fs=0.3426, reward=-683.347
[t=828000.0s] a=7842.26, goal=7905.47, Fs=0.8676, reward=-693.321
[t=840000.0s] a=7837.78, goal=7905.47, Fs=-1.0000, reward=-710.769
[t=852000.0s] a=7846.70, goal=7905.47, Fs=-0.8367, reward=-719.877
[t=864000.0s] a=7850.60, goal=7905.47, Fs=0.0174, reward=-722.487
 FAILURE #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8282.90, goal=8091.54, Fs=-1.0000, reward=-26.136
[t=24000.0s] a=8255.07, goal=8091.54, Fs=-0.3390, reward=-33.353
[t=36000.0s] a=8212.36, goal=8091.54, Fs=-0.2635, reward=-39.082
[t=48000.0s] a=8205.42, goal=8091.54, Fs=-0.4995, reward=-48.388
[t=60000.0s] a=8186.74, goal=8091.54, Fs=-1.0000, reward=-56.521
[t=72000.0s] a=8164.55, goal=8091.54, Fs=0.7591, reward=-71.301
[t=84000.0s] a=8146.40, goal=8091.54, Fs=0.1321, reward=-79.486
[t=96000.0s] a=8147.11, goal=8091.54, Fs=-1.0000, reward=-82.557
[t=108000.0s] a=8128.48, goal=8091.54, Fs=0.6925, reward=-97.694
[t=120000.0s] a=8123.17, goal=8091.54, Fs=1.0000, reward=-107.163
[t=132000.0s] a=8106.25, goal=8091.54, Fs=-1.0000, reward=-108.471
 SUCCESS #2 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7695.43, goal=7937.20, Fs=-0.0096, reward=-88.177
[t=24000.0s] a=7718.80, goal=7937.20, Fs=0.9294, reward=-38.840
[t=36000.0s] a=7742.54, goal=7937.20, Fs=-1.0000, reward=-53.465
[t=48000.0s] a=7753.40, goal=7937.20, Fs=1.0000, reward=-55.380
[t=60000.0s] a=7773.26, goal=7937.20, Fs=-0.4782, reward=-70.394
[t=72000.0s] a=7793.17, goal=7937.20, Fs=0.3455, reward=-71.402
[t=84000.0s] a=7796.24, goal=7937.20, Fs=1.0000, reward=-81.096
[t=96000.0s] a=7810.47, goal=7937.20, Fs=0.3400, reward=-89.673
[t=108000.0s] a=7822.09, goal=7937.20, Fs=1.0000, reward=-98.511
[t=120000.0s] a=7822.88, goal=7937.20, Fs=-1.0000, reward=-115.431
[t=132000.0s] a=7838.09, goal=7937.20, Fs=0.7352, reward=-116.911
[t=144000.0s] a=7849.59, goal=7937.20, Fs=0.7455, reward=-125.761
[t=156000.0s] a=7855.18, goal=7937.20, Fs=-1.0000, reward=-142.202
[t=168000.0s] a=7857.58, goal=7937.20, Fs=-1.0000, reward=-151.962
[t=180000.0s] a=7857.57, goal=7937.20, Fs=-0.8950, reward=-161.963
[t=192000.0s] a=7878.23, goal=7937.20, Fs=0.7454, reward=-162.897
[t=204000.0s] a=7883.19, goal=7937.20, Fs=-1.0000, reward=-179.401
[t=216000.0s] a=7879.47, goal=7937.20, Fs=0.4950, reward=-182.773
[t=228000.0s] a=7865.48, goal=7937.20, Fs=1.0000, reward=-194.172
[t=240000.0s] a=7857.95, goal=7937.20, Fs=-1.0000, reward=-211.925
[t=252000.0s] a=7854.41, goal=7937.20, Fs=0.5621, reward=-215.278
[t=264000.0s] a=7860.34, goal=7937.20, Fs=0.4966, reward=-224.686
[t=276000.0s] a=7866.85, goal=7937.20, Fs=1.0000, reward=-234.035
[t=288000.0s] a=7871.76, goal=7937.20, Fs=0.2582, reward=-243.543
[t=300000.0s] a=7874.67, goal=7937.20, Fs=-0.2463, reward=-260.253
[t=312000.0s] a=7880.32, goal=7937.20, Fs=-0.1169, reward=-269.687
[t=324000.0s] a=7878.17, goal=7937.20, Fs=0.2297, reward=-272.903
[t=336000.0s] a=7889.51, goal=7937.20, Fs=-1.0000, reward=-288.769
[t=348000.0s] a=7886.03, goal=7937.20, Fs=-1.0000, reward=-299.117
[t=360000.0s] a=7882.45, goal=7937.20, Fs=-0.5802, reward=-309.474
[t=372000.0s] a=7892.21, goal=7937.20, Fs=-0.8497, reward=-318.499
[t=384000.0s] a=7883.36, goal=7937.20, Fs=-0.2226, reward=-329.384
[t=396000.0s] a=7881.18, goal=7937.20, Fs=-1.0000, reward=-339.601
[t=408000.0s] a=7889.81, goal=7937.20, Fs=-1.0000, reward=-348.739
[t=420000.0s] a=7897.42, goal=7937.20, Fs=-0.8296, reward=-357.978
[t=432000.0s] a=7896.70, goal=7937.20, Fs=0.5989, reward=-361.050
[t=444000.0s] a=7891.00, goal=7937.20, Fs=-0.6354, reward=-378.620
[t=456000.0s] a=7892.00, goal=7937.20, Fs=-1.0000, reward=-388.520
[t=468000.0s] a=7891.88, goal=7937.20, Fs=0.1881, reward=-391.532
[t=480000.0s] a=7887.80, goal=7937.20, Fs=-0.2921, reward=-408.940
[t=492000.0s] a=7882.10, goal=7937.20, Fs=0.1311, reward=-412.510
[t=504000.0s] a=7885.77, goal=7937.20, Fs=0.2378, reward=-422.143
[t=516000.0s] a=7877.44, goal=7937.20, Fs=-1.0000, reward=-439.976
[t=528000.0s] a=7886.64, goal=7937.20, Fs=1.0000, reward=-442.055
[t=540000.0s] a=7885.17, goal=7937.20, Fs=0.3230, reward=-452.203
[t=552000.0s] a=7879.30, goal=7937.20, Fs=0.5293, reward=-462.790
[t=564000.0s] a=7891.63, goal=7937.20, Fs=1.0000, reward=-471.556
[t=576000.0s] a=7899.10, goal=7937.20, Fs=0.3014, reward=-480.810
[t=588000.0s] a=7896.73, goal=7937.20, Fs=1.0000, reward=-491.047
[t=600000.0s] a=7889.64, goal=7937.20, Fs=-1.0000, reward=-508.756
[t=612000.0s] a=7895.77, goal=7937.20, Fs=-0.3419, reward=-518.143
[t=624000.0s] a=7902.38, goal=7937.20, Fs=0.1874, reward=-520.482
[t=636000.0s] a=7898.01, goal=7937.20, Fs=-1.0000, reward=-537.918
[t=648000.0s] a=7905.88, goal=7937.20, Fs=0.3380, reward=-540.132
[t=660000.0s] a=7904.38, goal=7937.20, Fs=0.0927, reward=-550.282
[t=672000.0s] a=7900.58, goal=7937.20, Fs=1.0000, reward=-560.661
[t=684000.0s] a=7894.47, goal=7937.20, Fs=1.0000, reward=-571.273
[t=696000.0s] a=7893.68, goal=7937.20, Fs=-0.5559, reward=-588.352
[t=708000.0s] a=7905.07, goal=7937.20, Fs=0.8099, reward=-590.212
[t=720000.0s] a=7891.28, goal=7937.20, Fs=1.0000, reward=-601.592
[t=732000.0s] a=7889.31, goal=7937.20, Fs=1.0000, reward=-611.789
[t=744000.0s] a=7881.74, goal=7937.20, Fs=-0.3112, reward=-629.546
[t=756000.0s] a=7875.64, goal=7937.20, Fs=1.0000, reward=-633.156
[t=768000.0s] a=7886.22, goal=7937.20, Fs=-0.3239, reward=-649.098
[t=780000.0s] a=7888.62, goal=7937.20, Fs=1.0000, reward=-651.858
[t=792000.0s] a=7886.97, goal=7937.20, Fs=1.0000, reward=-662.023
[t=804000.0s] a=7891.12, goal=7937.20, Fs=-0.5761, reward=-678.607
[t=816000.0s] a=7891.21, goal=7937.20, Fs=-0.4196, reward=-688.598
[t=828000.0s] a=7876.71, goal=7937.20, Fs=0.2078, reward=-693.049
[t=840000.0s] a=7878.48, goal=7937.20, Fs=-0.6307, reward=-709.872
[t=852000.0s] a=7892.49, goal=7937.20, Fs=-0.3093, reward=-718.471
[t=864000.0s] a=7884.64, goal=7937.20, Fs=1.0000, reward=-722.256
 FAILURE #2 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8414.87, goal=8141.17, Fs=-1.0000, reward=-34.369
[t=24000.0s] a=8377.93, goal=8141.17, Fs=0.4514, reward=-97.676
[t=36000.0s] a=8333.59, goal=8141.17, Fs=1.0000, reward=-53.242
[t=48000.0s] a=8316.48, goal=8141.17, Fs=-1.0000, reward=-54.530
[t=60000.0s] a=8282.99, goal=8141.17, Fs=-1.0000, reward=-61.182
[t=72000.0s] a=8266.78, goal=8141.17, Fs=0.6777, reward=-76.561
[t=84000.0s] a=8250.63, goal=8141.17, Fs=1.0000, reward=-84.946
[t=96000.0s] a=8234.10, goal=8141.17, Fs=1.0000, reward=-93.293
[t=108000.0s] a=8216.36, goal=8141.17, Fs=-0.5922, reward=-94.519
[t=120000.0s] a=8204.45, goal=8141.17, Fs=-0.3312, reward=-103.328
[t=132000.0s] a=8191.69, goal=8141.17, Fs=-0.4397, reward=-112.052
[t=144000.0s] a=8158.30, goal=8141.17, Fs=1.0000, reward=-125.712
[t=156000.0s] a=8143.66, goal=8141.17, Fs=-1.0000, reward=-124.249
 SUCCESS #3 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7515.35, goal=7828.19, Fs=-0.1269, reward=-95.285
[t=24000.0s] a=7541.70, goal=7828.19, Fs=-0.8660, reward=-102.650
[t=36000.0s] a=7568.99, goal=7828.19, Fs=-0.5563, reward=-109.920
[t=48000.0s] a=7583.58, goal=7828.19, Fs=-1.0000, reward=-118.462
[t=60000.0s] a=7609.58, goal=7828.19, Fs=0.7386, reward=-68.861
[t=72000.0s] a=7627.67, goal=7828.19, Fs=1.0000, reward=-77.052
[t=84000.0s] a=7652.20, goal=7828.19, Fs=-0.1943, reward=-91.599
[t=96000.0s] a=7652.47, goal=7828.19, Fs=-0.8141, reward=-101.572
[t=108000.0s] a=7658.22, goal=7828.19, Fs=1.0000, reward=-103.998
[t=120000.0s] a=7666.75, goal=7828.19, Fs=0.6581, reward=-113.144
[t=132000.0s] a=7667.32, goal=7828.19, Fs=-0.1251, reward=-130.087
[t=144000.0s] a=7695.58, goal=7828.19, Fs=-0.6271, reward=-137.261
[t=156000.0s] a=7687.31, goal=7828.19, Fs=-0.5927, reward=-148.088
[t=168000.0s] a=7695.45, goal=7828.19, Fs=0.2106, reward=-150.274
[t=180000.0s] a=7700.93, goal=7828.19, Fs=-0.7623, reward=-166.727
[t=192000.0s] a=7709.96, goal=7828.19, Fs=-0.0259, reward=-175.823
[t=204000.0s] a=7724.77, goal=7828.19, Fs=-0.0122, reward=-184.343
[t=216000.0s] a=7719.88, goal=7828.19, Fs=0.3114, reward=-187.831
[t=228000.0s] a=7731.19, goal=7828.19, Fs=-0.2414, reward=-203.700
[t=240000.0s] a=7725.44, goal=7828.19, Fs=-0.0213, reward=-214.275
[t=252000.0s] a=7744.40, goal=7828.19, Fs=-0.0820, reward=-222.380
[t=264000.0s] a=7752.66, goal=7828.19, Fs=0.8743, reward=-224.553
[t=276000.0s] a=7744.87, goal=7828.19, Fs=0.8761, reward=-235.332
[t=288000.0s] a=7748.89, goal=7828.19, Fs=-0.0830, reward=-251.930
[t=300000.0s] a=7744.31, goal=7828.19, Fs=-0.0960, reward=-262.388
[t=312000.0s] a=7745.24, goal=7828.19, Fs=1.0000, reward=-265.295
[t=324000.0s] a=7760.58, goal=7828.19, Fs=0.0353, reward=-273.762
[t=336000.0s] a=7765.45, goal=7828.19, Fs=-0.7137, reward=-290.274
[t=348000.0s] a=7765.23, goal=7828.19, Fs=1.0000, reward=-293.296
[t=360000.0s] a=7771.02, goal=7828.19, Fs=0.4901, reward=-302.717
[t=372000.0s] a=7761.49, goal=7828.19, Fs=0.5347, reward=-313.670
[t=384000.0s] a=7769.36, goal=7828.19, Fs=-0.3393, reward=-329.884
[t=396000.0s] a=7779.18, goal=7828.19, Fs=1.0000, reward=-331.902
[t=408000.0s] a=7766.04, goal=7828.19, Fs=0.7240, reward=-343.215
[t=420000.0s] a=7770.91, goal=7828.19, Fs=-1.0000, reward=-359.728
[t=432000.0s] a=7778.82, goal=7828.19, Fs=0.3722, reward=-361.937
[t=444000.0s] a=7768.85, goal=7828.19, Fs=1.0000, reward=-372.934
[t=456000.0s] a=7769.02, goal=7828.19, Fs=-0.4356, reward=-389.918
[t=468000.0s] a=7767.81, goal=7828.19, Fs=0.4318, reward=-393.039
[t=480000.0s] a=7772.08, goal=7828.19, Fs=-0.6244, reward=-409.612
[t=492000.0s] a=7777.68, goal=7828.19, Fs=0.9293, reward=-412.052
[t=504000.0s] a=7786.94, goal=7828.19, Fs=0.5202, reward=-421.125
[t=516000.0s] a=7781.38, goal=7828.19, Fs=-0.7820, reward=-438.682
[t=528000.0s] a=7780.86, goal=7828.19, Fs=1.0000, reward=-441.733
[t=540000.0s] a=7776.21, goal=7828.19, Fs=-0.2864, reward=-459.199
[t=552000.0s] a=7781.38, goal=7828.19, Fs=0.1541, reward=-461.681
[t=564000.0s] a=7791.41, goal=7828.19, Fs=0.8320, reward=-470.679
[t=576000.0s] a=7790.58, goal=7828.19, Fs=0.7520, reward=-480.762
[t=588000.0s] a=7785.28, goal=7828.19, Fs=0.6266, reward=-491.291
[t=600000.0s] a=7781.66, goal=7828.19, Fs=1.0000, reward=-501.653
[t=612000.0s] a=7780.52, goal=7828.19, Fs=-0.6600, reward=-518.767
[t=624000.0s] a=7778.43, goal=7828.19, Fs=-0.9240, reward=-528.976
[t=636000.0s] a=7783.48, goal=7828.19, Fs=-0.0165, reward=-538.471
[t=648000.0s] a=7770.26, goal=7828.19, Fs=0.1527, reward=-542.793
[t=660000.0s] a=7766.31, goal=7828.19, Fs=0.5821, reward=-553.188
[t=672000.0s] a=7773.39, goal=7828.19, Fs=1.0000, reward=-562.480
[t=684000.0s] a=7771.73, goal=7828.19, Fs=0.2305, reward=-572.646
[t=696000.0s] a=7771.86, goal=7828.19, Fs=1.0000, reward=-582.634
[t=708000.0s] a=7779.97, goal=7828.19, Fs=1.0000, reward=-591.822
[t=720000.0s] a=7782.70, goal=7828.19, Fs=1.0000, reward=-601.549
[t=732000.0s] a=7775.85, goal=7828.19, Fs=0.6793, reward=-612.234
[t=744000.0s] a=7768.22, goal=7828.19, Fs=-1.0000, reward=-629.998
[t=756000.0s] a=7768.40, goal=7828.19, Fs=0.5633, reward=-632.979
[t=768000.0s] a=7766.69, goal=7828.19, Fs=-0.2802, reward=-650.150
[t=780000.0s] a=7777.31, goal=7828.19, Fs=-1.0000, reward=-659.088
[t=792000.0s] a=7764.32, goal=7828.19, Fs=1.0000, reward=-663.387
[t=804000.0s] a=7769.90, goal=7828.19, Fs=0.6228, reward=-672.829
[t=816000.0s] a=7767.98, goal=7828.19, Fs=-1.0000, reward=-690.021
[t=828000.0s] a=7766.69, goal=7828.19, Fs=0.1327, reward=-693.151
[t=840000.0s] a=7774.24, goal=7828.19, Fs=0.7219, reward=-702.395
[t=852000.0s] a=7775.74, goal=7828.19, Fs=-1.0000, reward=-719.246
