
 ------------------------------------------------- 
[t=12000.0s] a=8447.31, goal=8104.24, Fs=-0.1461, reward=-38.038
[t=24000.0s] a=8444.95, goal=8104.24, Fs=0.0001, reward=-100.072
[t=36000.0s] a=8436.58, goal=8104.24, Fs=-1.0000, reward=-53.235
[t=48000.0s] a=8428.31, goal=8104.24, Fs=-1.0000, reward=-58.408
[t=60000.0s] a=8415.59, goal=8104.24, Fs=0.8248, reward=-119.260
[t=72000.0s] a=8376.73, goal=8104.24, Fs=-0.1794, reward=-61.146
[t=84000.0s] a=8345.92, goal=8104.24, Fs=0.0573, reward=-120.455
[t=96000.0s] a=8308.52, goal=8104.24, Fs=-0.5293, reward=-68.074
[t=108000.0s] a=8265.69, goal=8104.24, Fs=-1.0000, reward=-72.145
[t=120000.0s] a=8215.98, goal=8104.24, Fs=0.3637, reward=-76.993
[t=132000.0s] a=8189.89, goal=8104.24, Fs=-0.8454, reward=-75.792
[t=144000.0s] a=8176.51, goal=8104.24, Fs=-0.0348, reward=-76.402
[t=156000.0s] a=8144.19, goal=8104.24, Fs=-0.1067, reward=-79.529
[t=168000.0s] a=8122.48, goal=8104.24, Fs=0.3852, reward=-91.750
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7601.30, goal=7898.08, Fs=-1.0000, reward=-94.677
[t=24000.0s] a=7591.49, goal=7898.08, Fs=-1.0000, reward=-101.658
[t=36000.0s] a=7573.58, goal=7898.08, Fs=-0.4153, reward=-106.527
[t=48000.0s] a=7580.94, goal=7898.08, Fs=-1.0000, reward=-114.714
[t=60000.0s] a=7575.54, goal=7898.08, Fs=-0.1979, reward=-117.243
[t=72000.0s] a=7572.79, goal=7898.08, Fs=0.7442, reward=-69.250
[t=84000.0s] a=7573.90, goal=7898.08, Fs=-0.7024, reward=-131.930
[t=96000.0s] a=7577.54, goal=7898.08, Fs=-1.0000, reward=-139.054
[t=108000.0s] a=7593.69, goal=7898.08, Fs=0.4132, reward=-83.505
[t=120000.0s] a=7615.76, goal=7898.08, Fs=0.2902, reward=-86.683
[t=132000.0s] a=7636.11, goal=7898.08, Fs=0.8025, reward=-93.209
[t=144000.0s] a=7659.00, goal=7898.08, Fs=0.6306, reward=-96.061
[t=156000.0s] a=7683.32, goal=7898.08, Fs=1.0000, reward=-101.476
[t=168000.0s] a=7716.96, goal=7898.08, Fs=0.6063, reward=-102.144
[t=180000.0s] a=7750.96, goal=7898.08, Fs=1.0000, reward=-106.712
[t=192000.0s] a=7785.63, goal=7898.08, Fs=-1.0000, reward=-116.245
[t=204000.0s] a=7812.18, goal=7898.08, Fs=-1.0000, reward=-119.590
[t=216000.0s] a=7845.43, goal=7898.08, Fs=0.8537, reward=-114.534
[t=228000.0s] a=7881.59, goal=7898.08, Fs=0.4074, reward=-114.686
[t=240000.0s] a=7924.93, goal=7898.08, Fs=1.0000, reward=-131.686
[t=252000.0s] a=7955.91, goal=7898.08, Fs=0.1000, reward=-136.283
[t=264000.0s] a=7985.94, goal=7898.08, Fs=0.4977, reward=-147.274
[t=276000.0s] a=8014.30, goal=7898.08, Fs=0.2491, reward=-154.868
[t=288000.0s] a=8042.18, goal=7898.08, Fs=-0.2986, reward=-156.904
[t=300000.0s] a=8075.41, goal=7898.08, Fs=1.0000, reward=-176.733
[t=312000.0s] a=8109.78, goal=7898.08, Fs=0.5035, reward=-233.688
[t=324000.0s] a=8140.56, goal=7898.08, Fs=1.0000, reward=-245.248
[t=336000.0s] a=8162.94, goal=7898.08, Fs=0.8793, reward=-252.883
[t=348000.0s] a=8184.32, goal=7898.08, Fs=-1.0000, reward=-204.625
[t=360000.0s] a=8196.62, goal=7898.08, Fs=-0.2164, reward=-207.937
[t=372000.0s] a=8209.50, goal=7898.08, Fs=1.0000, reward=-276.142
[t=384000.0s] a=8213.03, goal=7898.08, Fs=0.5652, reward=-280.321
[t=396000.0s] a=8217.52, goal=7898.08, Fs=1.0000, reward=-288.944
[t=408000.0s] a=8222.97, goal=7898.08, Fs=-1.0000, reward=-238.489
[t=420000.0s] a=8224.82, goal=7898.08, Fs=-0.6203, reward=-242.776
[t=432000.0s] a=8234.82, goal=7898.08, Fs=1.0000, reward=-308.674
[t=444000.0s] a=8238.16, goal=7898.08, Fs=-0.0079, reward=-253.048
[t=456000.0s] a=8245.46, goal=7898.08, Fs=1.0000, reward=-321.738
[t=468000.0s] a=8253.26, goal=7898.08, Fs=-0.2433, reward=-267.734
[t=480000.0s] a=8255.39, goal=7898.08, Fs=-0.6084, reward=-275.773
[t=492000.0s] a=8256.96, goal=7898.08, Fs=-0.6227, reward=-282.001
[t=504000.0s] a=8251.69, goal=7898.08, Fs=-0.3667, reward=-286.194
[t=516000.0s] a=8256.63, goal=7898.08, Fs=0.3374, reward=-349.542
[t=528000.0s] a=8257.53, goal=7898.08, Fs=-0.9876, reward=-301.883
