
 ------------------------------------------------- 
[t=12000.0s] a=8320.79, goal=8078.25, Fs=0.2264, reward=-85.386
[t=24000.0s] a=8323.30, goal=8078.25, Fs=-0.2585, reward=-34.798
[t=36000.0s] a=8316.69, goal=8078.25, Fs=-0.7689, reward=-42.689
[t=48000.0s] a=8308.13, goal=8078.25, Fs=-0.1393, reward=-44.685
[t=60000.0s] a=8299.77, goal=8078.25, Fs=0.8165, reward=-110.235
[t=72000.0s] a=8263.86, goal=8078.25, Fs=-0.0720, reward=-51.921
[t=84000.0s] a=8232.59, goal=8078.25, Fs=-0.0656, reward=-54.762
[t=96000.0s] a=8212.31, goal=8078.25, Fs=0.8790, reward=-69.802
[t=108000.0s] a=8176.26, goal=8078.25, Fs=-1.0000, reward=-65.801
[t=120000.0s] a=8142.08, goal=8078.25, Fs=-0.0107, reward=-63.437
[t=132000.0s] a=8106.47, goal=8078.25, Fs=-1.0000, reward=-70.822
[t=144000.0s] a=8077.72, goal=8078.25, Fs=0.9939, reward=-71.023
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7657.08, goal=7882.53, Fs=-0.2006, reward=-83.549
[t=24000.0s] a=7629.39, goal=7882.53, Fs=-0.6726, reward=-94.677
[t=36000.0s] a=7612.58, goal=7882.53, Fs=-0.0311, reward=-99.150
[t=48000.0s] a=7604.80, goal=7882.53, Fs=0.7063, reward=-52.305
[t=60000.0s] a=7601.51, goal=7882.53, Fs=0.7161, reward=-58.682
[t=72000.0s] a=7590.52, goal=7882.53, Fs=0.1886, reward=-63.144
[t=84000.0s] a=7580.75, goal=7882.53, Fs=-0.7440, reward=-129.899
[t=96000.0s] a=7578.19, goal=7882.53, Fs=-0.5046, reward=-134.957
[t=108000.0s] a=7582.90, goal=7882.53, Fs=-0.0042, reward=-137.985
[t=120000.0s] a=7596.33, goal=7882.53, Fs=1.0000, reward=-90.621
[t=132000.0s] a=7599.40, goal=7882.53, Fs=0.2509, reward=-92.568
[t=144000.0s] a=7619.23, goal=7882.53, Fs=0.2586, reward=-96.623
[t=156000.0s] a=7634.23, goal=7882.53, Fs=-0.4556, reward=-159.109
[t=168000.0s] a=7649.09, goal=7882.53, Fs=1.0000, reward=-109.344
[t=180000.0s] a=7680.84, goal=7882.53, Fs=-0.9833, reward=-169.086
[t=192000.0s] a=7712.28, goal=7882.53, Fs=0.5890, reward=-112.970
[t=204000.0s] a=7747.51, goal=7882.53, Fs=-0.9766, reward=-124.386
[t=216000.0s] a=7779.25, goal=7882.53, Fs=-1.0000, reward=-127.329
[t=228000.0s] a=7808.34, goal=7882.53, Fs=-0.9493, reward=-130.166
[t=240000.0s] a=7851.41, goal=7882.53, Fs=0.2893, reward=-121.558
[t=252000.0s] a=7891.57, goal=7882.53, Fs=1.0000, reward=-122.904
[t=264000.0s] a=7937.39, goal=7882.53, Fs=-0.5589, reward=-137.281
[t=276000.0s] a=7966.88, goal=7882.53, Fs=0.3683, reward=-152.277
[t=288000.0s] a=7991.02, goal=7882.53, Fs=-0.4524, reward=-154.110
[t=300000.0s] a=8027.35, goal=7882.53, Fs=-0.0370, reward=-161.666
[t=312000.0s] a=8045.32, goal=7882.53, Fs=-1.0000, reward=-174.279
[t=324000.0s] a=8068.38, goal=7882.53, Fs=0.5417, reward=-187.293
[t=336000.0s] a=8102.25, goal=7882.53, Fs=0.0449, reward=-244.196
[t=348000.0s] a=8134.20, goal=7882.53, Fs=1.0000, reward=-258.167
[t=360000.0s] a=8157.81, goal=7882.53, Fs=0.1434, reward=-262.245
[t=372000.0s] a=8186.29, goal=7882.53, Fs=1.0000, reward=-275.375
[t=384000.0s] a=8193.27, goal=7882.53, Fs=1.0000, reward=-282.074
[t=396000.0s] a=8205.85, goal=7882.53, Fs=1.0000, reward=-289.331
[t=408000.0s] a=8216.73, goal=7882.53, Fs=-0.2941, reward=-235.890
[t=420000.0s] a=8237.99, goal=7882.53, Fs=1.0000, reward=-304.546
[t=432000.0s] a=8245.65, goal=7882.53, Fs=0.0149, reward=-306.386
[t=444000.0s] a=8249.28, goal=7882.53, Fs=-0.3223, reward=-257.286
[t=456000.0s] a=8262.68, goal=7882.53, Fs=-0.1987, reward=-264.008
[t=468000.0s] a=8276.29, goal=7882.53, Fs=0.8329, reward=-331.540
[t=480000.0s] a=8281.29, goal=7882.53, Fs=-0.0496, reward=-277.124
[t=492000.0s] a=8270.52, goal=7882.53, Fs=-0.1392, reward=-282.494
[t=504000.0s] a=8269.29, goal=7882.53, Fs=-1.0000, reward=-292.675
[t=516000.0s] a=8267.25, goal=7882.53, Fs=0.8468, reward=-354.705
[t=528000.0s] a=8264.43, goal=7882.53, Fs=0.9085, reward=-360.732
[t=540000.0s] a=8261.49, goal=7882.53, Fs=-0.6516, reward=-308.154
[t=552000.0s] a=8254.90, goal=7882.53, Fs=-0.5843, reward=-313.158
[t=564000.0s] a=8249.08, goal=7882.53, Fs=0.3098, reward=-374.204
[t=576000.0s] a=8253.64, goal=7882.53, Fs=-0.3070, reward=-323.646
[t=588000.0s] a=8244.92, goal=7882.53, Fs=-0.2987, reward=-328.732
[t=600000.0s] a=8227.22, goal=7882.53, Fs=-0.2967, reward=-332.953
[t=612000.0s] a=8220.95, goal=7882.53, Fs=1.0000, reward=-398.842
[t=624000.0s] a=8219.93, goal=7882.53, Fs=-0.9119, reward=-347.300
[t=636000.0s] a=8204.43, goal=7882.53, Fs=-0.0523, reward=-347.451
[t=648000.0s] a=8189.56, goal=7882.53, Fs=1.0000, reward=-413.703
[t=660000.0s] a=8182.70, goal=7882.53, Fs=0.1036, reward=-414.535
[t=672000.0s] a=8185.65, goal=7882.53, Fs=-0.2184, reward=-364.404
[t=684000.0s] a=8172.66, goal=7882.53, Fs=-0.3303, reward=-369.664
[t=696000.0s] a=8163.66, goal=7882.53, Fs=0.2108, reward=-431.167
[t=708000.0s] a=8160.86, goal=7882.53, Fs=-1.0000, reward=-383.833
[t=720000.0s] a=8141.33, goal=7882.53, Fs=-0.6631, reward=-386.195
[t=732000.0s] a=8134.91, goal=7882.53, Fs=-1.0000, reward=-393.238
[t=744000.0s] a=8128.29, goal=7882.53, Fs=1.0000, reward=-455.575
[t=756000.0s] a=8126.68, goal=7882.53, Fs=0.9315, reward=-461.072
[t=768000.0s] a=8113.89, goal=7882.53, Fs=0.0860, reward=-461.566
[t=780000.0s] a=8103.67, goal=7882.53, Fs=0.3346, reward=-467.787
[t=792000.0s] a=8078.18, goal=7882.53, Fs=-1.0000, reward=-417.564
[t=804000.0s] a=8055.66, goal=7882.53, Fs=1.0000, reward=-428.313
[t=816000.0s] a=8047.25, goal=7882.53, Fs=0.3248, reward=-430.096
[t=828000.0s] a=8049.65, goal=7882.53, Fs=1.0000, reward=-439.711
[t=840000.0s] a=8032.58, goal=7882.53, Fs=-1.0000, reward=-437.005
[t=852000.0s] a=8009.94, goal=7882.53, Fs=-0.6164, reward=-438.823
[t=864000.0s] a=7991.56, goal=7882.53, Fs=-1.0000, reward=-444.903
 FAILURE #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8398.20, goal=8040.58, Fs=1.0000, reward=-100.763
[t=24000.0s] a=8360.42, goal=8040.58, Fs=-0.5737, reward=-43.852
[t=36000.0s] a=8326.94, goal=8040.58, Fs=-1.0000, reward=-48.636
[t=48000.0s] a=8300.47, goal=8040.58, Fs=1.0000, reward=-108.989
[t=60000.0s] a=8279.12, goal=8040.58, Fs=-0.7694, reward=-54.701
[t=72000.0s] a=8257.31, goal=8040.58, Fs=0.2140, reward=-112.743
[t=84000.0s] a=8234.84, goal=8040.58, Fs=0.4058, reward=-67.455
[t=96000.0s] a=8216.00, goal=8040.58, Fs=-0.5410, reward=-65.247
[t=108000.0s] a=8190.56, goal=8040.58, Fs=-1.0000, reward=-70.998
[t=120000.0s] a=8158.08, goal=8040.58, Fs=-0.4994, reward=-71.248
[t=132000.0s] a=8146.33, goal=8040.58, Fs=-0.5775, reward=-76.462
[t=144000.0s] a=8118.97, goal=8040.58, Fs=-0.6799, reward=-80.239
[t=156000.0s] a=8106.04, goal=8040.58, Fs=-0.0739, reward=-81.916
[t=168000.0s] a=8088.43, goal=8040.58, Fs=-0.3675, reward=-87.623
[t=180000.0s] a=8095.05, goal=8040.58, Fs=-0.9528, reward=-97.211
[t=192000.0s] a=8089.66, goal=8040.58, Fs=1.0000, reward=-109.908
[t=204000.0s] a=8088.99, goal=8040.58, Fs=0.2968, reward=-112.325
[t=216000.0s] a=8083.04, goal=8040.58, Fs=-1.0000, reward=-114.246
[t=228000.0s] a=8098.08, goal=8040.58, Fs=0.3089, reward=-125.294
[t=240000.0s] a=8110.31, goal=8040.58, Fs=1.0000, reward=-135.973
[t=252000.0s] a=8118.82, goal=8040.58, Fs=-1.0000, reward=-135.824
[t=264000.0s] a=8132.16, goal=8040.58, Fs=0.2420, reward=-146.368
[t=276000.0s] a=8139.13, goal=8040.58, Fs=-0.3750, reward=-146.730
[t=288000.0s] a=8147.96, goal=8040.58, Fs=1.0000, reward=-163.738
[t=300000.0s] a=8158.32, goal=8040.58, Fs=1.0000, reward=-170.774
[t=312000.0s] a=8173.87, goal=8040.58, Fs=-0.2651, reward=-167.654
[t=324000.0s] a=8170.36, goal=8040.58, Fs=0.3071, reward=-180.513
[t=336000.0s] a=8172.77, goal=8040.58, Fs=0.5997, reward=-188.217
[t=348000.0s] a=8182.13, goal=8040.58, Fs=-0.0494, reward=-185.402
[t=360000.0s] a=8183.38, goal=8040.58, Fs=-1.0000, reward=-196.280
[t=372000.0s] a=8193.05, goal=8040.58, Fs=0.4829, reward=-207.661
[t=384000.0s] a=8194.32, goal=8040.58, Fs=0.0620, reward=-211.684
[t=396000.0s] a=8196.59, goal=8040.58, Fs=0.0331, reward=-217.766
[t=408000.0s] a=8195.19, goal=8040.58, Fs=-1.0000, reward=-221.461
[t=420000.0s] a=8187.92, goal=8040.58, Fs=-0.4708, reward=-224.088
[t=432000.0s] a=8197.56, goal=8040.58, Fs=-1.0000, reward=-233.698
[t=444000.0s] a=8198.65, goal=8040.58, Fs=-0.5755, reward=-237.684
[t=456000.0s] a=8188.34, goal=8040.58, Fs=0.8452, reward=-251.002
[t=468000.0s] a=8176.68, goal=8040.58, Fs=-0.1070, reward=-245.145
[t=480000.0s] a=8160.29, goal=8040.58, Fs=0.9607, reward=-260.774
[t=492000.0s] a=8159.46, goal=8040.58, Fs=1.0000, reward=-266.888
[t=504000.0s] a=8155.83, goal=8040.58, Fs=-1.0000, reward=-265.525
[t=516000.0s] a=8153.24, goal=8040.58, Fs=-1.0000, reward=-271.266
[t=528000.0s] a=8137.21, goal=8040.58, Fs=0.9630, reward=-282.478
