
 ------------------------------------------------- 
[t=12000.0s] a=8467.89, goal=8183.31, Fs=0.6403, reward=-84.458
[t=24000.0s] a=8477.22, goal=8183.31, Fs=-0.3554, reward=-30.391
[t=36000.0s] a=8481.86, goal=8183.31, Fs=1.0000, reward=-89.856
[t=48000.0s] a=8468.25, goal=8183.31, Fs=0.3052, reward=-90.495
[t=60000.0s] a=8446.60, goal=8183.31, Fs=1.0000, reward=-90.329
[t=72000.0s] a=8420.66, goal=8183.31, Fs=-1.0000, reward=-32.735
[t=84000.0s] a=8388.82, goal=8183.31, Fs=1.0000, reward=-88.552
[t=96000.0s] a=8353.76, goal=8183.31, Fs=0.0213, reward=-37.046
[t=108000.0s] a=8299.74, goal=8183.31, Fs=-0.4382, reward=-26.643
[t=120000.0s] a=8257.62, goal=8183.31, Fs=-1.0000, reward=-24.431
[t=132000.0s] a=8202.03, goal=8183.31, Fs=-1.0000, reward=-20.872
[t=144000.0s] a=8155.92, goal=8183.31, Fs=0.7714, reward=-23.739
[t=156000.0s] a=8107.03, goal=8183.31, Fs=-0.9350, reward=-37.627
[t=168000.0s] a=8038.28, goal=8183.31, Fs=0.9876, reward=-39.503
[t=180000.0s] a=7987.47, goal=8183.31, Fs=0.9539, reward=-46.584
[t=192000.0s] a=7944.40, goal=8183.31, Fs=-1.0000, reward=-109.891
[t=204000.0s] a=7894.17, goal=8183.31, Fs=-0.0239, reward=-116.914
[t=216000.0s] a=7861.21, goal=8183.31, Fs=-0.3178, reward=-122.210
[t=228000.0s] a=7830.72, goal=8183.31, Fs=-0.4985, reward=-127.258
[t=240000.0s] a=7793.18, goal=8183.31, Fs=0.6305, reward=-76.012
[t=252000.0s] a=7776.77, goal=8183.31, Fs=1.0000, reward=-79.654
[t=264000.0s] a=7746.57, goal=8183.31, Fs=-0.0009, reward=-141.674
[t=276000.0s] a=7730.78, goal=8183.31, Fs=0.4531, reward=-88.252
[t=288000.0s] a=7714.42, goal=8183.31, Fs=-1.0000, reward=-148.889
[t=300000.0s] a=7705.05, goal=8183.31, Fs=-0.1699, reward=-151.825
[t=312000.0s] a=7690.81, goal=8183.31, Fs=0.9821, reward=-98.250
[t=324000.0s] a=7692.21, goal=8183.31, Fs=0.2766, reward=-100.109
[t=336000.0s] a=7688.71, goal=8183.31, Fs=-1.0000, reward=-159.460
[t=348000.0s] a=7696.49, goal=8183.31, Fs=0.1726, reward=-103.682
[t=360000.0s] a=7716.81, goal=8183.31, Fs=1.0000, reward=-103.650
[t=372000.0s] a=7737.04, goal=8183.31, Fs=-0.4163, reward=-160.627
[t=384000.0s] a=7763.61, goal=8183.31, Fs=1.0000, reward=-102.970
[t=396000.0s] a=7781.21, goal=8183.31, Fs=0.5513, reward=-103.210
[t=408000.0s] a=7816.41, goal=8183.31, Fs=-0.2531, reward=-158.690
[t=420000.0s] a=7846.31, goal=8183.31, Fs=0.3718, reward=-100.699
[t=432000.0s] a=7885.35, goal=8183.31, Fs=1.0000, reward=-98.796
[t=444000.0s] a=7923.87, goal=8183.31, Fs=-0.6162, reward=-153.944
[t=456000.0s] a=7971.40, goal=8183.31, Fs=-0.5582, reward=-151.191
[t=468000.0s] a=8020.49, goal=8183.31, Fs=-0.1134, reward=-98.282
[t=480000.0s] a=8078.95, goal=8183.31, Fs=0.7029, reward=-87.436
[t=492000.0s] a=8125.58, goal=8183.31, Fs=-0.5985, reward=-91.773
[t=504000.0s] a=8179.66, goal=8183.31, Fs=0.6393, reward=-88.365
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7692.95, goal=7925.39, Fs=0.9834, reward=-22.244
[t=24000.0s] a=7760.45, goal=7925.39, Fs=1.0000, reward=-17.494
[t=36000.0s] a=7816.50, goal=7925.39, Fs=0.6837, reward=-13.889
[t=48000.0s] a=7880.82, goal=7925.39, Fs=0.4351, reward=-9.457
[t=60000.0s] a=7937.86, goal=7925.39, Fs=0.7879, reward=-15.247
[t=72000.0s] a=7997.49, goal=7925.39, Fs=0.4958, reward=-23.210
[t=84000.0s] a=8043.50, goal=7925.39, Fs=1.0000, reward=-29.811
[t=96000.0s] a=8099.06, goal=7925.39, Fs=1.0000, reward=-37.367
[t=108000.0s] a=8145.61, goal=7925.39, Fs=-0.0990, reward=-37.022
[t=120000.0s] a=8191.39, goal=7925.39, Fs=0.9268, reward=-100.600
[t=132000.0s] a=8217.67, goal=7925.39, Fs=0.9623, reward=-105.228
[t=144000.0s] a=8259.41, goal=7925.39, Fs=0.9444, reward=-111.402
[t=156000.0s] a=8296.82, goal=7925.39, Fs=0.5693, reward=-117.143
[t=168000.0s] a=8319.62, goal=7925.39, Fs=0.2917, reward=-121.423
[t=180000.0s] a=8334.36, goal=7925.39, Fs=-1.0000, reward=-67.897
[t=192000.0s] a=8353.28, goal=7925.39, Fs=1.0000, reward=-128.789
[t=204000.0s] a=8366.28, goal=7925.39, Fs=0.6120, reward=-132.089
[t=216000.0s] a=8381.44, goal=7925.39, Fs=0.1948, reward=-135.605
[t=228000.0s] a=8387.66, goal=7925.39, Fs=-0.0523, reward=-81.227
[t=240000.0s] a=8396.64, goal=7925.39, Fs=0.1987, reward=-141.125
[t=252000.0s] a=8395.58, goal=7925.39, Fs=-0.4845, reward=-86.019
[t=264000.0s] a=8405.59, goal=7925.39, Fs=0.1879, reward=-146.020
[t=276000.0s] a=8404.56, goal=7925.39, Fs=0.4451, reward=-147.917
[t=288000.0s] a=8392.59, goal=7925.39, Fs=0.4197, reward=-148.720
[t=300000.0s] a=8387.94, goal=7925.39, Fs=-0.6461, reward=-93.255
[t=312000.0s] a=8376.08, goal=7925.39, Fs=-0.9706, reward=-94.069
[t=324000.0s] a=8376.56, goal=7925.39, Fs=-0.9199, reward=-96.117
[t=336000.0s] a=8357.55, goal=7925.39, Fs=-0.9345, reward=-96.216
[t=348000.0s] a=8351.04, goal=7925.39, Fs=0.1694, reward=-154.565
[t=360000.0s] a=8329.28, goal=7925.39, Fs=0.3813, reward=-154.389
[t=372000.0s] a=8316.12, goal=7925.39, Fs=-0.4933, reward=-98.073
[t=384000.0s] a=8298.44, goal=7925.39, Fs=-0.5549, reward=-98.305
[t=396000.0s] a=8286.26, goal=7925.39, Fs=0.2682, reward=-156.087
[t=408000.0s] a=8278.24, goal=7925.39, Fs=0.1978, reward=-157.285
[t=420000.0s] a=8271.35, goal=7925.39, Fs=-0.0357, reward=-101.596
[t=432000.0s] a=8264.80, goal=7925.39, Fs=-1.0000, reward=-102.941
[t=444000.0s] a=8261.31, goal=7925.39, Fs=-1.0000, reward=-104.592
[t=456000.0s] a=8243.10, goal=7925.39, Fs=0.4271, reward=-161.771
[t=468000.0s] a=8248.34, goal=7925.39, Fs=-0.6812, reward=-107.295
[t=480000.0s] a=8238.71, goal=7925.39, Fs=0.0293, reward=-165.332
[t=492000.0s] a=8246.20, goal=7925.39, Fs=0.2388, reward=-168.081
[t=504000.0s] a=8247.66, goal=7925.39, Fs=-0.8631, reward=-113.227
[t=516000.0s] a=8238.47, goal=7925.39, Fs=-1.0000, reward=-114.308
[t=528000.0s] a=8231.70, goal=7925.39, Fs=0.5222, reward=-172.631
[t=540000.0s] a=8209.94, goal=7925.39, Fs=-0.3838, reward=-115.455
[t=552000.0s] a=8196.81, goal=7925.39, Fs=-1.0000, reward=-116.142
[t=564000.0s] a=8192.15, goal=7925.39, Fs=0.5745, reward=-174.676
[t=576000.0s] a=8178.21, goal=7925.39, Fs=1.0000, reward=-175.282
[t=588000.0s] a=8154.52, goal=7925.39, Fs=0.4919, reward=-174.913
[t=600000.0s] a=8143.16, goal=7925.39, Fs=-1.0000, reward=-118.777
[t=612000.0s] a=8125.90, goal=7925.39, Fs=-0.1768, reward=-119.051
[t=624000.0s] a=8118.89, goal=7925.39, Fs=-0.6733, reward=-120.350
[t=636000.0s] a=8092.64, goal=7925.39, Fs=0.6737, reward=-126.725
[t=648000.0s] a=8057.90, goal=7925.39, Fs=1.0000, reward=-125.251
[t=660000.0s] a=8026.37, goal=7925.39, Fs=0.6507, reward=-124.098
