
 ------------------------------------------------- 
[t=12000.0s] a=8297.38, goal=8067.64, Fs=0.9794, reward=-91.872
[t=24000.0s] a=8294.11, goal=8067.64, Fs=0.6108, reward=-99.702
[t=36000.0s] a=8283.60, goal=8067.64, Fs=0.7610, reward=-109.401
[t=48000.0s] a=8268.87, goal=8067.64, Fs=1.0000, reward=-119.123
[t=60000.0s] a=8267.96, goal=8067.64, Fs=-1.0000, reward=-72.033
[t=72000.0s] a=8231.12, goal=8067.64, Fs=-1.0000, reward=-78.348
[t=84000.0s] a=8195.10, goal=8067.64, Fs=0.0034, reward=-86.763
[t=96000.0s] a=8168.91, goal=8067.64, Fs=-0.2803, reward=-88.529
[t=108000.0s] a=8139.60, goal=8067.64, Fs=0.0223, reward=-101.307
[t=120000.0s] a=8098.46, goal=8067.64, Fs=1.0000, reward=-112.082
[t=132000.0s] a=8057.37, goal=8067.64, Fs=0.0912, reward=-108.483
[t=144000.0s] a=8028.08, goal=8067.64, Fs=-0.1589, reward=-128.750
[t=156000.0s] a=7983.83, goal=8067.64, Fs=-0.4068, reward=-144.415
[t=168000.0s] a=7942.64, goal=8067.64, Fs=1.0000, reward=-154.500
[t=180000.0s] a=7913.75, goal=8067.64, Fs=-0.7458, reward=-173.117
[t=192000.0s] a=7882.03, goal=8067.64, Fs=-0.5549, reward=-185.335
[t=204000.0s] a=7865.32, goal=8067.64, Fs=0.3841, reward=-189.152
[t=216000.0s] a=7818.33, goal=8067.64, Fs=-1.0000, reward=-263.931
[t=228000.0s] a=7784.83, goal=8067.64, Fs=-1.0000, reward=-277.281
[t=240000.0s] a=7758.34, goal=8067.64, Fs=-1.0000, reward=-289.929
[t=252000.0s] a=7724.30, goal=8067.64, Fs=-0.2050, reward=-299.359
[t=264000.0s] a=7696.64, goal=8067.64, Fs=-0.6401, reward=-314.300
[t=276000.0s] a=7669.86, goal=8067.64, Fs=-0.3214, reward=-325.384
[t=288000.0s] a=7644.50, goal=8067.64, Fs=1.0000, reward=-284.314
[t=300000.0s] a=7613.76, goal=8067.64, Fs=-1.0000, reward=-354.388
[t=312000.0s] a=7598.30, goal=8067.64, Fs=-1.0000, reward=-365.934
[t=324000.0s] a=7580.41, goal=8067.64, Fs=0.4363, reward=-317.904
[t=336000.0s] a=7562.55, goal=8067.64, Fs=1.0000, reward=-332.508
[t=348000.0s] a=7544.88, goal=8067.64, Fs=-1.0000, reward=-401.275
[t=360000.0s] a=7523.37, goal=8067.64, Fs=-0.7038, reward=-411.945
[t=372000.0s] a=7493.86, goal=8067.64, Fs=-0.6512, reward=-424.634
[t=384000.0s] a=7480.98, goal=8067.64, Fs=0.9825, reward=-380.579
[t=396000.0s] a=7467.48, goal=8067.64, Fs=-0.3837, reward=-445.934
[t=408000.0s] a=7460.00, goal=8067.64, Fs=0.3082, reward=-399.305
[t=420000.0s] a=7451.02, goal=8067.64, Fs=-1.0000, reward=-470.661
[t=432000.0s] a=7438.19, goal=8067.64, Fs=-0.7802, reward=-480.845
[t=444000.0s] a=7431.15, goal=8067.64, Fs=0.5665, reward=-433.481
[t=456000.0s] a=7427.40, goal=8067.64, Fs=0.3178, reward=-442.613
[t=468000.0s] a=7418.23, goal=8067.64, Fs=-1.0000, reward=-513.941
[t=480000.0s] a=7403.74, goal=8067.64, Fs=-0.6247, reward=-523.513
[t=492000.0s] a=7401.79, goal=8067.64, Fs=1.0000, reward=-478.585
[t=504000.0s] a=7404.60, goal=8067.64, Fs=0.8127, reward=-487.367
[t=516000.0s] a=7394.99, goal=8067.64, Fs=-1.0000, reward=-556.264
[t=528000.0s] a=7385.53, goal=8067.64, Fs=-1.0000, reward=-567.210
[t=540000.0s] a=7379.59, goal=8067.64, Fs=1.0000, reward=-520.804
[t=552000.0s] a=7380.17, goal=8067.64, Fs=0.5464, reward=-528.479
[t=564000.0s] a=7382.21, goal=8067.64, Fs=0.5109, reward=-538.097
[t=576000.0s] a=7373.26, goal=8067.64, Fs=0.0707, reward=-546.791
[t=588000.0s] a=7373.66, goal=8067.64, Fs=-1.0000, reward=-618.397
[t=600000.0s] a=7371.76, goal=8067.64, Fs=-0.0556, reward=-623.866
[t=612000.0s] a=7375.33, goal=8067.64, Fs=0.1415, reward=-576.938
[t=624000.0s] a=7379.27, goal=8067.64, Fs=-1.0000, reward=-647.837
[t=636000.0s] a=7372.21, goal=8067.64, Fs=0.5233, reward=-599.159
[t=648000.0s] a=7383.48, goal=8067.64, Fs=-0.1977, reward=-663.404
[t=660000.0s] a=7381.47, goal=8067.64, Fs=0.4365, reward=-617.799
[t=672000.0s] a=7389.37, goal=8067.64, Fs=-0.2200, reward=-682.926
[t=684000.0s] a=7391.16, goal=8067.64, Fs=-0.6882, reward=-695.088
[t=696000.0s] a=7396.18, goal=8067.64, Fs=0.6201, reward=-647.246
[t=708000.0s] a=7398.47, goal=8067.64, Fs=-0.8010, reward=-714.922
[t=720000.0s] a=7398.44, goal=8067.64, Fs=-0.0283, reward=-721.061
[t=732000.0s] a=7400.53, goal=8067.64, Fs=1.0000, reward=-678.710
[t=744000.0s] a=7400.99, goal=8067.64, Fs=0.7169, reward=-687.249
[t=756000.0s] a=7406.26, goal=8067.64, Fs=-0.5222, reward=-752.749
[t=768000.0s] a=7404.54, goal=8067.64, Fs=1.0000, reward=-708.309
[t=780000.0s] a=7412.15, goal=8067.64, Fs=0.8488, reward=-716.792
[t=792000.0s] a=7410.94, goal=8067.64, Fs=-0.7336, reward=-783.337
[t=804000.0s] a=7415.78, goal=8067.64, Fs=0.3874, reward=-734.123
[t=816000.0s] a=7414.96, goal=8067.64, Fs=-0.8133, reward=-803.334
[t=828000.0s] a=7402.86, goal=8067.64, Fs=0.7138, reward=-757.046
[t=840000.0s] a=7398.16, goal=8067.64, Fs=0.1067, reward=-764.482
[t=852000.0s] a=7407.08, goal=8067.64, Fs=0.1106, reward=-773.608
[t=864000.0s] a=7419.28, goal=8067.64, Fs=-0.4844, reward=-841.257
 FAILURE #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7585.40, goal=7800.01, Fs=0.5524, reward=-31.223
[t=24000.0s] a=7578.95, goal=7800.01, Fs=-0.3010, reward=-97.610
[t=36000.0s] a=7582.05, goal=7800.01, Fs=-1.0000, reward=-110.796
[t=48000.0s] a=7575.11, goal=7800.01, Fs=-1.0000, reward=-121.489
[t=60000.0s] a=7582.24, goal=7800.01, Fs=-0.4781, reward=-128.167
[t=72000.0s] a=7593.75, goal=7800.01, Fs=0.8093, reward=-81.673
[t=84000.0s] a=7591.99, goal=7800.01, Fs=0.3085, reward=-89.344
[t=96000.0s] a=7602.97, goal=7800.01, Fs=-0.3363, reward=-105.385
[t=108000.0s] a=7615.11, goal=7800.01, Fs=-0.5994, reward=-115.487
[t=120000.0s] a=7616.32, goal=7800.01, Fs=-0.0095, reward=-122.417
[t=132000.0s] a=7623.65, goal=7800.01, Fs=-1.0000, reward=-136.636
[t=144000.0s] a=7634.42, goal=7800.01, Fs=0.2899, reward=-135.008
[t=156000.0s] a=7642.49, goal=7800.01, Fs=-0.0009, reward=-149.756
[t=168000.0s] a=7646.49, goal=7800.01, Fs=1.0000, reward=-157.352
[t=180000.0s] a=7649.96, goal=7800.01, Fs=0.5253, reward=-164.631
[t=192000.0s] a=7664.26, goal=7800.01, Fs=0.3102, reward=-172.125
[t=204000.0s] a=7667.05, goal=7800.01, Fs=0.1091, reward=-180.841
[t=216000.0s] a=7684.27, goal=7800.01, Fs=0.3280, reward=-190.214
[t=228000.0s] a=7692.34, goal=7800.01, Fs=-0.4285, reward=-206.910
[t=240000.0s] a=7700.68, goal=7800.01, Fs=1.0000, reward=-211.932
[t=252000.0s] a=7708.67, goal=7800.01, Fs=0.4400, reward=-218.334
[t=264000.0s] a=7715.31, goal=7800.01, Fs=-1.0000, reward=-237.470
[t=276000.0s] a=7717.94, goal=7800.01, Fs=0.2427, reward=-236.421
[t=288000.0s] a=7727.21, goal=7800.01, Fs=0.8910, reward=-248.735
[t=300000.0s] a=7744.49, goal=7800.01, Fs=-0.4953, reward=-262.028
[t=312000.0s] a=7752.17, goal=7800.01, Fs=0.2661, reward=-263.114
[t=324000.0s] a=7755.06, goal=7800.01, Fs=1.0000, reward=-276.495
[t=336000.0s] a=7769.40, goal=7800.01, Fs=0.9891, reward=-285.006
[t=348000.0s] a=7763.22, goal=7800.01, Fs=-0.0911, reward=-298.134
[t=360000.0s] a=7757.50, goal=7800.01, Fs=-1.0000, reward=-313.251
[t=372000.0s] a=7772.61, goal=7800.01, Fs=1.0000, reward=-314.740
[t=384000.0s] a=7787.02, goal=7800.01, Fs=1.0000, reward=-323.298
[t=396000.0s] a=7786.62, goal=7800.01, Fs=0.5900, reward=-331.289
[t=408000.0s] a=7794.93, goal=7800.01, Fs=0.6446, reward=-327.731
 SUCCESS #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8490.37, goal=8107.00, Fs=0.0406, reward=-102.541
[t=24000.0s] a=8486.23, goal=8107.00, Fs=-0.2611, reward=-56.229
[t=36000.0s] a=8482.49, goal=8107.00, Fs=-1.0000, reward=-69.550
[t=48000.0s] a=8491.81, goal=8107.00, Fs=0.0890, reward=-132.927
[t=60000.0s] a=8496.66, goal=8107.00, Fs=-0.7623, reward=-89.778
[t=72000.0s] a=8502.87, goal=8107.00, Fs=-0.0997, reward=-97.085
[t=84000.0s] a=8506.76, goal=8107.00, Fs=-1.0000, reward=-111.976
[t=96000.0s] a=8513.11, goal=8107.00, Fs=-0.6917, reward=-121.069
[t=108000.0s] a=8522.98, goal=8107.00, Fs=-0.3571, reward=-130.383
[t=120000.0s] a=8516.69, goal=8107.00, Fs=1.0000, reward=-199.970
