
 ------------------------------------------------- 
[t=12000.0s] a=8326.45, goal=8064.41, Fs=-0.0753, reward=-33.581
[t=24000.0s] a=8313.93, goal=8064.41, Fs=1.0000, reward=-103.952
[t=36000.0s] a=8302.22, goal=8064.41, Fs=0.8502, reward=-112.032
[t=48000.0s] a=8289.96, goal=8064.41, Fs=0.8873, reward=-120.992
[t=60000.0s] a=8274.29, goal=8064.41, Fs=0.7206, reward=-128.591
[t=72000.0s] a=8246.33, goal=8064.41, Fs=-0.1571, reward=-75.978
[t=84000.0s] a=8218.25, goal=8064.41, Fs=-0.0930, reward=-82.850
[t=96000.0s] a=8181.39, goal=8064.41, Fs=-0.0853, reward=-89.125
[t=108000.0s] a=8150.44, goal=8064.41, Fs=-0.6637, reward=-98.922
[t=120000.0s] a=8106.22, goal=8064.41, Fs=-1.0000, reward=-106.181
[t=132000.0s] a=8067.70, goal=8064.41, Fs=-0.9751, reward=-99.204
[t=144000.0s] a=8026.04, goal=8064.41, Fs=-0.0517, reward=-128.096
[t=156000.0s] a=7994.32, goal=8064.41, Fs=-0.5314, reward=-143.666
[t=168000.0s] a=7962.05, goal=8064.41, Fs=-1.0000, reward=-159.236
[t=180000.0s] a=7926.80, goal=8064.41, Fs=-0.7433, reward=-171.477
[t=192000.0s] a=7891.23, goal=8064.41, Fs=0.3561, reward=-176.098
[t=204000.0s] a=7868.07, goal=8064.41, Fs=0.4547, reward=-188.907
[t=216000.0s] a=7836.89, goal=8064.41, Fs=-0.9103, reward=-261.304
[t=228000.0s] a=7807.37, goal=8064.41, Fs=0.7763, reward=-216.585
[t=240000.0s] a=7770.29, goal=8064.41, Fs=0.6406, reward=-229.615
[t=252000.0s] a=7733.22, goal=8064.41, Fs=-0.4506, reward=-299.371
[t=264000.0s] a=7700.89, goal=8064.41, Fs=-0.6005, reward=-313.355
[t=276000.0s] a=7684.89, goal=8064.41, Fs=0.6630, reward=-268.266
[t=288000.0s] a=7646.04, goal=8064.41, Fs=-1.0000, reward=-340.837
[t=300000.0s] a=7625.36, goal=8064.41, Fs=0.3679, reward=-292.744
