
 ------------------------------------------------- 
[t=12000.0s] a=8371.32, goal=8114.80, Fs=0.0679, reward=-89.992
[t=24000.0s] a=8330.15, goal=8114.80, Fs=-1.0000, reward=-43.535
[t=36000.0s] a=8294.13, goal=8114.80, Fs=-0.0247, reward=-45.057
[t=48000.0s] a=8269.26, goal=8114.80, Fs=-1.0000, reward=-57.446
[t=60000.0s] a=8240.83, goal=8114.80, Fs=1.0000, reward=-71.603
[t=72000.0s] a=8214.22, goal=8114.80, Fs=0.3854, reward=-75.869
[t=84000.0s] a=8195.24, goal=8114.80, Fs=0.3585, reward=-83.837
[t=96000.0s] a=8181.13, goal=8114.80, Fs=0.9344, reward=-95.305
[t=108000.0s] a=8172.60, goal=8114.80, Fs=-1.0000, reward=-97.780
[t=120000.0s] a=8148.75, goal=8114.80, Fs=-0.6232, reward=-103.511
[t=132000.0s] a=8142.18, goal=8114.80, Fs=-0.1875, reward=-110.675
[t=144000.0s] a=8131.58, goal=8114.80, Fs=0.3847, reward=-127.602
[t=156000.0s] a=8128.97, goal=8114.80, Fs=-1.0000, reward=-133.417
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7558.33, goal=7762.69, Fs=-0.6735, reward=-87.803
[t=24000.0s] a=7581.65, goal=7762.69, Fs=0.2187, reward=-36.198
[t=36000.0s] a=7606.25, goal=7762.69, Fs=-0.6735, reward=-53.011
[t=48000.0s] a=7614.06, goal=7762.69, Fs=-0.1730, reward=-59.727
[t=60000.0s] a=7629.34, goal=7762.69, Fs=0.0521, reward=-60.596
[t=72000.0s] a=7641.83, goal=7762.69, Fs=0.1185, reward=-69.679
[t=84000.0s] a=7655.67, goal=7762.69, Fs=0.5660, reward=-80.531
[t=96000.0s] a=7672.85, goal=7762.69, Fs=1.0000, reward=-90.984
[t=108000.0s] a=7681.04, goal=7762.69, Fs=0.6105, reward=-98.218
[t=120000.0s] a=7697.63, goal=7762.69, Fs=1.0000, reward=-108.506
[t=132000.0s] a=7698.89, goal=7762.69, Fs=-0.7130, reward=-123.945
[t=144000.0s] a=7698.47, goal=7762.69, Fs=-1.0000, reward=-135.422
[t=156000.0s] a=7694.75, goal=7762.69, Fs=-1.0000, reward=-145.793
[t=168000.0s] a=7699.35, goal=7762.69, Fs=0.3797, reward=-145.232
[t=180000.0s] a=7699.80, goal=7762.69, Fs=0.2693, reward=-154.635
[t=192000.0s] a=7712.14, goal=7762.69, Fs=-0.0435, reward=-169.272
[t=204000.0s] a=7708.15, goal=7762.69, Fs=-0.1108, reward=-180.008
[t=216000.0s] a=7711.60, goal=7762.69, Fs=-0.7344, reward=-192.781
[t=228000.0s] a=7716.89, goal=7762.69, Fs=-0.5776, reward=-201.468
[t=240000.0s] a=7713.73, goal=7762.69, Fs=-0.2133, reward=-209.962
[t=252000.0s] a=7712.95, goal=7762.69, Fs=0.1167, reward=-212.558
[t=264000.0s] a=7733.44, goal=7762.69, Fs=-1.0000, reward=-231.925
[t=276000.0s] a=7730.27, goal=7762.69, Fs=-0.3671, reward=-239.077
[t=288000.0s] a=7736.31, goal=7762.69, Fs=1.0000, reward=-244.638
[t=300000.0s] a=7737.78, goal=7762.69, Fs=-0.8157, reward=-260.569
[t=312000.0s] a=7741.08, goal=7762.69, Fs=-0.2790, reward=-267.556
[t=324000.0s] a=7736.89, goal=7762.69, Fs=0.2927, reward=-271.043
[t=336000.0s] a=7739.46, goal=7762.69, Fs=-1.0000, reward=-291.323
[t=348000.0s] a=7730.00, goal=7762.69, Fs=1.0000, reward=-295.268
[t=360000.0s] a=7711.76, goal=7762.69, Fs=1.0000, reward=-307.093
[t=372000.0s] a=7730.18, goal=7762.69, Fs=-1.0000, reward=-322.251
[t=384000.0s] a=7730.28, goal=7762.69, Fs=1.0000, reward=-325.241
[t=396000.0s] a=7740.46, goal=7762.69, Fs=0.3472, reward=-330.959
[t=408000.0s] a=7739.42, goal=7762.69, Fs=1.0000, reward=-344.327
[t=420000.0s] a=7743.20, goal=7762.69, Fs=0.5320, reward=-351.609
