
 ------------------------------------------------- 
[t=12000.0s] a=8381.32, goal=8115.95, Fs=-0.3887, reward=-35.480
[t=24000.0s] a=8398.89, goal=8115.95, Fs=-0.4841, reward=-47.715
[t=36000.0s] a=8402.84, goal=8115.95, Fs=0.3477, reward=-114.428
[t=48000.0s] a=8390.69, goal=8115.95, Fs=-1.0000, reward=-69.474
[t=60000.0s] a=8374.96, goal=8115.95, Fs=1.0000, reward=-134.901
[t=72000.0s] a=8355.58, goal=8115.95, Fs=-0.9031, reward=-85.479
[t=84000.0s] a=8329.45, goal=8115.95, Fs=0.6858, reward=-148.779
[t=96000.0s] a=8301.31, goal=8115.95, Fs=0.2476, reward=-103.774
[t=108000.0s] a=8262.63, goal=8115.95, Fs=-1.0000, reward=-106.668
[t=120000.0s] a=8227.65, goal=8115.95, Fs=-1.0000, reward=-113.170
[t=132000.0s] a=8177.06, goal=8115.95, Fs=-1.0000, reward=-118.111
[t=144000.0s] a=8139.99, goal=8115.95, Fs=-0.3079, reward=-120.943
[t=156000.0s] a=8102.03, goal=8115.95, Fs=0.0131, reward=-128.457
[t=168000.0s] a=8066.56, goal=8115.95, Fs=0.5542, reward=-144.710
[t=180000.0s] a=8042.15, goal=8115.95, Fs=-0.3724, reward=-163.242
[t=192000.0s] a=8008.68, goal=8115.95, Fs=-1.0000, reward=-179.727
[t=204000.0s] a=7976.71, goal=8115.95, Fs=0.5943, reward=-183.896
[t=216000.0s] a=7940.53, goal=8115.95, Fs=-0.3649, reward=-203.366
[t=228000.0s] a=7907.26, goal=8115.95, Fs=-1.0000, reward=-269.869
[t=240000.0s] a=7878.97, goal=8115.95, Fs=0.9675, reward=-225.536
[t=252000.0s] a=7848.86, goal=8115.95, Fs=-1.0000, reward=-295.709
[t=264000.0s] a=7818.34, goal=8115.95, Fs=-0.7145, reward=-307.333
[t=276000.0s] a=7791.50, goal=8115.95, Fs=-0.0641, reward=-316.765
[t=288000.0s] a=7764.18, goal=8115.95, Fs=-1.0000, reward=-334.177
[t=300000.0s] a=7744.89, goal=8115.95, Fs=0.6377, reward=-287.294
[t=312000.0s] a=7721.76, goal=8115.95, Fs=0.3095, reward=-297.966
[t=324000.0s] a=7697.39, goal=8115.95, Fs=0.5277, reward=-311.494
[t=336000.0s] a=7671.53, goal=8115.95, Fs=-0.5526, reward=-381.205
[t=348000.0s] a=7653.26, goal=8115.95, Fs=-1.0000, reward=-395.269
[t=360000.0s] a=7627.86, goal=8115.95, Fs=-1.0000, reward=-407.809
[t=372000.0s] a=7607.45, goal=8115.95, Fs=-1.0000, reward=-419.850
[t=384000.0s] a=7593.95, goal=8115.95, Fs=-1.0000, reward=-431.200
[t=396000.0s] a=7580.58, goal=8115.95, Fs=0.6291, reward=-383.683
[t=408000.0s] a=7569.79, goal=8115.95, Fs=0.5714, reward=-394.473
[t=420000.0s] a=7578.16, goal=8115.95, Fs=0.0086, reward=-400.822
[t=432000.0s] a=7565.52, goal=8115.95, Fs=-1.0000, reward=-474.043
[t=444000.0s] a=7553.58, goal=8115.95, Fs=-0.9262, reward=-484.868
[t=456000.0s] a=7540.15, goal=8115.95, Fs=-1.0000, reward=-496.580
[t=468000.0s] a=7532.26, goal=8115.95, Fs=-0.2260, reward=-503.499
[t=480000.0s] a=7519.99, goal=8115.95, Fs=1.0000, reward=-461.596
[t=492000.0s] a=7515.61, goal=8115.95, Fs=1.0000, reward=-472.034
[t=504000.0s] a=7515.15, goal=8115.95, Fs=-1.0000, reward=-539.080
[t=516000.0s] a=7505.23, goal=8115.95, Fs=0.6586, reward=-491.365
[t=528000.0s] a=7510.86, goal=8115.95, Fs=-0.4019, reward=-556.519
[t=540000.0s] a=7506.82, goal=8115.95, Fs=-0.7888, reward=-568.858
[t=552000.0s] a=7503.66, goal=8115.95, Fs=1.0000, reward=-523.229
[t=564000.0s] a=7504.40, goal=8115.95, Fs=-1.0000, reward=-590.155
[t=576000.0s] a=7507.21, goal=8115.95, Fs=1.0000, reward=-542.874
[t=588000.0s] a=7512.86, goal=8115.95, Fs=-0.4350, reward=-606.484
[t=600000.0s] a=7516.46, goal=8115.95, Fs=-0.7775, reward=-617.837
[t=612000.0s] a=7521.59, goal=8115.95, Fs=0.0409, reward=-566.641
[t=624000.0s] a=7526.68, goal=8115.95, Fs=0.2500, reward=-577.176
[t=636000.0s] a=7525.66, goal=8115.95, Fs=-0.0235, reward=-643.146
[t=648000.0s] a=7527.39, goal=8115.95, Fs=-0.1843, reward=-653.777
[t=660000.0s] a=7528.47, goal=8115.95, Fs=0.3411, reward=-607.453
[t=672000.0s] a=7530.91, goal=8115.95, Fs=1.0000, reward=-620.504
[t=684000.0s] a=7526.99, goal=8115.95, Fs=-1.0000, reward=-687.896
[t=696000.0s] a=7525.87, goal=8115.95, Fs=-1.0000, reward=-698.008
[t=708000.0s] a=7528.99, goal=8115.95, Fs=-0.4778, reward=-705.085
[t=720000.0s] a=7539.54, goal=8115.95, Fs=-0.8241, reward=-715.761
[t=732000.0s] a=7539.41, goal=8115.95, Fs=0.2509, reward=-665.908
[t=744000.0s] a=7549.69, goal=8115.95, Fs=0.7264, reward=-677.258
[t=756000.0s] a=7556.85, goal=8115.95, Fs=-1.0000, reward=-744.910
[t=768000.0s] a=7563.48, goal=8115.95, Fs=0.9102, reward=-696.798
[t=780000.0s] a=7559.33, goal=8115.95, Fs=1.0000, reward=-707.662
[t=792000.0s] a=7570.03, goal=8115.95, Fs=-1.0000, reward=-773.592
[t=804000.0s] a=7577.07, goal=8115.95, Fs=-0.5236, reward=-780.506
[t=816000.0s] a=7579.87, goal=8115.95, Fs=1.0000, reward=-735.608
[t=828000.0s] a=7591.92, goal=8115.95, Fs=-0.7978, reward=-800.391
[t=840000.0s] a=7594.76, goal=8115.95, Fs=0.3026, reward=-750.632
[t=852000.0s] a=7596.89, goal=8115.95, Fs=-1.0000, reward=-820.906
[t=864000.0s] a=7599.46, goal=8115.95, Fs=1.0000, reward=-773.649
 FAILURE #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7495.56, goal=7789.13, Fs=-0.5879, reward=-96.296
[t=24000.0s] a=7503.60, goal=7789.13, Fs=-0.0148, reward=-102.628
[t=36000.0s] a=7501.35, goal=7789.13, Fs=-0.1392, reward=-113.474
[t=48000.0s] a=7509.07, goal=7789.13, Fs=-0.7647, reward=-125.829
[t=60000.0s] a=7502.16, goal=7789.13, Fs=-0.2193, reward=-133.793
[t=72000.0s] a=7509.24, goal=7789.13, Fs=0.5246, reward=-87.612
[t=84000.0s] a=7515.64, goal=7789.13, Fs=-1.0000, reward=-156.349
[t=96000.0s] a=7512.46, goal=7789.13, Fs=1.0000, reward=-109.667
[t=108000.0s] a=7516.22, goal=7789.13, Fs=1.0000, reward=-119.291
[t=120000.0s] a=7521.42, goal=7789.13, Fs=0.5691, reward=-126.616
[t=132000.0s] a=7529.04, goal=7789.13, Fs=-0.3400, reward=-191.709
[t=144000.0s] a=7525.53, goal=7789.13, Fs=-0.4204, reward=-202.462
[t=156000.0s] a=7536.33, goal=7789.13, Fs=0.2636, reward=-153.599
[t=168000.0s] a=7543.55, goal=7789.13, Fs=-1.0000, reward=-223.558
[t=180000.0s] a=7550.54, goal=7789.13, Fs=-0.7050, reward=-231.384
[t=192000.0s] a=7561.83, goal=7789.13, Fs=-1.0000, reward=-241.730
[t=204000.0s] a=7576.59, goal=7789.13, Fs=0.6338, reward=-191.424
[t=216000.0s] a=7584.06, goal=7789.13, Fs=-1.0000, reward=-259.507
[t=228000.0s] a=7585.67, goal=7789.13, Fs=0.9142, reward=-211.917
[t=240000.0s] a=7595.57, goal=7789.13, Fs=-1.0000, reward=-228.356
[t=252000.0s] a=7621.27, goal=7789.13, Fs=1.0000, reward=-228.786
[t=264000.0s] a=7643.85, goal=7789.13, Fs=1.0000, reward=-236.528
[t=276000.0s] a=7656.89, goal=7789.13, Fs=-0.1088, reward=-247.768
[t=288000.0s] a=7663.40, goal=7789.13, Fs=-0.6603, reward=-259.875
[t=300000.0s] a=7675.37, goal=7789.13, Fs=-0.1361, reward=-266.057
[t=312000.0s] a=7684.65, goal=7789.13, Fs=0.0602, reward=-267.749
[t=324000.0s] a=7689.67, goal=7789.13, Fs=0.0707, reward=-277.300
[t=336000.0s] a=7701.66, goal=7789.13, Fs=0.0816, reward=-286.155
[t=348000.0s] a=7705.42, goal=7789.13, Fs=-0.2201, reward=-303.471
[t=360000.0s] a=7698.32, goal=7789.13, Fs=0.9357, reward=-310.759
[t=372000.0s] a=7707.31, goal=7789.13, Fs=1.0000, reward=-320.182
[t=384000.0s] a=7719.16, goal=7789.13, Fs=-0.6335, reward=-334.164
[t=396000.0s] a=7726.23, goal=7789.13, Fs=0.3905, reward=-335.243
[t=408000.0s] a=7736.44, goal=7789.13, Fs=-1.0000, reward=-354.269
[t=420000.0s] a=7743.84, goal=7789.13, Fs=0.1933, reward=-352.495
[t=432000.0s] a=7762.32, goal=7789.13, Fs=-0.2509, reward=-367.936
[t=444000.0s] a=7767.33, goal=7789.13, Fs=-0.3664, reward=-378.012
[t=456000.0s] a=7769.40, goal=7789.13, Fs=-0.0970, reward=-386.458
[t=468000.0s] a=7780.21, goal=7789.13, Fs=-1.0000, reward=-406.892
 SUCCESS #1 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8412.15, goal=8123.37, Fs=-0.3454, reward=-37.605
[t=24000.0s] a=8417.15, goal=8123.37, Fs=1.0000, reward=-108.379
[t=36000.0s] a=8425.87, goal=8123.37, Fs=-0.0898, reward=-57.699
[t=48000.0s] a=8421.34, goal=8123.37, Fs=-0.2383, reward=-67.989
[t=60000.0s] a=8426.85, goal=8123.37, Fs=-0.4806, reward=-79.751
[t=72000.0s] a=8437.13, goal=8123.37, Fs=1.0000, reward=-150.376
[t=84000.0s] a=8442.86, goal=8123.37, Fs=0.8503, reward=-160.201
[t=96000.0s] a=8423.33, goal=8123.37, Fs=-0.8972, reward=-111.483
[t=108000.0s] a=8422.52, goal=8123.37, Fs=-0.7855, reward=-120.843
[t=120000.0s] a=8429.92, goal=8123.37, Fs=0.8568, reward=-188.939
[t=132000.0s] a=8439.58, goal=8123.37, Fs=-0.6169, reward=-141.705
[t=144000.0s] a=8423.99, goal=8123.37, Fs=-0.7464, reward=-150.794
[t=156000.0s] a=8411.81, goal=8123.37, Fs=-1.0000, reward=-160.844
[t=168000.0s] a=8397.10, goal=8123.37, Fs=0.3510, reward=-223.128
[t=180000.0s] a=8393.90, goal=8123.37, Fs=0.1916, reward=-232.012
[t=192000.0s] a=8390.04, goal=8123.37, Fs=1.0000, reward=-245.667
[t=204000.0s] a=8393.06, goal=8123.37, Fs=-1.0000, reward=-198.969
[t=216000.0s] a=8397.86, goal=8123.37, Fs=1.0000, reward=-266.449
[t=228000.0s] a=8392.53, goal=8123.37, Fs=-0.7674, reward=-217.753
[t=240000.0s] a=8387.39, goal=8123.37, Fs=0.9147, reward=-284.976
[t=252000.0s] a=8375.53, goal=8123.37, Fs=0.0923, reward=-289.678
[t=264000.0s] a=8361.57, goal=8123.37, Fs=-0.3572, reward=-242.606
[t=276000.0s] a=8367.39, goal=8123.37, Fs=0.2433, reward=-309.619
[t=288000.0s] a=8346.00, goal=8123.37, Fs=0.2774, reward=-317.651
[t=300000.0s] a=8328.23, goal=8123.37, Fs=-1.0000, reward=-272.486
[t=312000.0s] a=8322.88, goal=8123.37, Fs=-1.0000, reward=-281.951
[t=324000.0s] a=8304.47, goal=8123.37, Fs=0.9454, reward=-296.838
[t=336000.0s] a=8307.21, goal=8123.37, Fs=1.0000, reward=-307.384
[t=348000.0s] a=8305.99, goal=8123.37, Fs=1.0000, reward=-317.263
[t=360000.0s] a=8306.56, goal=8123.37, Fs=-0.9710, reward=-320.174
[t=372000.0s] a=8299.48, goal=8123.37, Fs=-0.3688, reward=-326.455
[t=384000.0s] a=8284.79, goal=8123.37, Fs=-0.6739, reward=-336.512
[t=396000.0s] a=8280.35, goal=8123.37, Fs=1.0000, reward=-354.699
[t=408000.0s] a=8262.97, goal=8123.37, Fs=0.1677, reward=-358.799
[t=420000.0s] a=8251.96, goal=8123.37, Fs=1.0000, reward=-371.859
[t=432000.0s] a=8246.50, goal=8123.37, Fs=-1.0000, reward=-374.313
[t=444000.0s] a=8247.67, goal=8123.37, Fs=0.5605, reward=-389.233
[t=456000.0s] a=8247.96, goal=8123.37, Fs=0.3381, reward=-398.150
[t=468000.0s] a=8231.85, goal=8123.37, Fs=1.0000, reward=-409.849
[t=480000.0s] a=8227.83, goal=8123.37, Fs=-0.2586, reward=-408.739
[t=492000.0s] a=8236.51, goal=8123.37, Fs=1.0000, reward=-430.315
[t=504000.0s] a=8227.34, goal=8123.37, Fs=0.5884, reward=-437.339
[t=516000.0s] a=8223.18, goal=8123.37, Fs=-0.8259, reward=-441.111
[t=528000.0s] a=8209.93, goal=8123.37, Fs=-1.0000, reward=-450.657
[t=540000.0s] a=8214.72, goal=8123.37, Fs=0.1284, reward=-463.778
[t=552000.0s] a=8212.91, goal=8123.37, Fs=-0.2688, reward=-467.299
[t=564000.0s] a=8219.83, goal=8123.37, Fs=0.2441, reward=-484.866
[t=576000.0s] a=8217.41, goal=8123.37, Fs=-1.0000, reward=-491.404
[t=588000.0s] a=8217.05, goal=8123.37, Fs=1.0000, reward=-508.368
[t=600000.0s] a=8211.48, goal=8123.37, Fs=-1.0000, reward=-510.811
[t=612000.0s] a=8205.38, goal=8123.37, Fs=-1.0000, reward=-520.201
[t=624000.0s] a=8210.64, goal=8123.37, Fs=-1.0000, reward=-530.728
[t=636000.0s] a=8213.25, goal=8123.37, Fs=1.0000, reward=-547.989
[t=648000.0s] a=8194.85, goal=8123.37, Fs=0.6261, reward=-554.278
[t=660000.0s] a=8194.23, goal=8123.37, Fs=-1.0000, reward=-559.086
[t=672000.0s] a=8199.18, goal=8123.37, Fs=-0.7975, reward=-568.569
[t=684000.0s] a=8200.60, goal=8123.37, Fs=0.8172, reward=-585.809
[t=696000.0s] a=8198.11, goal=8123.37, Fs=1.0000, reward=-596.475
[t=708000.0s] a=8195.50, goal=8123.37, Fs=-0.2344, reward=-595.385
[t=720000.0s] a=8187.72, goal=8123.37, Fs=-0.0413, reward=-603.641
[t=732000.0s] a=8187.11, goal=8123.37, Fs=0.5541, reward=-623.144
[t=744000.0s] a=8180.57, goal=8123.37, Fs=-0.4299, reward=-624.870
[t=756000.0s] a=8179.42, goal=8123.37, Fs=1.0000, reward=-644.605
[t=768000.0s] a=8185.04, goal=8123.37, Fs=1.0000, reward=-655.168
[t=780000.0s] a=8185.86, goal=8123.37, Fs=-0.2082, reward=-654.290
[t=792000.0s] a=8183.66, goal=8123.37, Fs=-0.7991, reward=-667.025
[t=804000.0s] a=8193.64, goal=8123.37, Fs=-1.0000, reward=-679.028
[t=816000.0s] a=8199.95, goal=8123.37, Fs=-0.3918, reward=-686.617
[t=828000.0s] a=8205.87, goal=8123.37, Fs=-0.0189, reward=-695.345
[t=840000.0s] a=8207.10, goal=8123.37, Fs=0.4109, reward=-714.428
