
 ------------------------------------------------- 
[t=60000.0s] a=7588.00, goal=7909.65, Fs=0.0698, reward=-40.211
[t=72000.0s] a=7593.20, goal=7909.65, Fs=0.0235, reward=-40.996
[t=84000.0s] a=7598.35, goal=7909.65, Fs=0.0438, reward=-42.786
[t=96000.0s] a=7603.72, goal=7909.65, Fs=0.0626, reward=-44.533
[t=108000.0s] a=7609.02, goal=7909.65, Fs=0.0523, reward=-45.847
[t=120000.0s] a=7614.55, goal=7909.65, Fs=0.0041, reward=-46.572
[t=132000.0s] a=7619.99, goal=7909.65, Fs=0.0256, reward=-48.350
[t=144000.0s] a=7625.43, goal=7909.65, Fs=0.0517, reward=-50.197
[t=156000.0s] a=7630.49, goal=7909.65, Fs=0.0535, reward=-51.719
[t=168000.0s] a=7635.62, goal=7909.65, Fs=0.0120, reward=-52.583
[t=180000.0s] a=7640.74, goal=7909.65, Fs=0.0452, reward=-54.569
[t=192000.0s] a=7645.91, goal=7909.65, Fs=0.0831, reward=-56.620
[t=204000.0s] a=7651.00, goal=7909.65, Fs=0.0259, reward=-57.253
[t=216000.0s] a=7656.11, goal=7909.65, Fs=0.0568, reward=-59.205
[t=228000.0s] a=7661.36, goal=7909.65, Fs=0.0533, reward=-60.628
[t=240000.0s] a=7666.33, goal=7909.65, Fs=0.0378, reward=-61.898
[t=252000.0s] a=7671.36, goal=7909.65, Fs=0.0798, reward=-64.025
[t=264000.0s] a=7676.40, goal=7909.65, Fs=0.0249, reward=-64.698
[t=276000.0s] a=7681.05, goal=7909.65, Fs=0.0711, reward=-66.926
[t=288000.0s] a=7686.05, goal=7909.65, Fs=0.0551, reward=-68.186
[t=300000.0s] a=7691.14, goal=7909.65, Fs=0.0208, reward=-69.162
[t=312000.0s] a=7696.21, goal=7909.65, Fs=0.0414, reward=-70.965
[t=324000.0s] a=7701.26, goal=7909.65, Fs=0.0547, reward=-72.660
[t=336000.0s] a=7706.16, goal=7909.65, Fs=0.0301, reward=-73.799
[t=348000.0s] a=7710.95, goal=7909.65, Fs=0.0408, reward=-75.482
[t=360000.0s] a=7715.78, goal=7909.65, Fs=0.0287, reward=-76.817
