
 ------------------------------------------------- 
[t=12000.0s] a=8441.03, goal=8282.31, Fs=-0.4058, reward=-24.959
[t=24000.0s] a=8401.81, goal=8282.31, Fs=-0.3729, reward=-26.542
[t=36000.0s] a=8372.16, goal=8282.31, Fs=-0.1055, reward=-25.566
[t=48000.0s] a=8350.22, goal=8282.31, Fs=-0.1683, reward=-30.314
[t=60000.0s] a=8330.46, goal=8282.31, Fs=0.1953, reward=-41.743
[t=72000.0s] a=8316.07, goal=8282.31, Fs=-0.2498, reward=-40.123
[t=84000.0s] a=8304.54, goal=8282.31, Fs=0.0386, reward=-48.801
[t=96000.0s] a=8295.20, goal=8282.31, Fs=-0.1198, reward=-48.085
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7729.11, goal=8044.67, Fs=0.4670, reward=-41.561
[t=24000.0s] a=7787.88, goal=8044.67, Fs=0.0938, reward=-36.085
[t=36000.0s] a=7837.32, goal=8044.67, Fs=0.1697, reward=-38.280
[t=48000.0s] a=7876.13, goal=8044.67, Fs=0.2153, reward=-41.083
[t=60000.0s] a=7905.16, goal=8044.67, Fs=0.0545, reward=-41.769
[t=72000.0s] a=7931.28, goal=8044.67, Fs=0.1562, reward=-46.682
[t=84000.0s] a=7950.43, goal=8044.67, Fs=-0.0647, reward=-56.395
[t=96000.0s] a=7964.02, goal=8044.67, Fs=-0.0634, reward=-61.016
[t=108000.0s] a=7978.01, goal=8044.67, Fs=0.0839, reward=-58.924
[t=120000.0s] a=7988.94, goal=8044.67, Fs=-0.1620, reward=-72.002
[t=132000.0s] a=7997.35, goal=8044.67, Fs=0.0341, reward=-68.243
[t=144000.0s] a=8002.36, goal=8044.67, Fs=-0.0145, reward=-80.448
[t=156000.0s] a=8006.45, goal=8044.67, Fs=0.0214, reward=-79.143
[t=168000.0s] a=8011.17, goal=8044.67, Fs=0.1284, reward=-86.276
[t=180000.0s] a=8014.69, goal=8044.67, Fs=-0.1556, reward=-99.332
[t=192000.0s] a=8016.76, goal=8044.67, Fs=-0.0665, reward=-103.788
[t=204000.0s] a=8018.39, goal=8044.67, Fs=0.2522, reward=-105.411
[t=216000.0s] a=8017.68, goal=8044.67, Fs=0.1855, reward=-110.481
[t=228000.0s] a=8020.54, goal=8044.67, Fs=0.2448, reward=-117.085
[t=240000.0s] a=8019.12, goal=8044.67, Fs=0.0273, reward=-119.964
[t=252000.0s] a=8021.94, goal=8044.67, Fs=0.1941, reward=-128.185
[t=264000.0s] a=8022.67, goal=8044.67, Fs=-0.0486, reward=-138.929
[t=276000.0s] a=8025.48, goal=8044.67, Fs=-0.1540, reward=-146.229
[t=288000.0s] a=8027.87, goal=8044.67, Fs=0.0454, reward=-143.361
[t=300000.0s] a=8029.09, goal=8044.67, Fs=0.0198, reward=-148.855
[t=312000.0s] a=8026.53, goal=8044.67, Fs=0.0182, reward=-155.088
