
 ------------------------------------------------- 
[t=12000.0s] a=8498.43, goal=8268.02, Fs=0.6408, reward=-82.245
[t=24000.0s] a=8505.57, goal=8268.02, Fs=-0.4193, reward=-26.852
[t=36000.0s] a=8487.94, goal=8268.02, Fs=-0.1550, reward=-25.767
[t=48000.0s] a=8465.17, goal=8268.02, Fs=-1.0000, reward=-29.715
[t=60000.0s] a=8457.10, goal=8268.02, Fs=-1.0000, reward=-30.908
[t=72000.0s] a=8425.73, goal=8268.02, Fs=-0.5107, reward=-27.325
[t=84000.0s] a=8394.30, goal=8268.02, Fs=1.0000, reward=-35.628
[t=96000.0s] a=8363.59, goal=8268.02, Fs=0.7869, reward=-33.492
[t=108000.0s] a=8333.95, goal=8268.02, Fs=1.0000, reward=-33.593
[t=120000.0s] a=8284.24, goal=8268.02, Fs=0.6450, reward=-28.847
[t=132000.0s] a=8237.52, goal=8268.02, Fs=-0.8129, reward=-33.115
[t=144000.0s] a=8193.82, goal=8268.02, Fs=-1.0000, reward=-40.420
[t=156000.0s] a=8142.39, goal=8268.02, Fs=-0.6072, reward=-45.600
[t=168000.0s] a=8099.08, goal=8268.02, Fs=1.0000, reward=-46.894
[t=180000.0s] a=8058.57, goal=8268.02, Fs=-1.0000, reward=-109.945
[t=192000.0s] a=8013.50, goal=8268.02, Fs=-0.8816, reward=-115.860
[t=204000.0s] a=7964.26, goal=8268.02, Fs=-1.0000, reward=-123.376
[t=216000.0s] a=7916.48, goal=8268.02, Fs=-0.6304, reward=-128.306
[t=228000.0s] a=7881.01, goal=8268.02, Fs=-0.4768, reward=-133.085
[t=240000.0s] a=7843.19, goal=8268.02, Fs=1.0000, reward=-84.483
[t=252000.0s] a=7817.42, goal=8268.02, Fs=-0.1845, reward=-141.983
[t=264000.0s] a=7803.09, goal=8268.02, Fs=-0.7131, reward=-148.059
[t=276000.0s] a=7783.24, goal=8268.02, Fs=0.5819, reward=-94.387
[t=288000.0s] a=7768.31, goal=8268.02, Fs=-0.0677, reward=-152.310
[t=300000.0s] a=7754.51, goal=8268.02, Fs=1.0000, reward=-103.351
[t=312000.0s] a=7757.19, goal=8268.02, Fs=1.0000, reward=-105.083
[t=324000.0s] a=7763.13, goal=8268.02, Fs=-0.7175, reward=-162.077
[t=336000.0s] a=7768.05, goal=8268.02, Fs=0.4089, reward=-105.041
[t=348000.0s] a=7783.96, goal=8268.02, Fs=1.0000, reward=-108.406
[t=360000.0s] a=7795.94, goal=8268.02, Fs=0.2193, reward=-105.305
[t=372000.0s] a=7812.25, goal=8268.02, Fs=-0.8594, reward=-165.874
[t=384000.0s] a=7827.00, goal=8268.02, Fs=-0.6577, reward=-165.390
[t=396000.0s] a=7857.21, goal=8268.02, Fs=-1.0000, reward=-166.081
[t=408000.0s] a=7872.51, goal=8268.02, Fs=-0.0194, reward=-161.648
[t=420000.0s] a=7903.20, goal=8268.02, Fs=0.5298, reward=-106.131
[t=432000.0s] a=7927.71, goal=8268.02, Fs=-0.2263, reward=-161.163
[t=444000.0s] a=7969.90, goal=8268.02, Fs=1.0000, reward=-105.812
[t=456000.0s] a=8022.88, goal=8268.02, Fs=0.4021, reward=-99.524
[t=468000.0s] a=8052.16, goal=8268.02, Fs=-0.3751, reward=-155.462
[t=480000.0s] a=8090.10, goal=8268.02, Fs=1.0000, reward=-99.792
[t=492000.0s] a=8129.85, goal=8268.02, Fs=0.3434, reward=-94.534
[t=504000.0s] a=8167.80, goal=8268.02, Fs=0.5807, reward=-93.926
[t=516000.0s] a=8199.02, goal=8268.02, Fs=-1.0000, reward=-101.900
[t=528000.0s] a=8244.56, goal=8268.02, Fs=1.0000, reward=-92.346
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7696.77, goal=8042.26, Fs=0.8677, reward=-37.887
[t=24000.0s] a=7758.71, goal=8042.26, Fs=-0.2347, reward=-87.528
[t=36000.0s] a=7820.47, goal=8042.26, Fs=0.8532, reward=-29.444
[t=48000.0s] a=7873.70, goal=8042.26, Fs=-0.0506, reward=-29.109
[t=60000.0s] a=7932.57, goal=8042.26, Fs=0.6331, reward=-21.134
[t=72000.0s] a=8003.10, goal=8042.26, Fs=1.0000, reward=-17.916
[t=84000.0s] a=8063.51, goal=8042.26, Fs=1.0000, reward=-25.125
[t=96000.0s] a=8116.73, goal=8042.26, Fs=1.0000, reward=-32.447
[t=108000.0s] a=8177.01, goal=8042.26, Fs=-0.4402, reward=-30.677
[t=120000.0s] a=8242.60, goal=8042.26, Fs=0.9292, reward=-98.680
[t=132000.0s] a=8302.98, goal=8042.26, Fs=0.4671, reward=-104.408
[t=144000.0s] a=8356.58, goal=8042.26, Fs=0.2215, reward=-110.540
[t=156000.0s] a=8415.76, goal=8042.26, Fs=-1.0000, reward=-65.350
[t=168000.0s] a=8475.77, goal=8042.26, Fs=0.6555, reward=-128.629
[t=180000.0s] a=8525.86, goal=8042.26, Fs=0.5497, reward=-135.109
[t=192000.0s] a=8568.13, goal=8042.26, Fs=-0.5382, reward=-84.279
[t=204000.0s] a=8601.39, goal=8042.26, Fs=0.1332, reward=-144.580
[t=216000.0s] a=8642.48, goal=8042.26, Fs=0.8703, reward=-154.374
[t=228000.0s] a=8678.87, goal=8042.26, Fs=-1.0000, reward=-103.662
[t=240000.0s] a=8714.73, goal=8042.26, Fs=-0.5470, reward=-106.983
[t=252000.0s] a=8749.90, goal=8042.26, Fs=1.0000, reward=-171.764
[t=264000.0s] a=8771.10, goal=8042.26, Fs=-0.1056, reward=-114.413
[t=276000.0s] a=8797.29, goal=8042.26, Fs=-0.0519, reward=-118.763
[t=288000.0s] a=8824.42, goal=8042.26, Fs=-0.2589, reward=-124.510
[t=300000.0s] a=8850.65, goal=8042.26, Fs=0.7392, reward=-188.535
[t=312000.0s] a=8870.27, goal=8042.26, Fs=1.0000, reward=-193.801
[t=324000.0s] a=8888.10, goal=8042.26, Fs=1.0000, reward=-197.584
[t=336000.0s] a=8885.99, goal=8042.26, Fs=-0.9153, reward=-141.950
[t=348000.0s] a=8881.34, goal=8042.26, Fs=0.4521, reward=-198.169
[t=360000.0s] a=8892.89, goal=8042.26, Fs=1.0000, reward=-204.063
[t=372000.0s] a=8912.57, goal=8042.26, Fs=-0.1266, reward=-146.664
[t=384000.0s] a=8912.76, goal=8042.26, Fs=-1.0000, reward=-153.050
[t=396000.0s] a=8922.77, goal=8042.26, Fs=-0.2382, reward=-152.242
[t=408000.0s] a=8930.41, goal=8042.26, Fs=-0.0798, reward=-154.214
[t=420000.0s] a=8941.11, goal=8042.26, Fs=-0.1312, reward=-157.542
[t=432000.0s] a=8946.73, goal=8042.26, Fs=-1.0000, reward=-164.447
[t=444000.0s] a=8948.21, goal=8042.26, Fs=-0.5175, reward=-164.182
[t=456000.0s] a=8942.78, goal=8042.26, Fs=-0.5961, reward=-166.033
[t=468000.0s] a=8952.49, goal=8042.26, Fs=-1.0000, reward=-171.024
[t=480000.0s] a=8952.90, goal=8042.26, Fs=-0.5908, reward=-171.018
[t=492000.0s] a=8947.51, goal=8042.26, Fs=0.4962, reward=-229.007
[t=504000.0s] a=8945.99, goal=8042.26, Fs=-1.0000, reward=-176.374
[t=516000.0s] a=8949.89, goal=8042.26, Fs=0.8146, reward=-234.836
[t=528000.0s] a=8929.24, goal=8042.26, Fs=-1.0000, reward=-178.699
[t=540000.0s] a=8932.65, goal=8042.26, Fs=-0.2761, reward=-177.420
[t=552000.0s] a=8930.82, goal=8042.26, Fs=0.3089, reward=-236.401
[t=564000.0s] a=8928.74, goal=8042.26, Fs=0.8284, reward=-240.790
