
 ------------------------------------------------- 
[t=12000.0s] a=8463.67, goal=8058.90, Fs=-1.0000, reward=-44.477
[t=24000.0s] a=8466.48, goal=8058.90, Fs=0.6585, reward=-102.050
[t=36000.0s] a=8464.95, goal=8058.90, Fs=-0.9548, reward=-48.379
[t=48000.0s] a=8459.21, goal=8058.90, Fs=1.0000, reward=-107.031
[t=60000.0s] a=8441.91, goal=8058.90, Fs=-1.0000, reward=-50.301
[t=72000.0s] a=8414.71, goal=8058.90, Fs=-1.0000, reward=-49.581
[t=84000.0s] a=8379.66, goal=8058.90, Fs=-0.6508, reward=-46.330
[t=96000.0s] a=8342.40, goal=8058.90, Fs=-0.1952, reward=-42.325
[t=108000.0s] a=8318.09, goal=8058.90, Fs=-0.3324, reward=-42.581
[t=120000.0s] a=8297.56, goal=8058.90, Fs=0.6646, reward=-101.189
[t=132000.0s] a=8255.84, goal=8058.90, Fs=0.5135, reward=-48.262
[t=144000.0s] a=8195.98, goal=8058.90, Fs=-1.0000, reward=-39.708
[t=156000.0s] a=8152.41, goal=8058.90, Fs=1.0000, reward=-44.351
[t=168000.0s] a=8104.33, goal=8058.90, Fs=-0.7435, reward=-33.260
[t=180000.0s] a=8062.58, goal=8058.90, Fs=-0.7214, reward=-37.975
[t=192000.0s] a=8030.46, goal=8058.90, Fs=0.5690, reward=-34.689
[t=204000.0s] a=7975.22, goal=8058.90, Fs=-0.8915, reward=-50.825
[t=216000.0s] a=7946.50, goal=8058.90, Fs=-0.8879, reward=-55.679
[t=228000.0s] a=7906.61, goal=8058.90, Fs=-0.1046, reward=-57.752
[t=240000.0s] a=7881.23, goal=8058.90, Fs=-0.8463, reward=-65.999
[t=252000.0s] a=7854.52, goal=8058.90, Fs=-0.7419, reward=-120.148
[t=264000.0s] a=7829.11, goal=8058.90, Fs=1.0000, reward=-68.979
[t=276000.0s] a=7797.53, goal=8058.90, Fs=1.0000, reward=-74.137
[t=288000.0s] a=7786.80, goal=8058.90, Fs=-1.0000, reward=-134.210
[t=300000.0s] a=7774.18, goal=8058.90, Fs=-0.4817, reward=-134.880
[t=312000.0s] a=7759.03, goal=8058.90, Fs=0.7988, reward=-82.981
[t=324000.0s] a=7757.32, goal=8058.90, Fs=-0.8593, reward=-142.455
[t=336000.0s] a=7761.98, goal=8058.90, Fs=1.0000, reward=-87.692
[t=348000.0s] a=7776.25, goal=8058.90, Fs=1.0000, reward=-88.265
[t=360000.0s] a=7779.05, goal=8058.90, Fs=1.0000, reward=-89.985
[t=372000.0s] a=7791.18, goal=8058.90, Fs=-1.0000, reward=-147.772
[t=384000.0s] a=7800.11, goal=8058.90, Fs=-1.0000, reward=-148.879
[t=396000.0s] a=7814.55, goal=8058.90, Fs=-1.0000, reward=-149.435
[t=408000.0s] a=7852.13, goal=8058.90, Fs=1.0000, reward=-90.677
[t=420000.0s] a=7885.61, goal=8058.90, Fs=0.1514, reward=-85.086
[t=432000.0s] a=7903.89, goal=8058.90, Fs=0.6709, reward=-87.855
[t=444000.0s] a=7932.03, goal=8058.90, Fs=0.1779, reward=-84.576
[t=456000.0s] a=7969.92, goal=8058.90, Fs=1.0000, reward=-86.898
[t=468000.0s] a=7998.19, goal=8058.90, Fs=-0.5325, reward=-90.734
[t=480000.0s] a=8028.31, goal=8058.90, Fs=0.2089, reward=-81.103
[t=492000.0s] a=8057.63, goal=8058.90, Fs=0.3245, reward=-77.750
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7638.65, goal=7896.02, Fs=0.9592, reward=-29.533
[t=24000.0s] a=7684.71, goal=7896.02, Fs=0.6885, reward=-25.574
[t=36000.0s] a=7743.95, goal=7896.02, Fs=-1.0000, reward=-30.207
[t=48000.0s] a=7796.99, goal=7896.02, Fs=0.0302, reward=-15.054
[t=60000.0s] a=7852.08, goal=7896.02, Fs=0.4446, reward=-13.617
[t=72000.0s] a=7908.58, goal=7896.02, Fs=1.0000, reward=-22.256
[t=84000.0s] a=7956.67, goal=7896.02, Fs=1.0000, reward=-29.065
[t=96000.0s] a=8006.19, goal=7896.02, Fs=-0.2153, reward=-25.093
[t=108000.0s] a=8056.26, goal=7896.02, Fs=1.0000, reward=-43.024
[t=120000.0s] a=8102.08, goal=7896.02, Fs=-0.1569, reward=-38.390
[t=132000.0s] a=8152.27, goal=7896.02, Fs=0.6532, reward=-104.891
[t=144000.0s] a=8205.02, goal=7896.02, Fs=1.0000, reward=-113.899
[t=156000.0s] a=8249.95, goal=7896.02, Fs=0.0401, reward=-115.593
[t=168000.0s] a=8284.80, goal=7896.02, Fs=0.9110, reward=-125.433
[t=180000.0s] a=8319.91, goal=7896.02, Fs=-0.7971, reward=-73.375
[t=192000.0s] a=8371.57, goal=7896.02, Fs=1.0000, reward=-138.555
[t=204000.0s] a=8414.54, goal=7896.02, Fs=-0.4422, reward=-85.063
[t=216000.0s] a=8458.28, goal=7896.02, Fs=-0.5053, reward=-91.752
[t=228000.0s] a=8496.22, goal=7896.02, Fs=1.0000, reward=-157.020
[t=240000.0s] a=8538.94, goal=7896.02, Fs=1.0000, reward=-163.291
[t=252000.0s] a=8567.26, goal=7896.02, Fs=1.0000, reward=-168.124
[t=264000.0s] a=8606.91, goal=7896.02, Fs=-0.2918, reward=-113.548
[t=276000.0s] a=8638.38, goal=7896.02, Fs=-0.2660, reward=-118.566
[t=288000.0s] a=8661.42, goal=7896.02, Fs=1.0000, reward=-183.540
[t=300000.0s] a=8687.80, goal=7896.02, Fs=0.9907, reward=-188.131
[t=312000.0s] a=8717.73, goal=7896.02, Fs=-0.4419, reward=-133.381
[t=324000.0s] a=8738.59, goal=7896.02, Fs=0.2937, reward=-193.725
[t=336000.0s] a=8761.84, goal=7896.02, Fs=-1.0000, reward=-144.582
[t=348000.0s] a=8784.54, goal=7896.02, Fs=-0.2053, reward=-144.878
[t=360000.0s] a=8786.30, goal=7896.02, Fs=-1.0000, reward=-151.028
[t=372000.0s] a=8786.05, goal=7896.02, Fs=-1.0000, reward=-153.003
