
 ------------------------------------------------- 
[t=684000.0s] a=8500, e=0.0100, i=48.23deg, goal_i=55.87deg, Fw=1.0000, reward=144.235
[t=696000.0s] a=8500, e=0.0100, i=48.31deg, goal_i=55.87deg, Fw=1.0000, reward=-186.795
[t=708000.0s] a=8500, e=0.0100, i=48.24deg, goal_i=55.87deg, Fw=1.0000, reward=144.289
[t=720000.0s] a=8500, e=0.0100, i=48.28deg, goal_i=55.87deg, Fw=1.0000, reward=-187.712
[t=732000.0s] a=8500, e=0.0100, i=48.25deg, goal_i=55.87deg, Fw=1.0000, reward=144.426
[t=744000.0s] a=8500, e=0.0100, i=48.25deg, goal_i=55.87deg, Fw=1.0000, reward=-188.742
[t=756000.0s] a=8500, e=0.0100, i=48.26deg, goal_i=55.87deg, Fw=1.0000, reward=144.584
[t=768000.0s] a=8500, e=0.0100, i=48.21deg, goal_i=55.87deg, Fw=1.0000, reward=-189.718
[t=780000.0s] a=8500, e=0.0100, i=48.28deg, goal_i=55.87deg, Fw=1.0000, reward=144.698
[t=792000.0s] a=8500, e=0.0100, i=48.19deg, goal_i=55.87deg, Fw=1.0000, reward=-190.489
[t=804000.0s] a=8500, e=0.0100, i=48.28deg, goal_i=55.87deg, Fw=1.0000, reward=144.710
[t=816000.0s] a=8500, e=0.0100, i=48.17deg, goal_i=55.87deg, Fw=1.0000, reward=-190.944
[t=828000.0s] a=8500, e=0.0100, i=48.27deg, goal_i=55.87deg, Fw=1.0000, reward=-188.140
[t=840000.0s] a=8500, e=0.0100, i=48.16deg, goal_i=55.87deg, Fw=1.0000, reward=143.415
[t=852000.0s] a=8500, e=0.0100, i=48.24deg, goal_i=55.87deg, Fw=1.0000, reward=-188.835
[t=864000.0s] a=8500, e=0.0100, i=48.17deg, goal_i=55.87deg, Fw=1.0000, reward=-441.603
 FAILURE #1 of #1 episodes
 FAILURE #1 of #1 episodes
