
 ------------------------------------------------- 
[t=12000.0s], i=45.04deg, goal_i=48.54deg, Fw=-0.2651, delta_i = 6.7397009027025945e-06, term = -4765.637268734301, reward=-32.951
[t=24000.0s], i=45.07deg, goal_i=48.54deg, Fw=0.1071, delta_i = 1.6024223253863212e-06, term = 2709.097260607939, reward=-42.178
[t=36000.0s], i=45.11deg, goal_i=48.54deg, Fw=-0.2404, delta_i = 1.306855523464101e-06, term = -851.8594500849028, reward=-36.528
[t=48000.0s], i=45.14deg, goal_i=48.54deg, Fw=0.0444, delta_i = -2.950587717487352e-07, term = -1493.959748129811, reward=-97.691
[t=60000.0s], i=45.18deg, goal_i=48.54deg, Fw=-0.1681, delta_i = -2.661533422987361e-06, term = 3261.6387976997366, reward=-92.520
[t=72000.0s], i=45.21deg, goal_i=48.54deg, Fw=-0.0461, delta_i = 1.228700634681168e-06, term = -5330.796996069206, reward=-49.946
[t=84000.0s], i=45.25deg, goal_i=48.54deg, Fw=-0.0631, delta_i = -2.1014839305388833e-06, term = 6590.139768805236, reward=-100.130
[t=96000.0s], i=45.28deg, goal_i=48.54deg, Fw=-0.1396, delta_i = 5.602786299796492e-06, term = -7871.261829355728, reward=-47.530
[t=108000.0s], i=45.32deg, goal_i=48.54deg, Fw=0.0401, delta_i = 1.7084196058947398e-06, term = 8315.014685527294, reward=-53.570
[t=120000.0s], i=45.35deg, goal_i=48.54deg, Fw=-0.2157, delta_i = 9.48858412908038e-06, term = -8521.412216322664, reward=-45.877
[t=132000.0s], i=45.39deg, goal_i=48.54deg, Fw=0.1091, delta_i = 4.530012790437965e-06, term = 7992.6206031001975, reward=-52.314
[t=144000.0s], i=45.43deg, goal_i=48.54deg, Fw=-0.2657, delta_i = 9.940479986592088e-06, term = -7147.855781568581, reward=-45.447
[t=156000.0s], i=45.46deg, goal_i=48.54deg, Fw=0.1303, delta_i = 3.919890211312449e-06, term = 5685.354266705825, reward=-53.398
[t=168000.0s], i=45.50deg, goal_i=48.54deg, Fw=-0.2813, delta_i = 6.184945661291685e-06, term = -4088.9122270987345, reward=-46.734
[t=180000.0s], i=45.53deg, goal_i=48.54deg, Fw=0.1038, delta_i = 1.1565218672737743e-06, term = 1961.2964939439491, reward=-56.864
[t=192000.0s], i=45.57deg, goal_i=48.54deg, Fw=-0.2503, delta_i = 3.5053094893378045e-07, term = -67.83846419797865, reward=-50.391
[t=204000.0s], i=45.60deg, goal_i=48.54deg, Fw=0.0346, delta_i = -3.661964209644708e-07, term = -2251.2396545619204, reward=-112.466
[t=216000.0s], i=45.64deg, goal_i=48.54deg, Fw=-0.1703, delta_i = -3.3219888573299272e-06, term = 3966.9526374131633, reward=-106.547
[t=228000.0s], i=45.66deg, goal_i=48.54deg, Fw=-0.0613, delta_i = 1.8186959759303178e-06, term = -5911.822773314599, reward=-63.241
[t=240000.0s], i=45.70deg, goal_i=48.54deg, Fw=-0.0597, delta_i = -2.1329471299180724e-06, term = 7049.063796796412, reward=-114.222
[t=252000.0s], i=45.73deg, goal_i=48.54deg, Fw=-0.1575, delta_i = 6.551425147049983e-06, term = -8137.414974834275, reward=-60.443
[t=264000.0s], i=45.77deg, goal_i=48.54deg, Fw=0.0452, delta_i = 1.955986603463522e-06, term = 8418.507622284389, reward=-67.014
[t=276000.0s], i=45.81deg, goal_i=48.54deg, Fw=-0.2347, delta_i = 1.0216499669146728e-05, term = -8412.77405448873, reward=-58.491
[t=288000.0s], i=45.84deg, goal_i=48.54deg, Fw=0.1129, delta_i = 4.53722991233807e-06, term = 7718.307655503847, reward=-65.613
[t=300000.0s], i=45.88deg, goal_i=48.54deg, Fw=-0.2842, delta_i = 9.988527845838924e-06, term = -6694.290120830695, reward=-57.864
[t=312000.0s], i=45.91deg, goal_i=48.54deg, Fw=0.1308, delta_i = 3.550288192100126e-06, term = 5104.433384254794, reward=-66.665
[t=324000.0s], i=45.95deg, goal_i=48.54deg, Fw=-0.2961, delta_i = 5.473431451852306e-06, term = -3400.400920914345, reward=-59.138
[t=336000.0s], i=45.98deg, goal_i=48.54deg, Fw=0.0990, delta_i = 7.274994814343572e-07, term = 1220.7139054564832, reward=-70.216
[t=348000.0s], i=46.02deg, goal_i=48.54deg, Fw=-0.2585, delta_i = -6.511134864606305e-07, term = 692.0407013634172, reward=-112.966
[t=360000.0s], i=46.05deg, goal_i=48.54deg, Fw=0.0236, delta_i = -3.3740201854648433e-07, term = -2966.9734558044784, reward=-125.972
[t=372000.0s], i=46.09deg, goal_i=48.54deg, Fw=-0.1712, delta_i = -3.923566740726692e-06, term = 4618.478044610182, reward=-119.350
[t=384000.0s], i=46.11deg, goal_i=48.54deg, Fw=-0.0769, delta_i = 2.4923100448992486e-06, term = -6427.905275014415, reward=-75.259
[t=396000.0s], i=46.15deg, goal_i=48.54deg, Fw=-0.0559, delta_i = -2.112990136526882e-06, term = 7437.808042249175, reward=-127.134
[t=408000.0s], i=46.18deg, goal_i=48.54deg, Fw=-0.1753, delta_i = 7.4814430692793366e-06, term = -8331.504392022636, reward=-72.201
[t=420000.0s], i=46.22deg, goal_i=48.54deg, Fw=0.0499, delta_i = 2.1749272516302653e-06, term = 8452.620196578315, reward=-79.376
[t=432000.0s], i=46.26deg, goal_i=48.54deg, Fw=-0.2532, delta_i = 1.0822141716104738e-05, term = -8242.36614304433, reward=-70.075
[t=444000.0s], i=46.29deg, goal_i=48.54deg, Fw=0.1158, delta_i = 4.469582563171315e-06, term = 7392.379967235424, reward=-77.958
[t=456000.0s], i=46.33deg, goal_i=48.54deg, Fw=-0.3017, delta_i = 9.859915830690014e-06, term = -6203.632151511809, reward=-69.394
[t=468000.0s], i=46.36deg, goal_i=48.54deg, Fw=0.1300, delta_i = 3.1340666910573134e-06, term = 4502.105989239162, reward=-79.111
[t=480000.0s], i=46.40deg, goal_i=48.54deg, Fw=-0.3094, delta_i = 4.625086681420143e-06, term = -2707.665253309227, reward=-70.807
[t=492000.0s], i=46.42deg, goal_i=48.54deg, Fw=0.0929, delta_i = 3.354259401344706e-07, term = 493.6704352452128, reward=-82.879
[t=504000.0s], i=46.46deg, goal_i=48.54deg, Fw=-0.2651, delta_i = -1.669073824817069e-06, term = 1422.8987418397453, reward=-124.941
[t=516000.0s], i=46.49deg, goal_i=48.54deg, Fw=0.0116, delta_i = -2.0655656374213294e-07, term = -3638.2708477966903, reward=-138.892
[t=528000.0s], i=46.53deg, goal_i=48.54deg, Fw=-0.1710, delta_i = -4.4534364330717224e-06, term = 5215.099768557791, reward=-131.656
[t=540000.0s], i=46.55deg, goal_i=48.54deg, Fw=-0.0927, delta_i = 3.227113578807561e-06, term = -6880.193407858971, reward=-86.763
[t=552000.0s], i=46.59deg, goal_i=48.54deg, Fw=-0.0518, delta_i = -2.047518961267869e-06, term = 7759.189558131107, reward=-139.636
[t=564000.0s], i=46.62deg, goal_i=48.54deg, Fw=-0.1926, delta_i = 8.366739525089706e-06, term = -8458.301789956478, reward=-83.613
[t=576000.0s], i=46.66deg, goal_i=48.54deg, Fw=0.0543, delta_i = 2.360273076984498e-06, term = 8423.314994023527, reward=-91.470
