
 ------------------------------------------------- 
[t=12000.0s], i=45.04deg, goal_i=49.34deg, Fw=-0.2461, delta_i = 6.316702421238496e-06, term = -4812.519316354982, reward=-49.748
[t=24000.0s], i=45.07deg, goal_i=49.34deg, Fw=0.1131, delta_i = 1.7528661323540362e-06, term = 2813.7741042617718, reward=-57.906
[t=36000.0s], i=45.11deg, goal_i=49.34deg, Fw=-0.2221, delta_i = 1.3986030266144311e-06, term = -1019.78844112123, reward=-53.777
[t=48000.0s], i=45.14deg, goal_i=49.34deg, Fw=0.0531, delta_i = -2.930167153358809e-07, term = -1274.9910608611028, reward=-113.748
[t=60000.0s], i=45.17deg, goal_i=49.34deg, Fw=-0.1536, delta_i = -2.2243164417012906e-06, term = 3001.3285530785015, reward=-110.036
[t=72000.0s], i=45.20deg, goal_i=49.34deg, Fw=-0.0325, delta_i = 8.197949497024126e-07, term = -5067.07602872336, reward=-67.595
[t=84000.0s], i=45.24deg, goal_i=49.34deg, Fw=-0.0544, delta_i = -1.7372539210525062e-06, term = 6337.910012799507, reward=-117.815
[t=96000.0s], i=45.27deg, goal_i=49.34deg, Fw=-0.1207, delta_i = 4.726396004350875e-06, term = -7688.985776508172, reward=-65.931
[t=108000.0s], i=45.31deg, goal_i=49.34deg, Fw=0.0436, delta_i = 1.8353864374986983e-06, term = 8210.758621225397, reward=-71.107
[t=120000.0s], i=45.34deg, goal_i=49.34deg, Fw=-0.1921, delta_i = 8.474537861569154e-06, term = -8557.52441674115, reward=-65.028
[t=132000.0s], i=45.38deg, goal_i=49.34deg, Fw=0.1095, delta_i = 4.632813511817879e-06, term = 8163.038517310755, reward=-70.498
[t=144000.0s], i=45.42deg, goal_i=49.34deg, Fw=-0.2387, delta_i = 9.342294590708455e-06, term = -7496.248874165473, reward=-65.292
[t=156000.0s], i=45.45deg, goal_i=49.34deg, Fw=0.1300, delta_i = 4.240220164652975e-06, term = 6188.019904353667, reward=-72.097
[t=168000.0s], i=45.49deg, goal_i=49.34deg, Fw=-0.2544, delta_i = 6.45650811492704e-06, term = -4756.036426583916, reward=-67.075
[t=180000.0s], i=45.52deg, goal_i=49.34deg, Fw=0.1066, delta_i = 1.615435712087887e-06, term = 2746.319578366106, reward=-75.879
