
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=504000.0s] a=8582, e=0.0096, i=49.19deg, goal_i=49.90deg, Fr=1.0000, Fs=1.0000, Fw=0.8244, reward=-227.565
[t=516000.0s] a=8592, e=0.0088, i=49.19deg, goal_i=49.90deg, Fr=-1.0000, Fs=1.0000, Fw=-0.5182, reward=-276.835
[t=528000.0s] a=8593, e=0.0080, i=49.19deg, goal_i=49.90deg, Fr=0.3814, Fs=0.2232, Fw=-0.0793, reward=-249.825
[t=540000.0s] a=8586, e=0.0072, i=49.19deg, goal_i=49.90deg, Fr=0.8729, Fs=1.0000, Fw=1.0000, reward=-44.889
[t=552000.0s] a=8586, e=0.0066, i=49.21deg, goal_i=49.90deg, Fr=-0.9329, Fs=0.8914, Fw=-0.8230, reward=-44.807
[t=564000.0s] a=8586, e=0.0067, i=49.19deg, goal_i=49.90deg, Fr=1.0000, Fs=0.8904, Fw=-1.0000, reward=-258.431
[t=576000.0s] a=8598, e=0.0071, i=49.16deg, goal_i=49.90deg, Fr=-0.1500, Fs=-1.0000, Fw=1.0000, reward=-316.729
[t=588000.0s] a=8606, e=0.0065, i=49.16deg, goal_i=49.90deg, Fr=0.9747, Fs=1.0000, Fw=-0.1135, reward=-358.634
[t=600000.0s] a=8623, e=0.0073, i=49.16deg, goal_i=49.90deg, Fr=-0.9113, Fs=1.0000, Fw=0.1274, reward=-441.839
[t=612000.0s] a=8625, e=0.0066, i=49.18deg, goal_i=49.90deg, Fr=1.0000, Fs=0.9433, Fw=1.0000, reward=-241.829
[t=624000.0s] a=8628, e=0.0067, i=49.19deg, goal_i=49.90deg, Fr=0.0024, Fs=-0.1446, Fw=-0.5361, reward=-255.168
[t=636000.0s] a=8624, e=0.0070, i=49.20deg, goal_i=49.90deg, Fr=-1.0000, Fs=0.3223, Fw=-0.0687, reward=-428.511
[t=648000.0s] a=8640, e=0.0068, i=49.23deg, goal_i=49.90deg, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=-313.559
[t=660000.0s] a=8627, e=0.0080, i=49.28deg, goal_i=49.90deg, Fr=1.0000, Fs=-1.0000, Fw=1.0000, reward=-242.206
[t=672000.0s] a=8637, e=0.0081, i=49.26deg, goal_i=49.90deg, Fr=-1.0000, Fs=-1.0000, Fw=0.2625, reward=-507.216
[t=684000.0s] a=8633, e=0.0080, i=49.26deg, goal_i=49.90deg, Fr=1.0000, Fs=-1.0000, Fw=0.7275, reward=-277.219
[t=696000.0s] a=8648, e=0.0085, i=49.27deg, goal_i=49.90deg, Fr=-1.0000, Fs=-0.3507, Fw=0.0013, reward=-540.743
[t=708000.0s] a=8647, e=0.0083, i=49.26deg, goal_i=49.90deg, Fr=0.8954, Fs=0.2492, Fw=-0.1928, reward=-555.586
[t=720000.0s] a=8642, e=0.0093, i=49.26deg, goal_i=49.90deg, Fr=1.0000, Fs=-0.4219, Fw=-0.6938, reward=-317.874
[t=732000.0s] a=8634, e=0.0087, i=49.26deg, goal_i=49.90deg, Fr=0.2429, Fs=1.0000, Fw=0.3339, reward=-278.913
[t=744000.0s] a=8644, e=0.0104, i=49.26deg, goal_i=49.90deg, Fr=1.0000, Fs=0.7839, Fw=1.0000, reward=-537.589
[t=756000.0s] a=8642, e=0.0082, i=49.25deg, goal_i=49.90deg, Fr=1.0000, Fs=0.9681, Fw=0.2736, reward=-317.836
[t=768000.0s] a=8647, e=0.0077, i=49.27deg, goal_i=49.90deg, Fr=-0.1860, Fs=0.7921, Fw=-1.0000, reward=-344.363
[t=780000.0s] a=8658, e=0.0076, i=49.24deg, goal_i=49.90deg, Fr=0.8947, Fs=-1.0000, Fw=1.0000, reward=-399.586
[t=792000.0s] a=8663, e=0.0088, i=49.22deg, goal_i=49.90deg, Fr=0.3500, Fs=0.3455, Fw=0.3861, reward=-632.989
[t=804000.0s] a=8655, e=0.0086, i=49.23deg, goal_i=49.90deg, Fr=0.4746, Fs=0.5697, Fw=-1.0000, reward=-594.074
[t=816000.0s] a=8646, e=0.0076, i=49.24deg, goal_i=49.90deg, Fr=0.5408, Fs=0.5788, Fw=-1.0000, reward=-343.495
[t=828000.0s] a=8650, e=0.0075, i=49.24deg, goal_i=49.90deg, Fr=-0.5753, Fs=0.2289, Fw=0.6207, reward=-362.416
[t=840000.0s] a=8656, e=0.0081, i=49.28deg, goal_i=49.90deg, Fr=-0.1505, Fs=-0.8452, Fw=-1.0000, reward=-389.719
[t=852000.0s] a=8634, e=0.0078, i=49.33deg, goal_i=49.90deg, Fr=-0.8176, Fs=-1.0000, Fw=-0.8415, reward=-489.195
[t=864000.0s] a=8634, e=0.0088, i=49.32deg, goal_i=49.90deg, Fr=0.4451, Fs=1.0000, Fw=0.1710, reward=-2113.191
 FAILURE #4 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8522, e=0.0106, i=46.24deg, goal_i=47.99deg, Fr=0.2781, Fs=-1.0000, Fw=0.0147, reward=97.449
[t=24000.0s] a=8503, e=0.0114, i=46.26deg, goal_i=47.99deg, Fr=0.6554, Fs=1.0000, Fw=-0.6857, reward=158.646
[t=36000.0s] a=8499, e=0.0105, i=46.26deg, goal_i=47.99deg, Fr=-0.4182, Fs=1.0000, Fw=0.3755, reward=161.615
[t=48000.0s] a=8500, e=0.0102, i=46.27deg, goal_i=47.99deg, Fr=-1.0000, Fs=-0.7624, Fw=-1.0000, reward=191.991
[t=60000.0s] a=8506, e=0.0098, i=46.28deg, goal_i=47.99deg, Fr=-0.8078, Fs=-0.5084, Fw=-0.8601, reward=156.065
[t=72000.0s] a=8517, e=0.0107, i=46.33deg, goal_i=47.99deg, Fr=0.3210, Fs=-0.3121, Fw=-0.1872, reward=153.289
[t=84000.0s] a=8525, e=0.0098, i=46.34deg, goal_i=47.99deg, Fr=-0.5534, Fs=-0.4033, Fw=-0.5765, reward=87.366
[t=96000.0s] a=8536, e=0.0106, i=46.35deg, goal_i=47.99deg, Fr=0.6845, Fs=1.0000, Fw=-0.1137, reward=61.183
[t=108000.0s] a=8533, e=0.0112, i=46.35deg, goal_i=47.99deg, Fr=0.2173, Fs=0.4938, Fw=-1.0000, reward=47.571
[t=120000.0s] a=8532, e=0.0088, i=46.36deg, goal_i=47.99deg, Fr=-0.0407, Fs=0.0517, Fw=-0.9806, reward=300.199
[t=132000.0s] a=8520, e=0.0084, i=46.37deg, goal_i=47.99deg, Fr=1.0000, Fs=-0.9082, Fw=0.0062, reward=134.623
[t=144000.0s] a=8523, e=0.0081, i=46.39deg, goal_i=47.99deg, Fr=0.2015, Fs=0.6910, Fw=-0.5427, reward=322.773
[t=156000.0s] a=8520, e=0.0083, i=46.42deg, goal_i=47.99deg, Fr=-0.1569, Fs=-0.0051, Fw=-1.0000, reward=107.316
[t=168000.0s] a=8509, e=0.0074, i=46.44deg, goal_i=47.99deg, Fr=-0.9399, Fs=1.0000, Fw=0.1345, reward=147.594
[t=180000.0s] a=8508, e=0.0070, i=46.46deg, goal_i=47.99deg, Fr=-1.0000, Fs=0.1138, Fw=-1.0000, reward=166.306
[t=192000.0s] a=8507, e=0.0070, i=46.47deg, goal_i=47.99deg, Fr=-0.7559, Fs=-0.1681, Fw=0.3539, reward=170.925
[t=204000.0s] a=8516, e=0.0073, i=46.48deg, goal_i=47.99deg, Fr=0.9348, Fs=1.0000, Fw=0.4031, reward=150.271
[t=216000.0s] a=8527, e=0.0069, i=46.50deg, goal_i=47.99deg, Fr=-1.0000, Fs=0.0240, Fw=-0.6433, reward=93.755
[t=228000.0s] a=8535, e=0.0067, i=46.49deg, goal_i=47.99deg, Fr=-0.2902, Fs=0.5743, Fw=-0.5737, reward=59.578
[t=240000.0s] a=8533, e=0.0064, i=46.49deg, goal_i=47.99deg, Fr=-0.0020, Fs=0.5300, Fw=-1.0000, reward=36.240
[t=252000.0s] a=8529, e=0.0044, i=46.48deg, goal_i=47.99deg, Fr=1.0000, Fs=-0.7277, Fw=-0.9632, reward=262.145
[t=264000.0s] a=8546, e=0.0044, i=46.49deg, goal_i=47.99deg, Fr=-0.7333, Fs=-0.1559, Fw=0.5104, reward=169.818
[t=276000.0s] a=8541, e=0.0048, i=46.56deg, goal_i=47.99deg, Fr=1.0000, Fs=0.0239, Fw=-0.1609, reward=16.232
[t=288000.0s] a=8546, e=0.0050, i=46.55deg, goal_i=47.99deg, Fr=0.4683, Fs=1.0000, Fw=0.3506, reward=176.083
[t=300000.0s] a=8550, e=0.0055, i=46.56deg, goal_i=47.99deg, Fr=0.1025, Fs=-1.0000, Fw=-0.5797, reward=152.350
[t=312000.0s] a=8554, e=0.0061, i=46.56deg, goal_i=47.99deg, Fr=0.4280, Fs=-0.1513, Fw=0.8906, reward=128.358
[t=324000.0s] a=8544, e=0.0067, i=46.57deg, goal_i=47.99deg, Fr=1.0000, Fs=0.3688, Fw=-1.0000, reward=203.700
[t=336000.0s] a=8545, e=0.0069, i=46.57deg, goal_i=47.99deg, Fr=0.2456, Fs=-0.6139, Fw=-0.5851, reward=-22.019
[t=348000.0s] a=8548, e=0.0072, i=46.57deg, goal_i=47.99deg, Fr=0.1422, Fs=0.7509, Fw=0.4123, reward=-49.384
[t=360000.0s] a=8545, e=0.0081, i=46.59deg, goal_i=47.99deg, Fr=0.4198, Fs=-0.3281, Fw=1.0000, reward=203.026
[t=372000.0s] a=8534, e=0.0062, i=46.61deg, goal_i=47.99deg, Fr=-0.9981, Fs=-1.0000, Fw=-1.0000, reward=258.877
[t=384000.0s] a=8527, e=0.0058, i=46.66deg, goal_i=47.99deg, Fr=-0.5700, Fs=0.5818, Fw=-0.5744, reward=63.109
[t=396000.0s] a=8521, e=0.0039, i=46.69deg, goal_i=47.99deg, Fr=0.1211, Fs=0.9181, Fw=0.8604, reward=73.499
[t=408000.0s] a=8523, e=0.0034, i=46.68deg, goal_i=47.99deg, Fr=1.0000, Fs=-0.7892, Fw=0.1777, reward=78.199
[t=420000.0s] a=8529, e=0.0034, i=46.71deg, goal_i=47.99deg, Fr=-0.9232, Fs=1.0000, Fw=-0.2369, reward=53.195
[t=432000.0s] a=8528, e=0.0033, i=46.70deg, goal_i=47.99deg, Fr=-0.1958, Fs=-0.1653, Fw=-1.0000, reward=33.037
[t=444000.0s] a=8520, e=0.0038, i=46.69deg, goal_i=47.99deg, Fr=-0.8779, Fs=-0.5445, Fw=0.4912, reward=98.161
[t=456000.0s] a=8526, e=0.0032, i=46.66deg, goal_i=47.99deg, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=38.357
[t=468000.0s] a=8528, e=0.0026, i=46.71deg, goal_i=47.99deg, Fr=-0.3897, Fs=-1.0000, Fw=1.0000, reward=247.608
[t=480000.0s] a=8515, e=0.0030, i=46.76deg, goal_i=47.99deg, Fr=-1.0000, Fs=0.0474, Fw=0.1804, reward=111.136
[t=492000.0s] a=8488, e=0.0044, i=46.80deg, goal_i=47.99deg, Fr=-0.3667, Fs=-0.2319, Fw=-0.1527, reward=123.578
[t=504000.0s] a=8485, e=0.0040, i=46.81deg, goal_i=47.99deg, Fr=-0.8771, Fs=0.0679, Fw=-0.2105, reward=143.812
[t=516000.0s] a=8492, e=0.0034, i=46.81deg, goal_i=47.99deg, Fr=-0.6476, Fs=0.5694, Fw=-0.6148, reward=120.342
[t=528000.0s] a=8492, e=0.0031, i=46.81deg, goal_i=47.99deg, Fr=1.0000, Fs=0.7634, Fw=-0.2997, reward=335.668
[t=540000.0s] a=8490, e=0.0032, i=46.82deg, goal_i=47.99deg, Fr=-0.6693, Fs=0.8690, Fw=1.0000, reward=332.406
[t=552000.0s] a=8499, e=0.0026, i=46.84deg, goal_i=47.99deg, Fr=1.0000, Fs=-1.0000, Fw=-0.1633, reward=138.995
[t=564000.0s] a=8489, e=0.0028, i=46.87deg, goal_i=47.99deg, Fr=-0.2403, Fs=-0.6566, Fw=1.0000, reward=321.841
[t=576000.0s] a=8489, e=0.0026, i=46.86deg, goal_i=47.99deg, Fr=1.0000, Fs=1.0000, Fw=-0.6469, reward=120.286
[t=588000.0s] a=8483, e=0.0011, i=46.87deg, goal_i=47.99deg, Fr=0.7622, Fs=-0.1804, Fw=1.0000, reward=96.923
[t=600000.0s] a=8475, e=0.0017, i=46.87deg, goal_i=47.99deg, Fr=0.6102, Fs=-0.2471, Fw=0.8339, reward=46.442
[t=612000.0s] a=8478, e=0.0014, i=46.91deg, goal_i=47.99deg, Fr=0.2963, Fs=-0.4864, Fw=-0.8854, reward=256.130
[t=624000.0s] a=8468, e=0.0008, i=46.91deg, goal_i=47.99deg, Fr=0.2574, Fs=-0.8219, Fw=1.0000, reward=201.722
[t=636000.0s] a=8465, e=0.0008, i=46.97deg, goal_i=47.99deg, Fr=-0.1669, Fs=0.2889, Fw=0.7420, reward=-30.976
[t=648000.0s] a=8468, e=0.0005, i=46.97deg, goal_i=47.99deg, Fr=-0.3235, Fs=0.4349, Fw=0.2110, reward=-3.075
[t=660000.0s] a=8471, e=0.0009, i=46.97deg, goal_i=47.99deg, Fr=0.2656, Fs=0.8858, Fw=0.7119, reward=-3.528
[t=672000.0s] a=8467, e=0.0009, i=46.98deg, goal_i=47.99deg, Fr=-1.0000, Fs=0.7038, Fw=0.0561, reward=-2.620
[t=684000.0s] a=8476, e=0.0011, i=47.00deg, goal_i=47.99deg, Fr=-0.3927, Fs=0.7775, Fw=1.0000, reward=24.872
[t=696000.0s] a=8468, e=0.0004, i=47.02deg, goal_i=47.99deg, Fr=-0.8624, Fs=0.1628, Fw=1.0000, reward=196.698
[t=708000.0s] a=8471, e=0.0017, i=47.04deg, goal_i=47.99deg, Fr=0.4437, Fs=1.0000, Fw=-0.4503, reward=25.683
[t=720000.0s] a=8473, e=0.0022, i=47.08deg, goal_i=47.99deg, Fr=0.2574, Fs=1.0000, Fw=-1.0000, reward=28.272
[t=732000.0s] a=8469, e=0.0030, i=47.10deg, goal_i=47.99deg, Fr=-0.2151, Fs=-0.0575, Fw=-0.2767, reward=26.560
[t=744000.0s] a=8460, e=0.0028, i=47.13deg, goal_i=47.99deg, Fr=1.0000, Fs=-0.2252, Fw=0.4361, reward=-17.687
[t=756000.0s] a=8468, e=0.0038, i=47.16deg, goal_i=47.99deg, Fr=-1.0000, Fs=-0.0731, Fw=1.0000, reward=242.743
[t=768000.0s] a=8465, e=0.0051, i=47.17deg, goal_i=47.99deg, Fr=0.4168, Fs=1.0000, Fw=-0.4487, reward=247.671
[t=780000.0s] a=8463, e=0.0057, i=47.21deg, goal_i=47.99deg, Fr=-1.0000, Fs=-1.0000, Fw=-0.0421, reward=51.584
[t=792000.0s] a=8471, e=0.0054, i=47.22deg, goal_i=47.99deg, Fr=1.0000, Fs=0.1457, Fw=-1.0000, reward=278.273
[t=804000.0s] a=8470, e=0.0054, i=47.24deg, goal_i=47.99deg, Fr=0.3236, Fs=-1.0000, Fw=-0.9827, reward=56.648
[t=816000.0s] a=8475, e=0.0043, i=47.29deg, goal_i=47.99deg, Fr=0.2625, Fs=0.3906, Fw=-0.6989, reward=284.665
[t=828000.0s] a=8471, e=0.0040, i=47.32deg, goal_i=47.99deg, Fr=1.0000, Fs=-0.0088, Fw=1.0000, reward=262.282
[t=840000.0s] a=8472, e=0.0043, i=47.34deg, goal_i=47.99deg, Fr=0.1267, Fs=0.5556, Fw=-0.3124, reward=72.669
[t=852000.0s] a=8478, e=0.0047, i=47.36deg, goal_i=47.99deg, Fr=-0.0438, Fs=-0.3031, Fw=-0.0284, reward=128.307
[t=864000.0s] a=8485, e=0.0040, i=47.39deg, goal_i=47.99deg, Fr=-1.0000, Fs=0.5845, Fw=1.0000, reward=-350.781
 FAILURE #5 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8508, e=0.0099, i=45.82deg, goal_i=46.46deg, Fr=0.0072, Fs=0.2948, Fw=-0.1328, reward=208.069
[t=24000.0s] a=8503, e=0.0092, i=45.84deg, goal_i=46.46deg, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=181.097
[t=36000.0s] a=8491, e=0.0095, i=45.85deg, goal_i=46.46deg, Fr=0.2890, Fs=-0.8593, Fw=0.5571, reward=171.457
[t=48000.0s] a=8503, e=0.0103, i=45.86deg, goal_i=46.46deg, Fr=0.4688, Fs=0.2082, Fw=-0.7850, reward=193.412
[t=60000.0s] a=8499, e=0.0104, i=45.88deg, goal_i=46.46deg, Fr=-1.0000, Fs=0.4249, Fw=0.7499, reward=394.249
[t=72000.0s] a=8495, e=0.0094, i=45.89deg, goal_i=46.46deg, Fr=1.0000, Fs=-0.4906, Fw=0.5972, reward=180.308
[t=84000.0s] a=8492, e=0.0103, i=45.88deg, goal_i=46.46deg, Fr=-1.0000, Fs=0.5727, Fw=-0.4609, reward=174.248
[t=96000.0s] a=8479, e=0.0097, i=45.93deg, goal_i=46.46deg, Fr=0.8863, Fs=0.1806, Fw=1.0000, reward=124.594
[t=108000.0s] a=8472, e=0.0099, i=45.93deg, goal_i=46.46deg, Fr=-0.8563, Fs=-0.6172, Fw=0.7236, reward=300.310
[t=120000.0s] a=8465, e=0.0103, i=45.94deg, goal_i=46.46deg, Fr=0.1061, Fs=0.6432, Fw=0.9727, reward=58.609
[t=132000.0s] a=8471, e=0.0100, i=45.93deg, goal_i=46.46deg, Fr=-1.0000, Fs=-0.7006, Fw=-1.0000, reward=85.336
[t=144000.0s] a=8487, e=0.0110, i=45.95deg, goal_i=46.46deg, Fr=-0.3089, Fs=-0.3294, Fw=-0.2727, reward=171.446
 SUCCESS #2 of #7 episodes

 ------------------------------------------------- 
 SUCCESS #3 of #8 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8502, e=0.0105, i=46.63deg, goal_i=47.61deg, Fr=-0.5419, Fs=0.0353, Fw=-0.1438, reward=215.247
[t=24000.0s] a=8501, e=0.0102, i=46.66deg, goal_i=47.61deg, Fr=-1.0000, Fs=-1.0000, Fw=-0.4265, reward=177.239
[t=36000.0s] a=8502, e=0.0098, i=46.65deg, goal_i=47.61deg, Fr=0.4835, Fs=-0.9792, Fw=0.6616, reward=176.618
[t=48000.0s] a=8495, e=0.0092, i=46.69deg, goal_i=47.61deg, Fr=-0.1996, Fs=1.0000, Fw=0.0005, reward=192.642
[t=60000.0s] a=8499, e=0.0086, i=46.75deg, goal_i=47.61deg, Fr=-0.2815, Fs=1.0000, Fw=0.5596, reward=192.177
[t=72000.0s] a=8498, e=0.0085, i=46.78deg, goal_i=47.61deg, Fr=0.5023, Fs=0.5010, Fw=0.1666, reward=177.991
[t=84000.0s] a=8500, e=0.0078, i=46.78deg, goal_i=47.61deg, Fr=-0.4587, Fs=1.0000, Fw=1.0000, reward=389.476
[t=96000.0s] a=8506, e=0.0084, i=46.79deg, goal_i=47.61deg, Fr=-0.0052, Fs=1.0000, Fw=-0.4816, reward=406.628
[t=108000.0s] a=8509, e=0.0080, i=46.82deg, goal_i=47.61deg, Fr=0.1894, Fs=0.6715, Fw=0.0549, reward=198.757
[t=120000.0s] a=8522, e=0.0074, i=46.84deg, goal_i=47.61deg, Fr=-1.0000, Fs=-1.0000, Fw=1.0000, reward=110.408
[t=132000.0s] a=8518, e=0.0079, i=46.87deg, goal_i=47.61deg, Fr=-0.5751, Fs=1.0000, Fw=0.6459, reward=342.977
[t=144000.0s] a=8512, e=0.0087, i=46.91deg, goal_i=47.61deg, Fr=0.8955, Fs=1.0000, Fw=0.5701, reward=157.078
[t=156000.0s] a=8518, e=0.0082, i=46.90deg, goal_i=47.61deg, Fr=-0.3544, Fs=-0.2688, Fw=-0.4532, reward=134.787
[t=168000.0s] a=8510, e=0.0077, i=46.95deg, goal_i=47.61deg, Fr=-1.0000, Fs=0.5714, Fw=0.7073, reward=162.179
[t=180000.0s] a=8505, e=0.0077, i=47.01deg, goal_i=47.61deg, Fr=0.9952, Fs=0.0759, Fw=1.0000, reward=405.909
[t=192000.0s] a=8502, e=0.0070, i=47.05deg, goal_i=47.61deg, Fr=-0.4427, Fs=0.2818, Fw=0.7345, reward=175.959
[t=204000.0s] a=8501, e=0.0067, i=47.10deg, goal_i=47.61deg, Fr=-0.4194, Fs=0.6399, Fw=-0.1153, reward=176.080
[t=216000.0s] a=8502, e=0.0069, i=47.12deg, goal_i=47.61deg, Fr=-0.2624, Fs=-0.7036, Fw=0.8496, reward=184.729
[t=228000.0s] a=8504, e=0.0071, i=47.14deg, goal_i=47.61deg, Fr=0.0919, Fs=1.0000, Fw=-0.0296, reward=203.903
[t=240000.0s] a=8498, e=0.0062, i=47.16deg, goal_i=47.61deg, Fr=1.0000, Fs=0.1904, Fw=-0.5932, reward=192.335
[t=252000.0s] a=8497, e=0.0065, i=47.20deg, goal_i=47.61deg, Fr=-0.5084, Fs=-0.3366, Fw=0.1461, reward=176.737
[t=264000.0s] a=8499, e=0.0070, i=47.21deg, goal_i=47.61deg, Fr=1.0000, Fs=-1.0000, Fw=-0.6431, reward=178.734
[t=276000.0s] a=8502, e=0.0066, i=47.24deg, goal_i=47.61deg, Fr=-0.8605, Fs=0.7603, Fw=-0.7300, reward=183.055
