
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s], i=45.02deg, goal_i=41.60deg, Fw=0.3014, delta_i = -7.735587977397707e-06, term = -4811.891769242878, reward=-297.930
[t=24000.0s], i=45.02deg, goal_i=41.60deg, Fw=0.4946, delta_i = 7.66169648469539e-06, term = 2811.3863096420764, reward=-302.637
[t=36000.0s], i=45.04deg, goal_i=41.60deg, Fw=-0.6015, delta_i = 3.7597125656096964e-06, term = -1010.7251029357619, reward=-302.547
[t=48000.0s], i=45.07deg, goal_i=41.60deg, Fw=-0.1413, delta_i = 7.894682869657998e-07, term = -1288.8451436051475, reward=-303.546
[t=60000.0s], i=45.07deg, goal_i=41.60deg, Fw=-0.1204, delta_i = -1.7572876523930248e-06, term = 3023.0585011847093, reward=-302.353
[t=72000.0s], i=45.08deg, goal_i=41.60deg, Fw=1.0000, delta_i = -2.5361307247062648e-05, term = -5088.195393815509, reward=-303.844
[t=84000.0s], i=45.13deg, goal_i=41.60deg, Fw=-1.0000, delta_i = -3.2075167180622977e-05, term = 6360.1548016729475, reward=-308.141
[t=96000.0s], i=45.13deg, goal_i=41.60deg, Fw=-0.3805, delta_i = 1.493509181205166e-05, term = -7706.8327378396825, reward=-315.838
[t=108000.0s], i=45.15deg, goal_i=41.60deg, Fw=1.0000, delta_i = 4.212481294296744e-05, term = 8222.493906018593, reward=-331.652
[t=120000.0s], i=45.15deg, goal_i=41.60deg, Fw=0.6526, delta_i = -2.8789032446185914e-05, term = -8555.617790668433, reward=-309.735
[t=132000.0s], i=45.13deg, goal_i=41.60deg, Fw=-0.9353, delta_i = -3.9520643280943624e-05, term = 8147.621206016318, reward=-308.372
[t=144000.0s], i=45.12deg, goal_i=41.60deg, Fw=1.0000, delta_i = -3.8963280845294435e-05, term = -7462.252640352926, reward=-307.721
[t=156000.0s], i=45.15deg, goal_i=41.60deg, Fw=-1.0000, delta_i = -3.234276425656546e-05, term = 6135.325208456249, reward=-309.660
[t=168000.0s], i=45.14deg, goal_i=41.60deg, Fw=0.2858, delta_i = -7.153172232543525e-06, term = -4687.772199906664, reward=-308.740
[t=180000.0s], i=45.12deg, goal_i=41.60deg, Fw=-0.1581, delta_i = -2.325177852813276e-06, term = 2658.327018979008, reward=-306.522
[t=192000.0s], i=45.08deg, goal_i=41.60deg, Fw=-1.0000, delta_i = 5.4517260381636845e-06, term = -855.3003525628353, reward=-307.218
[t=204000.0s], i=45.09deg, goal_i=41.60deg, Fw=-0.5592, delta_i = 3.5761842666071075e-06, term = -1445.1827191902507, reward=-307.087
[t=216000.0s], i=45.08deg, goal_i=41.60deg, Fw=0.1347, delta_i = 2.0698673499630615e-06, term = 3170.904281352692, reward=-305.197
[t=228000.0s], i=45.11deg, goal_i=41.60deg, Fw=1.0000, delta_i = -2.6029438022545648e-05, term = -5215.540239024826, reward=-306.242
[t=240000.0s], i=45.09deg, goal_i=41.60deg, Fw=-0.9135, delta_i = -2.9790802717033493e-05, term = 6461.788009768045, reward=-304.319
[t=252000.0s], i=45.13deg, goal_i=41.60deg, Fw=0.5059, delta_i = -2.003380681392386e-05, term = -7771.964869020463, reward=-308.283
[t=264000.0s], i=45.17deg, goal_i=41.60deg, Fw=0.0973, delta_i = 4.115428000939225e-06, term = 8255.532376507726, reward=-313.724
[t=276000.0s], i=45.16deg, goal_i=41.60deg, Fw=0.2330, delta_i = -1.0274542199373293e-05, term = -8549.306745661019, reward=-310.796
[t=288000.0s], i=45.17deg, goal_i=41.60deg, Fw=1.0000, delta_i = 4.2063520501067764e-05, term = 8106.772455257137, reward=-333.107
[t=300000.0s], i=45.17deg, goal_i=41.60deg, Fw=-0.0321, delta_i = 1.2379276486118584e-06, term = -7389.723088416333, reward=-312.250
[t=312000.0s], i=45.17deg, goal_i=41.60deg, Fw=0.9978, delta_i = 3.177229721296193e-05, term = 6035.685293907818, reward=-328.346
[t=324000.0s], i=45.17deg, goal_i=41.60deg, Fw=0.2733, delta_i = -6.674986988919329e-06, term = -4567.344053925023, reward=-311.637
[t=336000.0s], i=45.16deg, goal_i=41.60deg, Fw=-0.1918, delta_i = -2.6902783979432243e-06, term = 2525.5124316889455, reward=-310.703
[t=348000.0s], i=45.19deg, goal_i=41.60deg, Fw=0.5926, delta_i = -2.814154462904561e-06, term = -718.240030363208, reward=-313.079
[t=360000.0s], i=45.17deg, goal_i=41.60deg, Fw=1.0000, delta_i = -7.095661716194357e-06, term = -1580.3528236504171, reward=-311.625
[t=372000.0s], i=45.16deg, goal_i=41.60deg, Fw=-0.6079, delta_i = -9.722332979134052e-06, term = 3292.0348263222263, reward=-310.718
[t=384000.0s], i=45.17deg, goal_i=41.60deg, Fw=0.7455, delta_i = -1.980988763028435e-05, term = -5319.324618738778, reward=-311.427
[t=396000.0s], i=45.15deg, goal_i=41.60deg, Fw=0.6774, delta_i = 2.2392028447670853e-05, term = 6545.297868168493, reward=-321.898
[t=408000.0s], i=45.18deg, goal_i=41.60deg, Fw=0.9180, delta_i = -3.661296083246057e-05, term = -7823.924164566769, reward=-312.242
[t=420000.0s], i=45.19deg, goal_i=41.60deg, Fw=-1.0000, delta_i = -4.24556393869846e-05, term = 8280.136988565248, reward=-313.891
[t=432000.0s], i=45.20deg, goal_i=41.60deg, Fw=0.1498, delta_i = -6.605230049028243e-06, term = -8542.759920888366, reward=-313.824
[t=444000.0s], i=45.21deg, goal_i=41.60deg, Fw=0.5525, delta_i = 2.3152692940620057e-05, term = 8072.703554601219, reward=-327.168
[t=456000.0s], i=45.21deg, goal_i=41.60deg, Fw=0.5841, delta_i = -2.2377131635331615e-05, term = -7329.563128806415, reward=-314.674
