
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=120000.0s] a=8500, e=0.0100, i=46.91deg, goal_i=49.80deg, Fw=-1.0000, reward=186.821
[t=132000.0s] a=8500, e=0.0100, i=46.85deg, goal_i=49.80deg, Fw=-0.8277, reward=-64.199
[t=144000.0s] a=8500, e=0.0100, i=46.80deg, goal_i=49.80deg, Fw=-0.5902, reward=188.220
[t=156000.0s] a=8500, e=0.0100, i=46.77deg, goal_i=49.80deg, Fw=0.3485, reward=189.280
[t=168000.0s] a=8500, e=0.0100, i=46.73deg, goal_i=49.80deg, Fw=-0.2167, reward=-10.350
[t=180000.0s] a=8500, e=0.0100, i=46.67deg, goal_i=49.80deg, Fw=0.1869, reward=-10.522
[t=192000.0s] a=8500, e=0.0100, i=46.61deg, goal_i=49.80deg, Fw=1.0000, reward=-70.677
[t=204000.0s] a=8500, e=0.0100, i=46.55deg, goal_i=49.80deg, Fw=1.0000, reward=-71.956
[t=216000.0s] a=8500, e=0.0100, i=46.53deg, goal_i=49.80deg, Fw=-0.9441, reward=-72.340
[t=228000.0s] a=8500, e=0.0100, i=46.49deg, goal_i=49.80deg, Fw=0.2326, reward=-69.600
[t=240000.0s] a=8500, e=0.0100, i=46.46deg, goal_i=49.80deg, Fw=1.0000, reward=184.111
[t=252000.0s] a=8500, e=0.0100, i=46.43deg, goal_i=49.80deg, Fw=0.9028, reward=-74.456
[t=264000.0s] a=8500, e=0.0100, i=46.37deg, goal_i=49.80deg, Fw=-0.6012, reward=-74.400
[t=276000.0s] a=8500, e=0.0100, i=46.36deg, goal_i=49.80deg, Fw=1.0000, reward=-76.758
[t=288000.0s] a=8500, e=0.0100, i=46.32deg, goal_i=49.80deg, Fw=-0.0632, reward=-72.818
[t=300000.0s] a=8500, e=0.0100, i=46.27deg, goal_i=49.80deg, Fw=1.0000, reward=-78.862
[t=312000.0s] a=8500, e=0.0100, i=46.23deg, goal_i=49.80deg, Fw=-0.8360, reward=-79.075
[t=324000.0s] a=8500, e=0.0100, i=46.19deg, goal_i=49.80deg, Fw=-0.7311, reward=183.653
[t=336000.0s] a=8500, e=0.0100, i=46.16deg, goal_i=49.80deg, Fw=0.3302, reward=-14.519
[t=348000.0s] a=8500, e=0.0100, i=46.11deg, goal_i=49.80deg, Fw=-0.5145, reward=-15.816
[t=360000.0s] a=8500, e=0.0100, i=46.09deg, goal_i=49.80deg, Fw=-0.0949, reward=-13.880
[t=372000.0s] a=8500, e=0.0100, i=46.03deg, goal_i=49.80deg, Fw=-0.7414, reward=-83.326
[t=384000.0s] a=8500, e=0.0100, i=46.00deg, goal_i=49.80deg, Fw=-0.2981, reward=-15.520
[t=396000.0s] a=8500, e=0.0100, i=45.97deg, goal_i=49.80deg, Fw=-0.3982, reward=-83.155
[t=408000.0s] a=8500, e=0.0100, i=45.93deg, goal_i=49.80deg, Fw=0.5528, reward=-84.927
[t=420000.0s] a=8500, e=0.0100, i=45.91deg, goal_i=49.80deg, Fw=-0.8688, reward=-87.087
[t=432000.0s] a=8500, e=0.0100, i=45.90deg, goal_i=49.80deg, Fw=-0.3468, reward=183.534
[t=444000.0s] a=8500, e=0.0100, i=45.89deg, goal_i=49.80deg, Fw=1.0000, reward=180.221
[t=456000.0s] a=8500, e=0.0100, i=45.90deg, goal_i=49.80deg, Fw=-0.0872, reward=-15.149
[t=468000.0s] a=8500, e=0.0100, i=45.92deg, goal_i=49.80deg, Fw=-0.9275, reward=-87.022
[t=480000.0s] a=8500, e=0.0100, i=45.94deg, goal_i=49.80deg, Fw=-0.8405, reward=181.337
[t=492000.0s] a=8500, e=0.0100, i=45.95deg, goal_i=49.80deg, Fw=-1.0000, reward=-86.570
[t=504000.0s] a=8500, e=0.0100, i=45.96deg, goal_i=49.80deg, Fw=-0.8352, reward=-18.469
[t=516000.0s] a=8500, e=0.0100, i=46.00deg, goal_i=49.80deg, Fw=-0.4670, reward=-16.396
[t=528000.0s] a=8500, e=0.0100, i=46.01deg, goal_i=49.80deg, Fw=1.0000, reward=181.042
[t=540000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=49.80deg, Fw=-0.7132, reward=182.699
[t=552000.0s] a=8500, e=0.0100, i=46.05deg, goal_i=49.80deg, Fw=0.0456, reward=-13.895
[t=564000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=49.80deg, Fw=-0.6044, reward=183.228
[t=576000.0s] a=8500, e=0.0100, i=46.05deg, goal_i=49.80deg, Fw=-0.1434, reward=-79.794
[t=588000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=49.80deg, Fw=0.1868, reward=-78.913
[t=600000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=49.80deg, Fw=-0.9224, reward=-82.504
[t=612000.0s] a=8500, e=0.0100, i=46.11deg, goal_i=49.80deg, Fw=1.0000, reward=-82.842
[t=624000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=49.80deg, Fw=-0.1473, reward=-78.677
[t=636000.0s] a=8500, e=0.0100, i=46.09deg, goal_i=49.80deg, Fw=-0.3729, reward=-15.318
[t=648000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=49.80deg, Fw=-1.0000, reward=-83.070
[t=660000.0s] a=8500, e=0.0100, i=46.11deg, goal_i=49.80deg, Fw=0.3872, reward=-79.579
[t=672000.0s] a=8500, e=0.0100, i=46.12deg, goal_i=49.80deg, Fw=-0.5487, reward=-15.971
[t=684000.0s] a=8500, e=0.0100, i=46.17deg, goal_i=49.80deg, Fw=0.8436, reward=182.866
[t=696000.0s] a=8500, e=0.0100, i=46.16deg, goal_i=49.80deg, Fw=0.5206, reward=-79.205
[t=708000.0s] a=8500, e=0.0100, i=46.20deg, goal_i=49.80deg, Fw=0.6773, reward=183.913
[t=720000.0s] a=8500, e=0.0100, i=46.21deg, goal_i=49.80deg, Fw=-0.7464, reward=183.630
[t=732000.0s] a=8500, e=0.0100, i=46.24deg, goal_i=49.80deg, Fw=-1.0000, reward=-79.535
[t=744000.0s] a=8500, e=0.0100, i=46.26deg, goal_i=49.80deg, Fw=0.9971, reward=-79.201
[t=756000.0s] a=8500, e=0.0100, i=46.30deg, goal_i=49.80deg, Fw=1.0000, reward=182.961
[t=768000.0s] a=8500, e=0.0100, i=46.33deg, goal_i=49.80deg, Fw=-0.4126, reward=186.131
[t=780000.0s] a=8500, e=0.0100, i=46.34deg, goal_i=49.80deg, Fw=0.3191, reward=-13.396
[t=792000.0s] a=8500, e=0.0100, i=46.35deg, goal_i=49.80deg, Fw=-0.8855, reward=183.870
[t=804000.0s] a=8500, e=0.0100, i=46.35deg, goal_i=49.80deg, Fw=0.1659, reward=-12.572
[t=816000.0s] a=8500, e=0.0100, i=46.38deg, goal_i=49.80deg, Fw=-1.0000, reward=-16.491
[t=828000.0s] a=8500, e=0.0100, i=46.41deg, goal_i=49.80deg, Fw=0.9514, reward=-75.311
[t=840000.0s] a=8500, e=0.0100, i=46.45deg, goal_i=49.80deg, Fw=1.0000, reward=183.899
[t=852000.0s] a=8500, e=0.0100, i=46.49deg, goal_i=49.80deg, Fw=0.2496, reward=-69.827
[t=864000.0s] a=8500, e=0.0100, i=46.49deg, goal_i=49.80deg, Fw=-0.3905, reward=-435.798
 FAILURE #4 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=45.48deg, goal_i=49.55deg, Fw=1.0000, reward=-92.045
[t=24000.0s] a=8500, e=0.0100, i=45.52deg, goal_i=49.55deg, Fw=-0.5352, reward=-88.755
[t=36000.0s] a=8500, e=0.0100, i=45.53deg, goal_i=49.55deg, Fw=0.5969, reward=-88.624
[t=48000.0s] a=8500, e=0.0100, i=45.56deg, goal_i=49.55deg, Fw=-0.9002, reward=-19.792
[t=60000.0s] a=8500, e=0.0100, i=45.60deg, goal_i=49.55deg, Fw=1.0000, reward=179.991
[t=72000.0s] a=8500, e=0.0100, i=45.64deg, goal_i=49.55deg, Fw=-1.0000, reward=180.267
[t=84000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=49.55deg, Fw=0.0584, reward=-14.950
[t=96000.0s] a=8500, e=0.0100, i=45.70deg, goal_i=49.55deg, Fw=0.4862, reward=-84.046
[t=108000.0s] a=8500, e=0.0100, i=45.74deg, goal_i=49.55deg, Fw=0.5828, reward=183.046
[t=120000.0s] a=8500, e=0.0100, i=45.78deg, goal_i=49.55deg, Fw=-0.9122, reward=181.663
[t=132000.0s] a=8500, e=0.0100, i=45.80deg, goal_i=49.55deg, Fw=1.0000, reward=181.373
[t=144000.0s] a=8500, e=0.0100, i=45.86deg, goal_i=49.55deg, Fw=-0.6120, reward=183.750
[t=156000.0s] a=8500, e=0.0100, i=45.93deg, goal_i=49.55deg, Fw=0.7580, reward=183.488
[t=168000.0s] a=8500, e=0.0100, i=45.95deg, goal_i=49.55deg, Fw=-1.0000, reward=182.383
[t=180000.0s] a=8500, e=0.0100, i=45.98deg, goal_i=49.55deg, Fw=0.4110, reward=-14.448
[t=192000.0s] a=8500, e=0.0100, i=46.01deg, goal_i=49.55deg, Fw=0.2012, reward=-74.982
[t=204000.0s] a=8500, e=0.0100, i=46.05deg, goal_i=49.55deg, Fw=0.7580, reward=-76.739
[t=216000.0s] a=8500, e=0.0100, i=46.10deg, goal_i=49.55deg, Fw=0.0719, reward=-11.970
[t=228000.0s] a=8500, e=0.0100, i=46.15deg, goal_i=49.55deg, Fw=-1.0000, reward=183.719
[t=240000.0s] a=8500, e=0.0100, i=46.22deg, goal_i=49.55deg, Fw=0.0986, reward=-11.354
[t=252000.0s] a=8500, e=0.0100, i=46.28deg, goal_i=49.55deg, Fw=1.0000, reward=-72.757
[t=264000.0s] a=8500, e=0.0100, i=46.32deg, goal_i=49.55deg, Fw=1.0000, reward=184.770
