
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8500, e=0.0100, i=49.71deg, goal_i=52.58deg, Fw=-0.4089, reward=-10.260
[t=672000.0s] a=8500, e=0.0100, i=49.69deg, goal_i=52.58deg, Fw=-0.0319, reward=-8.476
[t=684000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=-0.6783, reward=-62.335
[t=696000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=0.0873, reward=-59.581
[t=708000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=52.58deg, Fw=0.8156, reward=187.484
[t=720000.0s] a=8500, e=0.0100, i=49.66deg, goal_i=52.58deg, Fw=0.9267, reward=-64.280
[t=732000.0s] a=8500, e=0.0100, i=49.66deg, goal_i=52.58deg, Fw=-0.4799, reward=-62.039
[t=744000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=52.58deg, Fw=-0.9235, reward=186.963
[t=756000.0s] a=8500, e=0.0100, i=49.66deg, goal_i=52.58deg, Fw=0.0924, reward=-8.954
[t=768000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=52.58deg, Fw=-0.3290, reward=189.909
[t=780000.0s] a=8500, e=0.0100, i=49.65deg, goal_i=52.58deg, Fw=1.0000, reward=186.416
[t=792000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=52.58deg, Fw=1.0000, reward=-64.314
[t=804000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=1.0000, reward=186.619
[t=816000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=52.58deg, Fw=-1.0000, reward=-13.420
[t=828000.0s] a=8500, e=0.0100, i=49.66deg, goal_i=52.58deg, Fw=-0.1881, reward=-9.462
[t=840000.0s] a=8500, e=0.0100, i=49.66deg, goal_i=52.58deg, Fw=-0.2931, reward=-60.914
[t=852000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=52.58deg, Fw=-0.3027, reward=-9.996
[t=864000.0s] a=8500, e=0.0100, i=49.65deg, goal_i=52.58deg, Fw=0.5936, reward=-157.971
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=45.23deg, goal_i=41.80deg, Fw=0.8950, reward=184.097
[t=24000.0s] a=8500, e=0.0100, i=45.24deg, goal_i=41.80deg, Fw=0.2214, reward=-72.560
[t=36000.0s] a=8500, e=0.0100, i=45.23deg, goal_i=41.80deg, Fw=0.4262, reward=-13.586
[t=48000.0s] a=8500, e=0.0100, i=45.26deg, goal_i=41.80deg, Fw=-0.7234, reward=-75.628
[t=60000.0s] a=8500, e=0.0100, i=45.29deg, goal_i=41.80deg, Fw=1.0000, reward=-77.798
[t=72000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=41.80deg, Fw=-0.5081, reward=-75.924
[t=84000.0s] a=8500, e=0.0100, i=45.30deg, goal_i=41.80deg, Fw=-0.2261, reward=-13.005
[t=96000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=-0.1397, reward=-74.271
[t=108000.0s] a=8500, e=0.0100, i=45.31deg, goal_i=41.80deg, Fw=0.2068, reward=-74.217
[t=120000.0s] a=8500, e=0.0100, i=45.28deg, goal_i=41.80deg, Fw=0.9071, reward=183.678
[t=132000.0s] a=8500, e=0.0100, i=45.27deg, goal_i=41.80deg, Fw=-0.4249, reward=186.165
[t=144000.0s] a=8500, e=0.0100, i=45.29deg, goal_i=41.80deg, Fw=1.0000, reward=183.152
[t=156000.0s] a=8500, e=0.0100, i=45.31deg, goal_i=41.80deg, Fw=-0.5730, reward=185.159
[t=168000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=-0.7835, reward=-77.715
[t=180000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=41.80deg, Fw=0.3879, reward=-75.435
[t=192000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=41.80deg, Fw=0.6040, reward=-15.052
[t=204000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=-0.4802, reward=-76.326
[t=216000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=0.7616, reward=-78.317
[t=228000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-0.7201, reward=-77.965
[t=240000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=-0.1599, reward=-13.236
[t=252000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=0.5451, reward=185.012
[t=264000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=1.0000, reward=-78.699
[t=276000.0s] a=8500, e=0.0100, i=45.30deg, goal_i=41.80deg, Fw=-1.0000, reward=-78.060
[t=288000.0s] a=8500, e=0.0100, i=45.29deg, goal_i=41.80deg, Fw=-0.1266, reward=-12.517
[t=300000.0s] a=8500, e=0.0100, i=45.29deg, goal_i=41.80deg, Fw=0.4670, reward=185.770
[t=312000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=-0.1398, reward=-12.809
[t=324000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=41.80deg, Fw=1.0000, reward=182.943
[t=336000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=0.5001, reward=-76.393
[t=348000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=0.0112, reward=-12.288
[t=360000.0s] a=8500, e=0.0100, i=45.37deg, goal_i=41.80deg, Fw=0.6997, reward=-15.901
[t=372000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=0.9948, reward=-79.869
[t=384000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-0.0858, reward=-74.925
[t=396000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-1.0000, reward=182.630
[t=408000.0s] a=8500, e=0.0100, i=45.37deg, goal_i=41.80deg, Fw=-0.5634, reward=-77.606
[t=420000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=0.3776, reward=-76.164
[t=432000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=-0.1683, reward=-74.764
[t=444000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=-1.0000, reward=182.783
[t=456000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=1.0000, reward=182.640
[t=468000.0s] a=8500, e=0.0100, i=45.37deg, goal_i=41.80deg, Fw=-1.0000, reward=182.540
[t=480000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=1.0000, reward=182.611
[t=492000.0s] a=8500, e=0.0100, i=45.37deg, goal_i=41.80deg, Fw=1.0000, reward=-79.752
[t=504000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=0.0596, reward=-12.833
[t=516000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-1.0000, reward=-79.462
[t=528000.0s] a=8500, e=0.0100, i=45.39deg, goal_i=41.80deg, Fw=-1.0000, reward=182.395
[t=540000.0s] a=8500, e=0.0100, i=45.39deg, goal_i=41.80deg, Fw=-0.3610, reward=-76.988
[t=552000.0s] a=8500, e=0.0100, i=45.40deg, goal_i=41.80deg, Fw=0.7307, reward=-79.223
[t=564000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=-1.0000, reward=-80.159
[t=576000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=1.0000, reward=-79.441
[t=588000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-1.0000, reward=-79.637
[t=600000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=-0.0577, reward=-12.611
[t=612000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=-1.0000, reward=-79.523
[t=624000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=1.0000, reward=-79.355
[t=636000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=1.0000, reward=182.779
[t=648000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=1.0000, reward=-79.548
[t=660000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=0.5375, reward=-15.095
[t=672000.0s] a=8500, e=0.0100, i=45.39deg, goal_i=41.80deg, Fw=1.0000, reward=-17.621
[t=684000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=1.0000, reward=-79.595
[t=696000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=-0.8056, reward=-78.215
[t=708000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=41.80deg, Fw=0.1419, reward=-74.306
[t=720000.0s] a=8500, e=0.0100, i=45.33deg, goal_i=41.80deg, Fw=-0.3499, reward=-75.605
[t=732000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=-0.8965, reward=183.197
[t=744000.0s] a=8500, e=0.0100, i=45.34deg, goal_i=41.80deg, Fw=-0.4448, reward=-76.343
[t=756000.0s] a=8500, e=0.0100, i=45.35deg, goal_i=41.80deg, Fw=1.0000, reward=-79.490
[t=768000.0s] a=8500, e=0.0100, i=45.37deg, goal_i=41.80deg, Fw=-0.2435, reward=-75.969
[t=780000.0s] a=8500, e=0.0100, i=45.39deg, goal_i=41.80deg, Fw=-0.6533, reward=184.106
[t=792000.0s] a=8500, e=0.0100, i=45.43deg, goal_i=41.80deg, Fw=0.5744, reward=184.247
[t=804000.0s] a=8500, e=0.0100, i=45.42deg, goal_i=41.80deg, Fw=0.1673, reward=-76.812
[t=816000.0s] a=8500, e=0.0100, i=45.42deg, goal_i=41.80deg, Fw=0.6628, reward=-16.136
[t=828000.0s] a=8500, e=0.0100, i=45.40deg, goal_i=41.80deg, Fw=-0.1422, reward=-76.355
[t=840000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=-0.5215, reward=-15.203
[t=852000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=41.80deg, Fw=0.8061, reward=183.424
[t=864000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=41.80deg, Fw=1.0000, reward=-457.502
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
 SUCCESS #1 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=43.53deg, Fw=-0.5749, reward=-144.584
[t=24000.0s] a=8500, e=0.0100, i=49.67deg, goal_i=43.53deg, Fw=-1.0000, reward=160.629
[t=36000.0s] a=8500, e=0.0100, i=49.68deg, goal_i=43.53deg, Fw=0.0737, reward=-34.909
[t=48000.0s] a=8500, e=0.0100, i=49.70deg, goal_i=43.53deg, Fw=1.0000, reward=-39.711
[t=60000.0s] a=8500, e=0.0100, i=49.73deg, goal_i=43.53deg, Fw=1.0000, reward=-148.183
[t=72000.0s] a=8500, e=0.0100, i=49.70deg, goal_i=43.53deg, Fw=0.9854, reward=160.357
[t=84000.0s] a=8500, e=0.0100, i=49.74deg, goal_i=43.53deg, Fw=-0.0543, reward=-35.361
[t=96000.0s] a=8500, e=0.0100, i=49.76deg, goal_i=43.53deg, Fw=0.3984, reward=162.659
[t=108000.0s] a=8500, e=0.0100, i=49.73deg, goal_i=43.53deg, Fw=-0.8110, reward=160.880
[t=120000.0s] a=8500, e=0.0100, i=49.75deg, goal_i=43.53deg, Fw=-1.0000, reward=-148.893
[t=132000.0s] a=8500, e=0.0100, i=49.79deg, goal_i=43.53deg, Fw=1.0000, reward=-149.992
[t=144000.0s] a=8500, e=0.0100, i=49.80deg, goal_i=43.53deg, Fw=-0.4124, reward=-147.205
[t=156000.0s] a=8500, e=0.0100, i=49.81deg, goal_i=43.53deg, Fw=-1.0000, reward=159.115
[t=168000.0s] a=8500, e=0.0100, i=49.79deg, goal_i=43.53deg, Fw=0.1193, reward=-36.278
[t=180000.0s] a=8500, e=0.0100, i=49.81deg, goal_i=43.53deg, Fw=1.0000, reward=-150.427
[t=192000.0s] a=8500, e=0.0100, i=49.83deg, goal_i=43.53deg, Fw=-0.1610, reward=-146.849
[t=204000.0s] a=8500, e=0.0100, i=49.81deg, goal_i=43.53deg, Fw=0.0843, reward=-36.284
[t=216000.0s] a=8500, e=0.0100, i=49.80deg, goal_i=43.53deg, Fw=-1.0000, reward=159.266
[t=228000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=-0.4349, reward=-148.672
[t=240000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=0.0592, reward=-146.654
[t=252000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=-0.4636, reward=-150.527
[t=264000.0s] a=8500, e=0.0100, i=49.89deg, goal_i=43.53deg, Fw=0.0478, reward=-148.114
[t=276000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=0.5552, reward=160.870
