
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1200000.0s], i=41.40deg, goal_i=47.39deg, Fw=-0.7767, delta_i = -0.00022878024172479083, term = 7081.9702456175, reward=-112.759
[t=1320000.0s], i=40.92deg, goal_i=47.39deg, Fw=-1.0000, delta_i = 3.0707104555660614e-05, term = -2629.0561962732577, reward=-58.072
[t=1440000.0s], i=40.19deg, goal_i=47.39deg, Fw=-0.9673, delta_i = 0.00026236662525036536, term = -3579.675842396986, reward=-68.297
[t=1560000.0s], i=39.47deg, goal_i=47.39deg, Fw=-0.9264, delta_i = -0.0003921839976817054, term = 7674.7379059169725, reward=-128.956
[t=1680000.0s], i=39.14deg, goal_i=47.39deg, Fw=1.0000, delta_i = -0.00038081969941961, term = -8244.266554071963, reward=-130.182
[t=1800000.0s], i=38.73deg, goal_i=47.39deg, Fw=0.5535, delta_i = 7.373738912319627e-05, term = 4458.881790011167, reward=-107.880
[t=1920000.0s], i=38.68deg, goal_i=47.39deg, Fw=1.0000, delta_i = 0.0001602807399126993, term = 1148.353777191507, reward=-87.993
[t=2040000.0s], i=38.63deg, goal_i=47.39deg, Fw=1.0000, delta_i = -0.0003908667295757784, term = -6532.8279751865175, reward=-140.631
[t=2160000.0s], i=38.44deg, goal_i=47.39deg, Fw=1.0000, delta_i = 0.00041621001345759634, term = 8435.9838628397, reward=-93.922
[t=2280000.0s], i=38.20deg, goal_i=47.39deg, Fw=-1.0000, delta_i = 0.0002527713898897721, term = -6475.632695757048, reward=-98.085
[t=2400000.0s], i=38.13deg, goal_i=47.39deg, Fw=1.0000, delta_i = -5.8175573222296606e-05, term = 898.683057287801, reward=-150.886
[t=2520000.0s], i=37.78deg, goal_i=47.39deg, Fw=-1.0000, delta_i = -0.0003202963730212227, term = 4719.828774095793, reward=-156.028
[t=2640000.0s], i=37.54deg, goal_i=47.39deg, Fw=0.9286, delta_i = -0.00040585768950074375, term = -8263.046486646705, reward=-163.765
 FAILURE #4 of #5 episodes

 ------------------------------------------------- 
[t=120000.0s], i=44.74deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00035190341514768075, term = -7903.34898665194, reward=42.553
[t=240000.0s], i=44.47deg, goal_i=46.85deg, Fw=-0.3692, delta_i = -3.0975245841058374e-05, term = 3578.339341481958, reward=-49.626
[t=360000.0s], i=44.07deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.0002066831880470632, term = 2133.5052251651096, reward=18.243
[t=480000.0s], i=44.00deg, goal_i=46.85deg, Fw=1.0000, delta_i = -0.0004108831404529001, term = -7130.294632077182, reward=-36.131
[t=600000.0s], i=43.83deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.0004010005411396733, term = 8368.432447291536, reward=-42.686
[t=720000.0s], i=43.21deg, goal_i=46.85deg, Fw=1.0000, delta_i = -0.00021142805112617236, term = -5809.451552770476, reward=-59.732
[t=840000.0s], i=43.05deg, goal_i=46.85deg, Fw=-0.5722, delta_i = 5.829060502449135e-05, term = 25.15386828903629, reward=-36.347
[t=960000.0s], i=42.61deg, goal_i=46.85deg, Fw=-1.0000, delta_i = -0.00034652878385210695, term = 5371.221973141305, reward=-75.366
[t=1080000.0s], i=42.35deg, goal_i=46.85deg, Fw=0.6665, delta_i = -0.0002904770757358177, term = -8443.30980906412, reward=-98.128
[t=1200000.0s], i=41.76deg, goal_i=46.85deg, Fw=-0.0207, delta_i = -6.126149555862881e-06, term = 7101.492431627149, reward=-140.526
[t=1320000.0s], i=41.42deg, goal_i=46.85deg, Fw=0.3702, delta_i = -1.101784754709012e-05, term = -2608.6688780547115, reward=-129.001
[t=1440000.0s], i=41.11deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.0002700879411573487, term = -3553.4595950539597, reward=-52.815
[t=1560000.0s], i=41.13deg, goal_i=46.85deg, Fw=0.0775, delta_i = 3.274003609865517e-05, term = 7644.14950221162, reward=-100.846
[t=1680000.0s], i=40.96deg, goal_i=46.85deg, Fw=-0.7165, delta_i = 0.00027447363680221937, term = -8268.573482892438, reward=-72.494
[t=1800000.0s], i=40.91deg, goal_i=46.85deg, Fw=-0.6372, delta_i = -8.945881496869035e-05, term = 4581.996015093559, reward=-129.158
[t=1920000.0s], i=40.83deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.0001522121110821839, term = 979.617412715251, reward=-63.743
[t=2040000.0s], i=40.90deg, goal_i=46.85deg, Fw=1.0000, delta_i = -0.00038705858502863233, term = -6426.530095707138, reward=-115.224
[t=2160000.0s], i=40.79deg, goal_i=46.85deg, Fw=0.2015, delta_i = 8.427894397577962e-05, term = 8437.87685181448, reward=-108.084
[t=2280000.0s], i=41.12deg, goal_i=46.85deg, Fw=-1.0000, delta_i = 0.00025941159270392866, term = -6579.225722420329, reward=-66.732
[t=2400000.0s], i=41.00deg, goal_i=46.85deg, Fw=0.6893, delta_i = -3.276906998883611e-05, term = 1105.8943876926253, reward=-135.574
[t=2520000.0s], i=40.66deg, goal_i=46.85deg, Fw=1.0000, delta_i = 0.00031182052322487053, term = 4517.093731283141, reward=-75.318
