
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
 ------------------------------------------------- 
[t=120000.0s], i=45.16deg, goal_i=48.02deg, Fw=0.3163, delta_i = -0.00011103118145494584, term = -7892.002069930852, reward=-305.407
[t=240000.0s], i=45.30deg, goal_i=48.02deg, Fw=0.0235, delta_i = 1.9253046774636573e-06, term = 3541.1228371292336, reward=-237.343
[t=360000.0s], i=45.45deg, goal_i=48.02deg, Fw=-0.2777, delta_i = -5.747333554062539e-05, term = 2137.3662848368185, reward=-253.265
[t=480000.0s], i=45.56deg, goal_i=48.02deg, Fw=1.0000, delta_i = -0.00040969095077636464, term = -7092.874241346335, reward=-420.687
[t=600000.0s], i=45.52deg, goal_i=48.02deg, Fw=1.0000, delta_i = 0.0004019286243505116, term = 8375.194887929294, reward=-218.475
[t=720000.0s], i=45.67deg, goal_i=48.02deg, Fw=-0.2079, delta_i = 4.4996589780410545e-05, term = -5892.412444340522, reward=-204.891
[t=840000.0s], i=45.77deg, goal_i=48.02deg, Fw=-1.0000, delta_i = 9.388689422540342e-05, term = 184.53741505280672, reward=-196.963
[t=960000.0s], i=45.97deg, goal_i=48.02deg, Fw=-0.1094, delta_i = -3.7455505610739515e-05, term = 5264.226416170674, reward=-197.490
[t=1080000.0s], i=46.04deg, goal_i=48.02deg, Fw=0.4611, delta_i = -0.00020120045269966802, term = -8411.114952674969, reward=-273.497
[t=1200000.0s], i=46.00deg, goal_i=48.02deg, Fw=0.5266, delta_i = 0.00016016646054439754, term = 7222.181928665272, reward=-176.176
[t=1320000.0s], i=45.96deg, goal_i=48.02deg, Fw=1.0000, delta_i = -4.5731749717004e-05, term = -2905.3110224735983, reward=-203.395
[t=1440000.0s], i=46.00deg, goal_i=48.02deg, Fw=1.0000, delta_i = -0.00025477870591228413, term = -3206.6242729250007, reward=-304.565
[t=1560000.0s], i=45.52deg, goal_i=48.02deg, Fw=-1.0000, delta_i = -0.0004191968680394842, term = 7499.818416463202, reward=-428.643
[t=1680000.0s], i=45.72deg, goal_i=48.02deg, Fw=-0.2272, delta_i = 8.877396083961653e-05, term = -8345.048618750681, reward=-201.031
[t=1800000.0s], i=45.86deg, goal_i=48.02deg, Fw=1.0000, delta_i = 0.0001569134229056912, term = 4870.285413950838, reward=-188.986
[t=1920000.0s], i=45.97deg, goal_i=48.02deg, Fw=1.0000, delta_i = 0.00013366995987385, term = 595.1892510308353, reward=-178.816
[t=2040000.0s], i=46.31deg, goal_i=48.02deg, Fw=0.2383, delta_i = -8.994802699713311e-05, term = -6163.679404559082, reward=-194.484
[t=2160000.0s], i=46.54deg, goal_i=48.02deg, Fw=-0.7170, delta_i = -0.00030327639807303797, term = 8428.83043057299, reward=-281.520
[t=2280000.0s], i=46.41deg, goal_i=48.02deg, Fw=1.0000, delta_i = -0.0002780754695245191, term = -6863.859155764034, reward=-280.561
[t=2400000.0s], i=46.36deg, goal_i=48.02deg, Fw=0.0991, delta_i = -2.0520986766525695e-06, term = 1624.2684677133898, reward=-146.111
[t=2520000.0s], i=46.58deg, goal_i=48.02deg, Fw=-1.0000, delta_i = -0.00029163377898877574, term = 4035.508277657268, reward=-272.182
 FAILURE #6 of #6 episodes

 ------------------------------------------------- 
[t=120000.0s], i=45.19deg, goal_i=46.90deg, Fw=1.0000, delta_i = -0.0003500139509116096, term = -7878.586983659849, reward=-325.087
[t=240000.0s], i=45.42deg, goal_i=46.90deg, Fw=-0.4579, delta_i = -3.737258314273628e-05, term = 3536.7592757231946, reward=-148.216
[t=360000.0s], i=45.04deg, goal_i=46.90deg, Fw=-0.3158, delta_i = -6.502353669401995e-05, term = 2114.91416731006, reward=-195.431
[t=480000.0s], i=45.21deg, goal_i=46.90deg, Fw=0.0771, delta_i = -3.1576202443428514e-05, term = -7096.932906436687, reward=-163.468
[t=600000.0s], i=44.98deg, goal_i=46.90deg, Fw=1.0000, delta_i = 0.00040234953853357514, term = 8378.115702545185, reward=-167.394
[t=720000.0s], i=44.89deg, goal_i=46.90deg, Fw=0.3613, delta_i = -7.8516401179618e-05, term = -5907.013987242329, reward=-215.035
[t=840000.0s], i=44.65deg, goal_i=46.90deg, Fw=-1.0000, delta_i = 9.206787518067916e-05, term = 220.8613924220176, reward=-196.774
[t=960000.0s], i=44.51deg, goal_i=46.90deg, Fw=-0.3031, delta_i = -0.00010338958346811644, term = 5235.257704383535, reward=-261.107
[t=1080000.0s], i=44.48deg, goal_i=46.90deg, Fw=0.7884, delta_i = -0.00034410807032569934, term = -8403.899324753831, reward=-384.068
[t=1200000.0s], i=44.56deg, goal_i=46.90deg, Fw=-0.1844, delta_i = -5.585340735114741e-05, term = 7204.068596757181, reward=-232.827
