
 ------------------------------------------------- 
[t=12000.0s] a=8391.61, goal=8135.13, Fs=1.0000, reward=-99.648
[t=24000.0s] a=8375.51, goal=8135.13, Fs=-1.0000, reward=-51.038
[t=36000.0s] a=8359.39, goal=8135.13, Fs=0.0807, reward=-107.233
[t=48000.0s] a=8348.17, goal=8135.13, Fs=-0.3267, reward=-61.571
[t=60000.0s] a=8334.79, goal=8135.13, Fs=-0.7847, reward=-74.813
[t=72000.0s] a=8312.38, goal=8135.13, Fs=0.3159, reward=-84.884
[t=84000.0s] a=8285.50, goal=8135.13, Fs=-0.7983, reward=-90.020
[t=96000.0s] a=8275.35, goal=8135.13, Fs=-0.7632, reward=-98.654
[t=108000.0s] a=8266.54, goal=8135.13, Fs=0.6072, reward=-113.213
[t=120000.0s] a=8243.59, goal=8135.13, Fs=0.7623, reward=-122.470
[t=132000.0s] a=8212.18, goal=8135.13, Fs=-1.0000, reward=-124.705
[t=144000.0s] a=8176.61, goal=8135.13, Fs=-1.0000, reward=-131.148
[t=156000.0s] a=8146.14, goal=8135.13, Fs=0.3078, reward=-138.180
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7582.38, goal=7878.04, Fs=-1.0000, reward=-103.566
[t=24000.0s] a=7554.97, goal=7878.04, Fs=-0.2470, reward=-108.777
[t=36000.0s] a=7533.16, goal=7878.04, Fs=-0.7947, reward=-126.435
[t=48000.0s] a=7507.86, goal=7878.04, Fs=1.0000, reward=-84.017
[t=60000.0s] a=7478.62, goal=7878.04, Fs=-1.0000, reward=-153.942
[t=72000.0s] a=7461.78, goal=7878.04, Fs=0.3446, reward=-102.072
[t=84000.0s] a=7449.55, goal=7878.04, Fs=-0.5310, reward=-172.159
[t=96000.0s] a=7430.75, goal=7878.04, Fs=-1.0000, reward=-188.729
[t=108000.0s] a=7407.07, goal=7878.04, Fs=-1.0000, reward=-201.097
[t=120000.0s] a=7405.76, goal=7878.04, Fs=-1.0000, reward=-211.228
[t=132000.0s] a=7396.16, goal=7878.04, Fs=-0.7175, reward=-219.362
[t=144000.0s] a=7392.55, goal=7878.04, Fs=-0.4682, reward=-227.231
[t=156000.0s] a=7373.54, goal=7878.04, Fs=0.4016, reward=-181.466
[t=168000.0s] a=7369.50, goal=7878.04, Fs=-0.9808, reward=-254.662
[t=180000.0s] a=7350.33, goal=7878.04, Fs=0.2636, reward=-202.407
[t=192000.0s] a=7336.43, goal=7878.04, Fs=-0.1253, reward=-269.414
[t=204000.0s] a=7335.00, goal=7878.04, Fs=-0.3061, reward=-281.365
