
 ------------------------------------------------- 
[t=12000.0s] a=8428.26, goal=8210.97, Fs=-0.2322, reward=-31.051
[t=24000.0s] a=8424.82, goal=8210.97, Fs=1.0000, reward=-105.385
[t=36000.0s] a=8406.71, goal=8210.97, Fs=-0.7195, reward=-53.769
[t=48000.0s] a=8404.77, goal=8210.97, Fs=0.8738, reward=-72.118
[t=60000.0s] a=8395.25, goal=8210.97, Fs=-1.0000, reward=-75.427
[t=72000.0s] a=8363.44, goal=8210.97, Fs=-1.0000, reward=-82.247
[t=84000.0s] a=8364.95, goal=8210.97, Fs=-0.2176, reward=-84.573
[t=96000.0s] a=8341.65, goal=8210.97, Fs=0.3283, reward=-100.351
[t=108000.0s] a=8318.21, goal=8210.97, Fs=1.0000, reward=-114.723
[t=120000.0s] a=8305.33, goal=8210.97, Fs=-0.2887, reward=-109.323
[t=132000.0s] a=8278.03, goal=8210.97, Fs=-1.0000, reward=-123.706
[t=144000.0s] a=8259.29, goal=8210.97, Fs=0.0027, reward=-128.858
[t=156000.0s] a=8219.37, goal=8210.97, Fs=-0.4845, reward=-139.684
[t=168000.0s] a=8169.20, goal=8210.97, Fs=-0.6837, reward=-155.015
[t=180000.0s] a=8144.91, goal=8210.97, Fs=-0.1348, reward=-161.955
[t=192000.0s] a=8111.66, goal=8210.97, Fs=-1.0000, reward=-183.932
[t=204000.0s] a=8081.93, goal=8210.97, Fs=-0.4408, reward=-191.312
[t=216000.0s] a=8050.24, goal=8210.97, Fs=-1.0000, reward=-210.073
[t=228000.0s] a=8035.36, goal=8210.97, Fs=-0.4412, reward=-215.974
[t=240000.0s] a=8021.92, goal=8210.97, Fs=-0.5595, reward=-228.501
[t=252000.0s] a=8024.90, goal=8210.97, Fs=1.0000, reward=-235.607
[t=264000.0s] a=8001.07, goal=8210.97, Fs=0.6874, reward=-244.864
[t=276000.0s] a=7984.33, goal=8210.97, Fs=0.1326, reward=-250.991
[t=288000.0s] a=7968.63, goal=8210.97, Fs=-0.0879, reward=-319.114
[t=300000.0s] a=7954.00, goal=8210.97, Fs=1.0000, reward=-282.698
[t=312000.0s] a=7943.64, goal=8210.97, Fs=0.9476, reward=-293.210
[t=324000.0s] a=7930.79, goal=8210.97, Fs=-0.9129, reward=-361.148
[t=336000.0s] a=7937.14, goal=8210.97, Fs=0.3531, reward=-307.915
[t=348000.0s] a=7927.64, goal=8210.97, Fs=-0.1932, reward=-374.265
[t=360000.0s] a=7905.75, goal=8210.97, Fs=-0.4572, reward=-389.095
[t=372000.0s] a=7906.46, goal=8210.97, Fs=-0.5452, reward=-399.904
[t=384000.0s] a=7895.32, goal=8210.97, Fs=0.5112, reward=-353.678
[t=396000.0s] a=7885.75, goal=8210.97, Fs=-0.2291, reward=-418.814
[t=408000.0s] a=7880.39, goal=8210.97, Fs=0.1237, reward=-371.295
[t=420000.0s] a=7878.65, goal=8210.97, Fs=-1.0000, reward=-447.232
[t=432000.0s] a=7886.92, goal=8210.97, Fs=-0.3311, reward=-449.716
[t=444000.0s] a=7885.44, goal=8210.97, Fs=-0.5344, reward=-461.898
[t=456000.0s] a=7875.89, goal=8210.97, Fs=1.0000, reward=-420.509
[t=468000.0s] a=7871.60, goal=8210.97, Fs=-0.2424, reward=-480.361
[t=480000.0s] a=7867.71, goal=8210.97, Fs=-0.8620, reward=-496.947
[t=492000.0s] a=7854.25, goal=8210.97, Fs=-0.8705, reward=-508.378
[t=504000.0s] a=7852.71, goal=8210.97, Fs=-1.0000, reward=-519.827
[t=516000.0s] a=7856.16, goal=8210.97, Fs=-0.2648, reward=-522.130
[t=528000.0s] a=7857.79, goal=8210.97, Fs=-0.2406, reward=-531.724
[t=540000.0s] a=7870.90, goal=8210.97, Fs=-1.0000, reward=-548.007
[t=552000.0s] a=7869.86, goal=8210.97, Fs=0.0974, reward=-492.086
[t=564000.0s] a=7871.47, goal=8210.97, Fs=-0.6272, reward=-564.222
[t=576000.0s] a=7878.66, goal=8210.97, Fs=-1.0000, reward=-577.231
[t=588000.0s] a=7879.14, goal=8210.97, Fs=0.3238, reward=-523.422
[t=600000.0s] a=7885.33, goal=8210.97, Fs=1.0000, reward=-539.564
[t=612000.0s] a=7897.36, goal=8210.97, Fs=-0.3979, reward=-599.340
[t=624000.0s] a=7910.33, goal=8210.97, Fs=-1.0000, reward=-614.065
[t=636000.0s] a=7912.24, goal=8210.97, Fs=-1.0000, reward=-623.873
[t=648000.0s] a=7922.57, goal=8210.97, Fs=-0.4281, reward=-627.121
[t=660000.0s] a=7928.94, goal=8210.97, Fs=-1.0000, reward=-642.203
[t=672000.0s] a=7924.52, goal=8210.97, Fs=-0.5189, reward=-647.834
