
 ------------------------------------------------- 
[t=612000.0s] a=24619, e=0.7083, i=4.5691, Fr=0.6766, Fs=-1.0000, Fw=1.0000, reward=534.421
[t=624000.0s] a=24553, e=0.7064, i=4.5307, Fr=0.1385, Fs=0.7820, Fw=0.8628, reward=877.824
[t=636000.0s] a=24583, e=0.7059, i=4.4951, Fr=-0.0173, Fs=-0.6257, Fw=1.0000, reward=534.373
[t=648000.0s] a=24813, e=0.7087, i=4.4837, Fr=-1.0000, Fs=1.0000, Fw=0.1603, reward=587.149
[t=660000.0s] a=24862, e=0.7085, i=4.4654, Fr=-1.0000, Fs=-0.1176, Fw=-1.0000, reward=370.873
[t=672000.0s] a=24859, e=0.7074, i=4.4582, Fr=0.4419, Fs=0.1275, Fw=-0.5694, reward=294.036
[t=684000.0s] a=24933, e=0.7079, i=4.4539, Fr=0.3107, Fs=1.0000, Fw=0.3192, reward=657.376
[t=696000.0s] a=25038, e=0.7088, i=4.4391, Fr=1.0000, Fs=-0.8665, Fw=0.6990, reward=388.368
[t=708000.0s] a=25017, e=0.7074, i=4.3988, Fr=-0.0871, Fs=0.5093, Fw=1.0000, reward=812.467
[t=720000.0s] a=25054, e=0.7072, i=4.3814, Fr=-0.3100, Fs=1.0000, Fw=0.9989, reward=985.808
[t=732000.0s] a=25131, e=0.7077, i=4.3880, Fr=-0.1912, Fs=1.0000, Fw=-0.5014, reward=699.291
[t=744000.0s] a=25170, e=0.7071, i=4.3635, Fr=-0.9413, Fs=0.5858, Fw=1.0000, reward=855.752
[t=756000.0s] a=25221, e=0.7068, i=4.3503, Fr=1.0000, Fs=0.4797, Fw=-0.4543, reward=448.050
[t=768000.0s] a=25278, e=0.7071, i=4.3414, Fr=-0.8041, Fs=1.0000, Fw=1.0000, reward=1036.933
[t=780000.0s] a=25289, e=0.7060, i=4.2901, Fr=-0.3097, Fs=-1.0000, Fw=0.2087, reward=116.912
[t=792000.0s] a=25364, e=0.7060, i=4.2345, Fr=-1.0000, Fs=1.0000, Fw=0.0974, reward=547.993
[t=804000.0s] a=25323, e=0.7048, i=4.2246, Fr=-0.7491, Fs=1.0000, Fw=0.3868, reward=699.954
[t=816000.0s] a=25291, e=0.7035, i=4.1863, Fr=0.5355, Fs=0.9546, Fw=0.2380, reward=609.829
[t=828000.0s] a=25327, e=0.7027, i=4.1769, Fr=-0.7612, Fs=-1.0000, Fw=1.0000, reward=553.665
[t=840000.0s] a=25372, e=0.7026, i=4.1474, Fr=0.3364, Fs=1.0000, Fw=-0.1067, reward=554.691
[t=852000.0s] a=25551, e=0.7045, i=4.1248, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1046.788
[t=864000.0s] a=25535, e=0.7031, i=4.0343, Fr=-0.6354, Fs=0.6534, Fw=-0.7779, reward=614.521
[t=876000.0s] a=25575, e=0.7024, i=3.9863, Fr=0.5850, Fs=-0.1126, Fw=-0.0052, reward=4.092
[t=888000.0s] a=25643, e=0.7028, i=3.9825, Fr=1.0000, Fs=0.9528, Fw=0.1816, reward=566.157
[t=900000.0s] a=25664, e=0.7018, i=3.8879, Fr=-0.5405, Fs=1.0000, Fw=0.5228, reward=794.890
[t=912000.0s] a=25696, e=0.7009, i=3.8165, Fr=1.0000, Fs=-0.5192, Fw=-0.3490, reward=140.960
[t=924000.0s] a=25692, e=0.7002, i=3.8034, Fr=0.2216, Fs=1.0000, Fw=1.0000, reward=990.701
[t=936000.0s] a=25727, e=0.6995, i=3.7618, Fr=1.0000, Fs=1.0000, Fw=-0.3332, reward=626.725
[t=948000.0s] a=25755, e=0.6986, i=3.7027, Fr=-1.0000, Fs=1.0000, Fw=0.6135, reward=842.718
[t=960000.0s] a=25855, e=0.6989, i=3.6461, Fr=-0.2715, Fs=0.1128, Fw=-0.3606, reward=223.969
[t=972000.0s] a=26100, e=0.7017, i=3.6365, Fr=-0.3529, Fs=0.2064, Fw=-0.2447, reward=207.862
[t=984000.0s] a=26170, e=0.7012, i=3.5812, Fr=0.4428, Fs=1.0000, Fw=0.4674, reward=763.754
[t=996000.0s] a=26189, e=0.7001, i=3.5228, Fr=-1.0000, Fs=1.0000, Fw=0.2071, reward=608.607
[t=1008000.0s] a=26366, e=0.7017, i=3.5104, Fr=0.0080, Fs=1.0000, Fw=-0.4878, reward=742.664
[t=1020000.0s] a=26360, e=0.7006, i=3.4574, Fr=0.4352, Fs=1.0000, Fw=1.0000, reward=1051.605
[t=1032000.0s] a=26343, e=0.6989, i=3.3549, Fr=0.4398, Fs=0.4713, Fw=0.6907, reward=623.761
[t=1044000.0s] a=26329, e=0.6974, i=3.2931, Fr=-1.0000, Fs=0.7274, Fw=0.3895, reward=559.002
[t=1056000.0s] a=26362, e=0.6972, i=3.2895, Fr=-0.9993, Fs=1.0000, Fw=0.7729, reward=906.215
[t=1068000.0s] a=26344, e=0.6956, i=3.2424, Fr=-1.0000, Fs=-0.9093, Fw=-0.0606, reward=24.600
[t=1080000.0s] a=26353, e=0.6940, i=3.2010, Fr=0.3109, Fs=0.6024, Fw=0.7376, reward=676.526
[t=1092000.0s] a=26400, e=0.6938, i=3.1932, Fr=0.4978, Fs=-0.2029, Fw=1.0000, reward=492.244
[t=1104000.0s] a=26246, e=0.6905, i=3.2342, Fr=-1.0000, Fs=0.9211, Fw=0.9184, reward=817.988
[t=1116000.0s] a=26281, e=0.6894, i=3.3206, Fr=0.7935, Fs=1.0000, Fw=-0.2447, reward=636.225
[t=1128000.0s] a=26409, e=0.6898, i=3.4176, Fr=-1.0000, Fs=-0.1589, Fw=-0.7636, reward=388.470
[t=1140000.0s] a=26602, e=0.6918, i=3.4244, Fr=0.2632, Fs=1.0000, Fw=-0.5312, reward=780.531
[t=1152000.0s] a=26582, e=0.6898, i=3.4896, Fr=0.3293, Fs=1.0000, Fw=-0.4210, reward=737.221
[t=1164000.0s] a=26560, e=0.6877, i=3.5859, Fr=0.6572, Fs=-0.8184, Fw=1.0000, reward=398.297
[t=1176000.0s] a=26660, e=0.6882, i=3.6269, Fr=1.0000, Fs=1.0000, Fw=0.9366, reward=979.194
[t=1188000.0s] a=26673, e=0.6873, i=3.6594, Fr=0.5264, Fs=0.8550, Fw=-0.5218, reward=712.889
[t=1200000.0s] a=26655, e=0.6853, i=3.7701, Fr=0.3045, Fs=1.0000, Fw=-0.8723, reward=991.373
[t=1212000.0s] a=26732, e=0.6849, i=3.8424, Fr=-0.4231, Fs=1.0000, Fw=0.2672, reward=613.198
[t=1224000.0s] a=26654, e=0.6831, i=3.8571, Fr=1.0000, Fs=1.0000, Fw=-0.3490, reward=671.009
