
 ------------------------------------------------- 
[t=612000.0s] a=24496, e=0.7059, i=4.5717, Fr=0.6521, Fs=-0.1551, Fw=0.9016, reward=469.345
[t=624000.0s] a=24477, e=0.7045, i=4.4858, Fr=-1.0000, Fs=1.0000, Fw=-1.0000, reward=872.564
[t=636000.0s] a=24511, e=0.7040, i=4.4420, Fr=1.0000, Fs=-0.6453, Fw=-0.1489, reward=62.440
[t=648000.0s] a=24557, e=0.7041, i=4.4366, Fr=0.6912, Fs=0.8099, Fw=-0.0489, reward=421.822
[t=660000.0s] a=24549, e=0.7033, i=4.4049, Fr=1.0000, Fs=0.1625, Fw=-1.0000, reward=456.811
[t=672000.0s] a=24587, e=0.7029, i=4.3697, Fr=-0.1893, Fs=-1.0000, Fw=0.8495, reward=468.007
[t=684000.0s] a=24616, e=0.7028, i=4.3511, Fr=0.4356, Fs=0.3564, Fw=-1.0000, reward=682.170
[t=696000.0s] a=24582, e=0.7017, i=4.3257, Fr=-0.9711, Fs=-1.0000, Fw=-1.0000, reward=387.090
[t=708000.0s] a=24595, e=0.7009, i=4.2807, Fr=0.1221, Fs=0.7542, Fw=-0.6966, reward=643.764
[t=720000.0s] a=24516, e=0.6991, i=4.2674, Fr=-0.6694, Fs=-0.5968, Fw=0.9678, reward=471.910
[t=732000.0s] a=24468, e=0.6978, i=4.2425, Fr=0.4048, Fs=1.0000, Fw=0.3863, reward=710.808
[t=744000.0s] a=24512, e=0.6972, i=4.2027, Fr=0.7550, Fs=0.9663, Fw=-0.4420, reward=649.887
[t=756000.0s] a=24583, e=0.6973, i=4.1362, Fr=-0.3482, Fs=-1.0000, Fw=-0.1223, reward=53.969
[t=768000.0s] a=24706, e=0.6986, i=4.1291, Fr=0.3778, Fs=0.1767, Fw=1.0000, reward=627.310
[t=780000.0s] a=24690, e=0.6973, i=4.0663, Fr=-1.0000, Fs=-1.0000, Fw=1.0000, reward=561.544
[t=792000.0s] a=24639, e=0.6954, i=4.0464, Fr=1.0000, Fs=0.5439, Fw=0.3816, reward=477.481
[t=804000.0s] a=24779, e=0.6970, i=4.0438, Fr=-0.9503, Fs=1.0000, Fw=0.5530, reward=794.345
[t=816000.0s] a=24725, e=0.6950, i=3.9932, Fr=0.0276, Fs=-0.0376, Fw=1.0000, reward=562.259
[t=828000.0s] a=24745, e=0.6943, i=3.9622, Fr=1.0000, Fs=-0.0905, Fw=1.0000, reward=545.698
