
 ------------------------------------------------- 
[t=12000.0s] a=8457.97, goal=8127.98, Fs=0.0410, reward=-93.409
[t=24000.0s] a=8452.21, goal=8127.98, Fs=-0.0770, reward=-42.193
[t=36000.0s] a=8435.96, goal=8127.98, Fs=0.1588, reward=-104.385
[t=48000.0s] a=8428.57, goal=8127.98, Fs=-0.8169, reward=-59.227
[t=60000.0s] a=8405.24, goal=8127.98, Fs=0.2394, reward=-114.119
[t=72000.0s] a=8389.63, goal=8127.98, Fs=-0.1012, reward=-60.176
[t=84000.0s] a=8359.60, goal=8127.98, Fs=-1.0000, reward=-72.162
[t=96000.0s] a=8321.97, goal=8127.98, Fs=-0.7475, reward=-71.874
[t=108000.0s] a=8283.96, goal=8127.98, Fs=-1.0000, reward=-76.598
[t=120000.0s] a=8253.97, goal=8127.98, Fs=-1.0000, reward=-79.599
[t=132000.0s] a=8209.59, goal=8127.98, Fs=-1.0000, reward=-81.161
[t=144000.0s] a=8151.61, goal=8127.98, Fs=-1.0000, reward=-81.363
[t=156000.0s] a=8101.27, goal=8127.98, Fs=-0.9709, reward=-94.381
[t=168000.0s] a=8058.28, goal=8127.98, Fs=0.6355, reward=-94.326
[t=180000.0s] a=8017.38, goal=8127.98, Fs=-1.0000, reward=-115.061
[t=192000.0s] a=7987.74, goal=8127.98, Fs=-1.0000, reward=-124.024
[t=204000.0s] a=7957.96, goal=8127.98, Fs=-0.6990, reward=-129.992
[t=216000.0s] a=7928.60, goal=8127.98, Fs=0.2417, reward=-127.356
[t=228000.0s] a=7906.34, goal=8127.98, Fs=-0.5613, reward=-195.778
[t=240000.0s] a=7883.46, goal=8127.98, Fs=-0.3431, reward=-201.883
[t=252000.0s] a=7849.11, goal=8127.98, Fs=-0.2369, reward=-210.257
[t=264000.0s] a=7836.87, goal=8127.98, Fs=-0.6270, reward=-221.381
[t=276000.0s] a=7815.41, goal=8127.98, Fs=0.0816, reward=-167.073
[t=288000.0s] a=7805.17, goal=8127.98, Fs=-0.1238, reward=-231.520
[t=300000.0s] a=7804.52, goal=8127.98, Fs=0.2771, reward=-182.118
[t=312000.0s] a=7806.08, goal=8127.98, Fs=-1.0000, reward=-252.191
[t=324000.0s] a=7802.01, goal=8127.98, Fs=-0.6362, reward=-254.960
[t=336000.0s] a=7795.74, goal=8127.98, Fs=-0.4658, reward=-259.882
[t=348000.0s] a=7808.66, goal=8127.98, Fs=0.1464, reward=-204.396
[t=360000.0s] a=7817.90, goal=8127.98, Fs=-0.7424, reward=-272.433
[t=372000.0s] a=7846.03, goal=8127.98, Fs=0.8272, reward=-219.468
[t=384000.0s] a=7875.34, goal=8127.98, Fs=1.0000, reward=-224.265
[t=396000.0s] a=7898.36, goal=8127.98, Fs=-0.5638, reward=-280.601
[t=408000.0s] a=7937.20, goal=8127.98, Fs=0.4627, reward=-224.705
[t=420000.0s] a=7969.72, goal=8127.98, Fs=0.4862, reward=-227.688
[t=432000.0s] a=8013.58, goal=8127.98, Fs=-1.0000, reward=-241.440
[t=444000.0s] a=8029.60, goal=8127.98, Fs=0.1904, reward=-230.743
[t=456000.0s] a=8064.79, goal=8127.98, Fs=-1.0000, reward=-248.320
[t=468000.0s] a=8092.24, goal=8127.98, Fs=1.0000, reward=-244.575
[t=480000.0s] a=8130.25, goal=8127.98, Fs=0.5144, reward=-246.371
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7605.28, goal=7929.22, Fs=1.0000, reward=-45.394
[t=24000.0s] a=7634.37, goal=7929.22, Fs=-0.6548, reward=-102.034
[t=36000.0s] a=7670.25, goal=7929.22, Fs=0.5472, reward=-46.369
