
 ------------------------------------------------- 
[t=12000.0s] a=8438.13, goal=8118.38, Fs=0.9329, reward=-101.304
[t=24000.0s] a=8434.20, goal=8118.38, Fs=1.0000, reward=-107.582
[t=36000.0s] a=8430.93, goal=8118.38, Fs=-1.0000, reward=-56.255
[t=48000.0s] a=8405.29, goal=8118.38, Fs=-1.0000, reward=-59.691
[t=60000.0s] a=8388.56, goal=8118.38, Fs=-1.0000, reward=-64.018
[t=72000.0s] a=8364.43, goal=8118.38, Fs=-1.0000, reward=-67.605
[t=84000.0s] a=8332.81, goal=8118.38, Fs=0.1247, reward=-118.690
[t=96000.0s] a=8301.36, goal=8118.38, Fs=1.0000, reward=-80.298
[t=108000.0s] a=8256.02, goal=8118.38, Fs=-0.8798, reward=-73.562
[t=120000.0s] a=8215.63, goal=8118.38, Fs=0.0658, reward=-74.383
[t=132000.0s] a=8161.76, goal=8118.38, Fs=-1.0000, reward=-77.338
[t=144000.0s] a=8112.57, goal=8118.38, Fs=-0.6325, reward=-69.906
[t=156000.0s] a=8068.67, goal=8118.38, Fs=-1.0000, reward=-96.971
[t=168000.0s] a=8018.44, goal=8118.38, Fs=-0.2216, reward=-100.211
[t=180000.0s] a=7984.40, goal=8118.38, Fs=-0.6128, reward=-113.527
[t=192000.0s] a=7953.77, goal=8118.38, Fs=0.6574, reward=-116.035
[t=204000.0s] a=7926.31, goal=8118.38, Fs=0.2939, reward=-121.146
[t=216000.0s] a=7885.99, goal=8118.38, Fs=0.8084, reward=-136.323
[t=228000.0s] a=7854.91, goal=8118.38, Fs=-0.5553, reward=-199.900
[t=240000.0s] a=7836.31, goal=8118.38, Fs=0.2219, reward=-147.426
[t=252000.0s] a=7822.38, goal=8118.38, Fs=-1.0000, reward=-219.600
[t=264000.0s] a=7816.72, goal=8118.38, Fs=0.0757, reward=-159.923
[t=276000.0s] a=7796.50, goal=8118.38, Fs=-0.1884, reward=-226.071
[t=288000.0s] a=7788.73, goal=8118.38, Fs=-0.1547, reward=-232.511
[t=300000.0s] a=7796.09, goal=8118.38, Fs=0.5534, reward=-184.763
[t=312000.0s] a=7788.81, goal=8118.38, Fs=0.5483, reward=-191.439
[t=324000.0s] a=7790.64, goal=8118.38, Fs=-0.6129, reward=-254.903
[t=336000.0s] a=7789.67, goal=8118.38, Fs=0.1463, reward=-199.334
[t=348000.0s] a=7791.85, goal=8118.38, Fs=-1.0000, reward=-270.653
[t=360000.0s] a=7799.30, goal=8118.38, Fs=-1.0000, reward=-275.908
[t=372000.0s] a=7812.73, goal=8118.38, Fs=1.0000, reward=-223.565
[t=384000.0s] a=7830.89, goal=8118.38, Fs=-0.6467, reward=-281.215
[t=396000.0s] a=7861.31, goal=8118.38, Fs=1.0000, reward=-230.707
[t=408000.0s] a=7895.92, goal=8118.38, Fs=-0.9324, reward=-289.570
[t=420000.0s] a=7934.26, goal=8118.38, Fs=-0.2300, reward=-234.712
[t=432000.0s] a=7959.69, goal=8118.38, Fs=-0.2063, reward=-237.932
[t=444000.0s] a=7985.84, goal=8118.38, Fs=1.0000, reward=-242.254
[t=456000.0s] a=8030.12, goal=8118.38, Fs=0.8670, reward=-242.496
[t=468000.0s] a=8072.10, goal=8118.38, Fs=0.3097, reward=-238.724
[t=480000.0s] a=8112.00, goal=8118.38, Fs=1.0000, reward=-254.638
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7614.37, goal=7871.63, Fs=0.1492, reward=-30.217
[t=24000.0s] a=7645.30, goal=7871.63, Fs=1.0000, reward=-41.633
[t=36000.0s] a=7690.41, goal=7871.63, Fs=-0.9741, reward=-49.863
[t=48000.0s] a=7727.70, goal=7871.63, Fs=1.0000, reward=-45.393
[t=60000.0s] a=7775.85, goal=7871.63, Fs=0.9949, reward=-46.526
[t=72000.0s] a=7813.69, goal=7871.63, Fs=0.1859, reward=-40.653
[t=84000.0s] a=7862.37, goal=7871.63, Fs=1.0000, reward=-56.925
[t=96000.0s] a=7904.53, goal=7871.63, Fs=0.3765, reward=-59.055
[t=108000.0s] a=7945.91, goal=7871.63, Fs=0.8906, reward=-74.334
[t=120000.0s] a=7996.21, goal=7871.63, Fs=1.0000, reward=-86.458
[t=132000.0s] a=8040.98, goal=7871.63, Fs=0.1497, reward=-88.433
[t=144000.0s] a=8081.90, goal=7871.63, Fs=1.0000, reward=-157.027
[t=156000.0s] a=8109.49, goal=7871.63, Fs=-0.7300, reward=-106.086
[t=168000.0s] a=8137.61, goal=7871.63, Fs=0.7483, reward=-172.082
[t=180000.0s] a=8157.40, goal=7871.63, Fs=-1.0000, reward=-125.577
[t=192000.0s] a=8175.65, goal=7871.63, Fs=-0.1143, reward=-124.546
[t=204000.0s] a=8201.19, goal=7871.63, Fs=1.0000, reward=-198.956
[t=216000.0s] a=8210.85, goal=7871.63, Fs=1.0000, reward=-205.923
[t=228000.0s] a=8212.12, goal=7871.63, Fs=0.1161, reward=-203.210
[t=240000.0s] a=8211.85, goal=7871.63, Fs=0.1616, reward=-209.638
[t=252000.0s] a=8224.36, goal=7871.63, Fs=0.4960, reward=-220.234
[t=264000.0s] a=8216.11, goal=7871.63, Fs=-1.0000, reward=-173.449
[t=276000.0s] a=8215.55, goal=7871.63, Fs=-0.0619, reward=-170.012
[t=288000.0s] a=8203.29, goal=7871.63, Fs=0.8791, reward=-239.957
[t=300000.0s] a=8183.96, goal=7871.63, Fs=0.0561, reward=-235.794
[t=312000.0s] a=8162.94, goal=7871.63, Fs=0.4541, reward=-243.672
[t=324000.0s] a=8128.34, goal=7871.63, Fs=-0.8516, reward=-193.187
[t=336000.0s] a=8107.46, goal=7871.63, Fs=-1.0000, reward=-198.583
[t=348000.0s] a=8081.72, goal=7871.63, Fs=-1.0000, reward=-202.010
[t=360000.0s] a=8050.69, goal=7871.63, Fs=-0.9900, reward=-204.807
[t=372000.0s] a=8027.01, goal=7871.63, Fs=0.4970, reward=-210.508
[t=384000.0s] a=7989.63, goal=7871.63, Fs=1.0000, reward=-217.801
[t=396000.0s] a=7964.40, goal=7871.63, Fs=0.1933, reward=-213.211
[t=408000.0s] a=7936.71, goal=7871.63, Fs=-0.5338, reward=-212.846
[t=420000.0s] a=7910.75, goal=7871.63, Fs=-0.1913, reward=-212.825
[t=432000.0s] a=7887.69, goal=7871.63, Fs=-0.2786, reward=-217.393
 SUCCESS #2 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8405.95, goal=8076.47, Fs=-1.0000, reward=-45.948
[t=24000.0s] a=8383.56, goal=8076.47, Fs=0.0450, reward=-97.160
[t=36000.0s] a=8343.32, goal=8076.47, Fs=-0.5624, reward=-47.310
[t=48000.0s] a=8302.80, goal=8076.47, Fs=-1.0000, reward=-53.633
[t=60000.0s] a=8265.93, goal=8076.47, Fs=-0.1008, reward=-46.954
[t=72000.0s] a=8229.27, goal=8076.47, Fs=-0.4215, reward=-52.495
[t=84000.0s] a=8194.84, goal=8076.47, Fs=-1.0000, reward=-60.838
[t=96000.0s] a=8148.32, goal=8076.47, Fs=0.5688, reward=-64.873
[t=108000.0s] a=8120.34, goal=8076.47, Fs=-0.6063, reward=-61.450
[t=120000.0s] a=8070.87, goal=8076.47, Fs=-1.0000, reward=-61.560
 SUCCESS #3 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7601.24, goal=7897.10, Fs=0.1271, reward=-33.857
[t=24000.0s] a=7596.65, goal=7897.10, Fs=0.2553, reward=-41.598
[t=36000.0s] a=7605.99, goal=7897.10, Fs=1.0000, reward=-54.111
[t=48000.0s] a=7611.00, goal=7897.10, Fs=0.8649, reward=-58.259
[t=60000.0s] a=7619.56, goal=7897.10, Fs=0.7207, reward=-61.961
[t=72000.0s] a=7637.97, goal=7897.10, Fs=-1.0000, reward=-125.913
[t=84000.0s] a=7646.18, goal=7897.10, Fs=-0.0278, reward=-121.370
[t=96000.0s] a=7659.89, goal=7897.10, Fs=0.2054, reward=-70.775
[t=108000.0s] a=7670.78, goal=7897.10, Fs=-1.0000, reward=-140.631
[t=120000.0s] a=7698.15, goal=7897.10, Fs=0.1942, reward=-78.837
[t=132000.0s] a=7713.91, goal=7897.10, Fs=0.0813, reward=-82.131
[t=144000.0s] a=7731.71, goal=7897.10, Fs=-0.4101, reward=-96.640
[t=156000.0s] a=7737.62, goal=7897.10, Fs=-0.0825, reward=-98.773
[t=168000.0s] a=7750.28, goal=7897.10, Fs=0.3436, reward=-99.118
[t=180000.0s] a=7759.79, goal=7897.10, Fs=0.4946, reward=-105.677
[t=192000.0s] a=7774.61, goal=7897.10, Fs=1.0000, reward=-115.248
[t=204000.0s] a=7772.76, goal=7897.10, Fs=-0.1926, reward=-120.360
[t=216000.0s] a=7787.15, goal=7897.10, Fs=-0.3284, reward=-126.279
[t=228000.0s] a=7791.31, goal=7897.10, Fs=-0.9272, reward=-137.850
[t=240000.0s] a=7790.04, goal=7897.10, Fs=-0.1314, reward=-136.019
[t=252000.0s] a=7782.16, goal=7897.10, Fs=0.7557, reward=-142.051
[t=264000.0s] a=7785.49, goal=7897.10, Fs=1.0000, reward=-150.161
[t=276000.0s] a=7784.10, goal=7897.10, Fs=0.6332, reward=-152.631
[t=288000.0s] a=7790.80, goal=7897.10, Fs=-0.1891, reward=-160.521
[t=300000.0s] a=7791.24, goal=7897.10, Fs=0.2538, reward=-160.123
[t=312000.0s] a=7789.47, goal=7897.10, Fs=-0.7283, reward=-178.046
[t=324000.0s] a=7785.96, goal=7897.10, Fs=0.1855, reward=-171.969
[t=336000.0s] a=7775.57, goal=7897.10, Fs=-1.0000, reward=-194.152
[t=348000.0s] a=7785.18, goal=7897.10, Fs=-0.8905, reward=-198.097
[t=360000.0s] a=7790.00, goal=7897.10, Fs=-1.0000, reward=-204.709
[t=372000.0s] a=7794.39, goal=7897.10, Fs=0.3431, reward=-196.702
[t=384000.0s] a=7794.25, goal=7897.10, Fs=-0.1764, reward=-208.049
[t=396000.0s] a=7799.48, goal=7897.10, Fs=0.0484, reward=-205.245
[t=408000.0s] a=7800.14, goal=7897.10, Fs=-0.6645, reward=-224.341
[t=420000.0s] a=7811.86, goal=7897.10, Fs=0.6673, reward=-222.196
[t=432000.0s] a=7803.32, goal=7897.10, Fs=-0.4481, reward=-233.859
[t=444000.0s] a=7804.19, goal=7897.10, Fs=-0.9737, reward=-245.028
[t=456000.0s] a=7808.43, goal=7897.10, Fs=-0.7300, reward=-248.166
[t=468000.0s] a=7808.07, goal=7897.10, Fs=-1.0000, reward=-256.903
[t=480000.0s] a=7810.96, goal=7897.10, Fs=-0.5349, reward=-257.962
[t=492000.0s] a=7825.28, goal=7897.10, Fs=1.0000, reward=-260.182
[t=504000.0s] a=7824.36, goal=7897.10, Fs=0.5147, reward=-261.420
[t=516000.0s] a=7824.46, goal=7897.10, Fs=0.6080, reward=-268.344
[t=528000.0s] a=7831.22, goal=7897.10, Fs=0.2002, reward=-269.590
[t=540000.0s] a=7836.46, goal=7897.10, Fs=-0.2971, reward=-283.035
[t=552000.0s] a=7844.91, goal=7897.10, Fs=0.8028, reward=-286.247
[t=564000.0s] a=7846.40, goal=7897.10, Fs=-0.8618, reward=-299.688
[t=576000.0s] a=7852.77, goal=7897.10, Fs=-1.0000, reward=-306.433
[t=588000.0s] a=7846.75, goal=7897.10, Fs=-1.0000, reward=-313.034
[t=600000.0s] a=7845.10, goal=7897.10, Fs=0.8765, reward=-310.965
[t=612000.0s] a=7843.97, goal=7897.10, Fs=-1.0000, reward=-325.313
[t=624000.0s] a=7841.13, goal=7897.10, Fs=-0.0137, reward=-321.734
[t=636000.0s] a=7852.11, goal=7897.10, Fs=1.0000, reward=-329.498
[t=648000.0s] a=7865.17, goal=7897.10, Fs=-0.1286, reward=-332.479
[t=660000.0s] a=7868.87, goal=7897.10, Fs=0.0577, reward=-330.400
[t=672000.0s] a=7882.83, goal=7897.10, Fs=0.2780, reward=-337.207
[t=684000.0s] a=7883.35, goal=7897.10, Fs=0.3130, reward=-343.505
