
 ------------------------------------------------- 
[t=12000.0s] a=8317.18, goal=8011.19, Fs=0.8622, reward=-99.221
[t=24000.0s] a=8319.34, goal=8011.19, Fs=0.5740, reward=-102.555
[t=36000.0s] a=8316.60, goal=8011.19, Fs=-0.5055, reward=-50.596
[t=48000.0s] a=8297.14, goal=8011.19, Fs=-1.0000, reward=-59.596
[t=60000.0s] a=8282.89, goal=8011.19, Fs=-0.4966, reward=-59.136
[t=72000.0s] a=8252.17, goal=8011.19, Fs=-1.0000, reward=-67.099
[t=84000.0s] a=8221.31, goal=8011.19, Fs=-1.0000, reward=-70.012
[t=96000.0s] a=8192.15, goal=8011.19, Fs=-0.3144, reward=-66.240
[t=108000.0s] a=8152.84, goal=8011.19, Fs=-0.2849, reward=-68.015
[t=120000.0s] a=8111.60, goal=8011.19, Fs=-0.2560, reward=-69.602
[t=132000.0s] a=8054.84, goal=8011.19, Fs=-0.0605, reward=-67.970
[t=144000.0s] a=8006.35, goal=8011.19, Fs=1.0000, reward=-66.483
[t=156000.0s] a=7967.61, goal=8011.19, Fs=-1.0000, reward=-96.358
[t=168000.0s] a=7929.79, goal=8011.19, Fs=0.5876, reward=-95.015
[t=180000.0s] a=7884.69, goal=8011.19, Fs=-0.9712, reward=-116.362
[t=192000.0s] a=7849.33, goal=8011.19, Fs=-0.5009, reward=-121.194
[t=204000.0s] a=7814.38, goal=8011.19, Fs=0.5187, reward=-123.868
[t=216000.0s] a=7784.34, goal=8011.19, Fs=-1.0000, reward=-194.684
[t=228000.0s] a=7755.68, goal=8011.19, Fs=-0.7532, reward=-201.083
[t=240000.0s] a=7727.77, goal=8011.19, Fs=-1.0000, reward=-212.342
[t=252000.0s] a=7704.12, goal=8011.19, Fs=1.0000, reward=-163.707
[t=264000.0s] a=7682.14, goal=8011.19, Fs=-0.8674, reward=-227.579
[t=276000.0s] a=7665.14, goal=8011.19, Fs=-0.8202, reward=-234.807
[t=288000.0s] a=7664.67, goal=8011.19, Fs=-0.4471, reward=-237.122
[t=300000.0s] a=7668.80, goal=8011.19, Fs=-0.9184, reward=-247.422
[t=312000.0s] a=7673.16, goal=8011.19, Fs=-0.6570, reward=-250.373
[t=324000.0s] a=7669.69, goal=8011.19, Fs=0.8388, reward=-201.538
[t=336000.0s] a=7670.35, goal=8011.19, Fs=0.6406, reward=-205.489
[t=348000.0s] a=7677.11, goal=8011.19, Fs=1.0000, reward=-214.407
[t=360000.0s] a=7697.83, goal=8011.19, Fs=-1.0000, reward=-275.335
[t=372000.0s] a=7712.15, goal=8011.19, Fs=0.0434, reward=-213.337
[t=384000.0s] a=7730.33, goal=8011.19, Fs=0.7228, reward=-224.314
[t=396000.0s] a=7749.48, goal=8011.19, Fs=0.3374, reward=-224.545
[t=408000.0s] a=7788.31, goal=8011.19, Fs=0.6126, reward=-229.413
[t=420000.0s] a=7819.27, goal=8011.19, Fs=-0.6245, reward=-239.437
[t=432000.0s] a=7842.50, goal=8011.19, Fs=0.9836, reward=-239.704
[t=444000.0s] a=7874.57, goal=8011.19, Fs=1.0000, reward=-242.661
[t=456000.0s] a=7920.68, goal=8011.19, Fs=0.0989, reward=-235.040
[t=468000.0s] a=7953.35, goal=8011.19, Fs=0.9003, reward=-245.787
[t=480000.0s] a=7981.80, goal=8011.19, Fs=0.0585, reward=-240.523
 SUCCESS #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7605.64, goal=7893.28, Fs=-0.7551, reward=-96.314
[t=24000.0s] a=7643.74, goal=7893.28, Fs=0.3434, reward=-37.387
[t=36000.0s] a=7682.37, goal=7893.28, Fs=-1.0000, reward=-103.090
[t=48000.0s] a=7733.46, goal=7893.28, Fs=1.0000, reward=-46.981
[t=60000.0s] a=7760.13, goal=7893.28, Fs=0.2527, reward=-42.842
[t=72000.0s] a=7805.10, goal=7893.28, Fs=-0.1778, reward=-50.595
[t=84000.0s] a=7857.20, goal=7893.28, Fs=0.0847, reward=-43.454
[t=96000.0s] a=7905.21, goal=7893.28, Fs=0.4888, reward=-58.081
[t=108000.0s] a=7933.32, goal=7893.28, Fs=0.1245, reward=-63.249
[t=120000.0s] a=7986.27, goal=7893.28, Fs=-0.4606, reward=-70.905
[t=132000.0s] a=8016.52, goal=7893.28, Fs=0.9961, reward=-92.285
[t=144000.0s] a=8046.21, goal=7893.28, Fs=0.3768, reward=-95.061
[t=156000.0s] a=8078.18, goal=7893.28, Fs=-0.1757, reward=-95.248
[t=168000.0s] a=8102.95, goal=7893.28, Fs=0.7069, reward=-166.037
[t=180000.0s] a=8115.49, goal=7893.28, Fs=0.2178, reward=-168.400
[t=192000.0s] a=8113.86, goal=7893.28, Fs=0.7122, reward=-179.180
[t=204000.0s] a=8133.51, goal=7893.28, Fs=-0.0086, reward=-123.109
[t=216000.0s] a=8158.23, goal=7893.28, Fs=0.3154, reward=-191.649
[t=228000.0s] a=8163.96, goal=7893.28, Fs=-0.7409, reward=-145.478
[t=240000.0s] a=8178.90, goal=7893.28, Fs=0.1612, reward=-204.175
[t=252000.0s] a=8181.65, goal=7893.28, Fs=0.5905, reward=-214.743
[t=264000.0s] a=8169.45, goal=7893.28, Fs=-0.5090, reward=-161.707
[t=276000.0s] a=8166.08, goal=7893.28, Fs=0.9837, reward=-229.117
[t=288000.0s] a=8143.82, goal=7893.28, Fs=0.8366, reward=-231.420
[t=300000.0s] a=8119.22, goal=7893.28, Fs=-0.8539, reward=-178.133
[t=312000.0s] a=8098.80, goal=7893.28, Fs=-0.2456, reward=-176.008
[t=324000.0s] a=8068.56, goal=7893.28, Fs=-0.4034, reward=-180.563
[t=336000.0s] a=8049.21, goal=7893.28, Fs=0.4494, reward=-192.087
[t=348000.0s] a=8025.78, goal=7893.28, Fs=-1.0000, reward=-194.250
[t=360000.0s] a=7985.21, goal=7893.28, Fs=0.0686, reward=-193.879
[t=372000.0s] a=7951.60, goal=7893.28, Fs=-0.7586, reward=-196.419
[t=384000.0s] a=7928.64, goal=7893.28, Fs=-1.0000, reward=-202.537
[t=396000.0s] a=7908.31, goal=7893.28, Fs=-0.5763, reward=-202.267
 SUCCESS #2 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8446.07, goal=8091.09, Fs=-1.0000, reward=-48.498
[t=24000.0s] a=8409.53, goal=8091.09, Fs=-0.6840, reward=-47.684
[t=36000.0s] a=8382.73, goal=8091.09, Fs=-0.6891, reward=-51.055
[t=48000.0s] a=8353.05, goal=8091.09, Fs=-0.6291, reward=-53.487
[t=60000.0s] a=8332.58, goal=8091.09, Fs=0.6104, reward=-114.253
[t=72000.0s] a=8288.42, goal=8091.09, Fs=0.4905, reward=-64.639
[t=84000.0s] a=8256.05, goal=8091.09, Fs=-0.6616, reward=-62.111
[t=96000.0s] a=8224.60, goal=8091.09, Fs=0.9455, reward=-74.806
[t=108000.0s] a=8190.60, goal=8091.09, Fs=0.2503, reward=-70.455
[t=120000.0s] a=8147.44, goal=8091.09, Fs=-1.0000, reward=-72.635
[t=132000.0s] a=8097.23, goal=8091.09, Fs=0.1089, reward=-78.703
 SUCCESS #3 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7676.57, goal=8000.78, Fs=-1.0000, reward=-102.422
[t=24000.0s] a=7674.89, goal=8000.78, Fs=0.6593, reward=-48.182
[t=36000.0s] a=7670.53, goal=8000.78, Fs=0.6280, reward=-54.306
[t=48000.0s] a=7674.22, goal=8000.78, Fs=0.6249, reward=-59.905
[t=60000.0s] a=7673.06, goal=8000.78, Fs=-1.0000, reward=-126.772
[t=72000.0s] a=7664.40, goal=8000.78, Fs=-1.0000, reward=-133.638
[t=84000.0s] a=7681.53, goal=8000.78, Fs=-1.0000, reward=-137.926
[t=96000.0s] a=7705.19, goal=8000.78, Fs=-0.6289, reward=-137.848
[t=108000.0s] a=7711.03, goal=8000.78, Fs=0.4650, reward=-84.625
[t=120000.0s] a=7732.51, goal=8000.78, Fs=0.3302, reward=-87.129
[t=132000.0s] a=7744.70, goal=8000.78, Fs=0.4353, reward=-92.961
[t=144000.0s] a=7748.92, goal=8000.78, Fs=0.4799, reward=-98.985
[t=156000.0s] a=7766.47, goal=8000.78, Fs=1.0000, reward=-108.432
[t=168000.0s] a=7785.19, goal=8000.78, Fs=-0.0593, reward=-160.153
[t=180000.0s] a=7808.10, goal=8000.78, Fs=1.0000, reward=-116.269
[t=192000.0s] a=7830.93, goal=8000.78, Fs=-0.5424, reward=-122.409
[t=204000.0s] a=7847.25, goal=8000.78, Fs=0.2045, reward=-116.399
[t=216000.0s] a=7859.15, goal=8000.78, Fs=-0.4061, reward=-130.224
[t=228000.0s] a=7869.84, goal=8000.78, Fs=0.1803, reward=-125.897
[t=240000.0s] a=7885.44, goal=8000.78, Fs=0.2917, reward=-131.452
[t=252000.0s] a=7902.75, goal=8000.78, Fs=-0.3885, reward=-143.688
[t=264000.0s] a=7917.18, goal=8000.78, Fs=0.4410, reward=-141.770
[t=276000.0s] a=7924.13, goal=8000.78, Fs=0.5793, reward=-148.458
[t=288000.0s] a=7929.54, goal=8000.78, Fs=0.5893, reward=-154.017
[t=300000.0s] a=7925.49, goal=8000.78, Fs=-0.6084, reward=-167.614
[t=312000.0s] a=7919.24, goal=8000.78, Fs=-0.2748, reward=-170.902
[t=324000.0s] a=7901.61, goal=8000.78, Fs=0.6152, reward=-175.070
[t=336000.0s] a=7909.07, goal=8000.78, Fs=0.8304, reward=-182.475
[t=348000.0s] a=7897.86, goal=8000.78, Fs=-0.1678, reward=-189.971
[t=360000.0s] a=7905.48, goal=8000.78, Fs=-1.0000, reward=-203.530
[t=372000.0s] a=7896.93, goal=8000.78, Fs=-0.4298, reward=-204.683
[t=384000.0s] a=7906.78, goal=8000.78, Fs=0.4604, reward=-203.005
[t=396000.0s] a=7903.70, goal=8000.78, Fs=-0.1340, reward=-213.049
[t=408000.0s] a=7906.00, goal=8000.78, Fs=1.0000, reward=-220.478
[t=420000.0s] a=7903.31, goal=8000.78, Fs=0.4193, reward=-220.940
[t=432000.0s] a=7897.05, goal=8000.78, Fs=-0.0035, reward=-230.409
[t=444000.0s] a=7895.51, goal=8000.78, Fs=-0.6105, reward=-242.632
[t=456000.0s] a=7892.52, goal=8000.78, Fs=-0.4713, reward=-247.539
[t=468000.0s] a=7903.82, goal=8000.78, Fs=0.0420, reward=-241.116
[t=480000.0s] a=7904.47, goal=8000.78, Fs=0.2013, reward=-248.644
[t=492000.0s] a=7909.03, goal=8000.78, Fs=1.0000, reward=-262.175
[t=504000.0s] a=7896.44, goal=8000.78, Fs=1.0000, reward=-269.435
[t=516000.0s] a=7894.69, goal=8000.78, Fs=-1.0000, reward=-282.610
[t=528000.0s] a=7905.03, goal=8000.78, Fs=-1.0000, reward=-287.575
[t=540000.0s] a=7914.68, goal=8000.78, Fs=0.9425, reward=-285.035
[t=552000.0s] a=7925.71, goal=8000.78, Fs=-0.0331, reward=-287.838
[t=564000.0s] a=7936.34, goal=8000.78, Fs=0.0899, reward=-286.344
[t=576000.0s] a=7937.14, goal=8000.78, Fs=0.7932, reward=-299.296
[t=588000.0s] a=7947.04, goal=8000.78, Fs=1.0000, reward=-306.374
[t=600000.0s] a=7953.98, goal=8000.78, Fs=-0.5891, reward=-314.571
[t=612000.0s] a=7953.59, goal=8000.78, Fs=-0.3574, reward=-318.294
[t=624000.0s] a=7944.18, goal=8000.78, Fs=-0.3717, reward=-325.377
[t=636000.0s] a=7943.72, goal=8000.78, Fs=-0.7312, reward=-335.018
[t=648000.0s] a=7950.69, goal=8000.78, Fs=1.0000, reward=-336.009
[t=660000.0s] a=7953.26, goal=8000.78, Fs=0.7493, reward=-339.246
[t=672000.0s] a=7952.40, goal=8000.78, Fs=-0.4004, reward=-348.842
[t=684000.0s] a=7967.15, goal=8000.78, Fs=0.0479, reward=-342.842
[t=696000.0s] a=7979.69, goal=8000.78, Fs=1.0000, reward=-357.109
[t=708000.0s] a=7989.13, goal=8000.78, Fs=-0.4632, reward=-363.797
 SUCCESS #4 of #4 episodes

 ------------------------------------------------- 
