
 ------------------------------------------------- 
[t=12000.0s] a=8437.57, goal=8219.89, Fs=0.0663, reward=-86.763
[t=24000.0s] a=8434.60, goal=8219.89, Fs=0.8687, reward=-108.502
[t=36000.0s] a=8417.03, goal=8219.89, Fs=-0.6048, reward=-55.786
[t=48000.0s] a=8408.61, goal=8219.89, Fs=-0.7604, reward=-67.279
[t=60000.0s] a=8395.88, goal=8219.89, Fs=-1.0000, reward=-79.600
[t=72000.0s] a=8367.40, goal=8219.89, Fs=-0.3185, reward=-76.529
[t=84000.0s] a=8342.17, goal=8219.89, Fs=0.0468, reward=-86.930
[t=96000.0s] a=8319.73, goal=8219.89, Fs=0.8322, reward=-106.468
[t=108000.0s] a=8288.85, goal=8219.89, Fs=-1.0000, reward=-108.896
[t=120000.0s] a=8266.19, goal=8219.89, Fs=-0.0354, reward=-102.162
[t=132000.0s] a=8236.82, goal=8219.89, Fs=0.5429, reward=-123.836
[t=144000.0s] a=8196.54, goal=8219.89, Fs=0.0814, reward=-120.556
[t=156000.0s] a=8161.74, goal=8219.89, Fs=0.0440, reward=-133.475
[t=168000.0s] a=8125.59, goal=8219.89, Fs=-0.1159, reward=-155.168
[t=180000.0s] a=8092.77, goal=8219.89, Fs=0.2876, reward=-164.026
[t=192000.0s] a=8063.12, goal=8219.89, Fs=1.0000, reward=-187.676
[t=204000.0s] a=8040.68, goal=8219.89, Fs=0.1422, reward=-187.053
[t=216000.0s] a=8010.46, goal=8219.89, Fs=-0.0629, reward=-255.886
[t=228000.0s] a=7970.66, goal=8219.89, Fs=0.8962, reward=-225.366
[t=240000.0s] a=7952.47, goal=8219.89, Fs=0.7204, reward=-234.547
[t=252000.0s] a=7927.48, goal=8219.89, Fs=-1.0000, reward=-308.241
[t=264000.0s] a=7899.86, goal=8219.89, Fs=-0.2555, reward=-309.835
[t=276000.0s] a=7877.05, goal=8219.89, Fs=-1.0000, reward=-333.283
[t=288000.0s] a=7853.81, goal=8219.89, Fs=-1.0000, reward=-345.608
[t=300000.0s] a=7828.18, goal=8219.89, Fs=0.1397, reward=-288.266
[t=312000.0s] a=7814.07, goal=8219.89, Fs=-0.8679, reward=-367.601
[t=324000.0s] a=7785.23, goal=8219.89, Fs=0.4808, reward=-317.679
[t=336000.0s] a=7769.81, goal=8219.89, Fs=-1.0000, reward=-394.008
[t=348000.0s] a=7751.42, goal=8219.89, Fs=-0.7979, reward=-402.815
[t=360000.0s] a=7739.89, goal=8219.89, Fs=0.8307, reward=-357.460
[t=372000.0s] a=7705.45, goal=8219.89, Fs=-0.0685, reward=-416.472
[t=384000.0s] a=7682.47, goal=8219.89, Fs=0.4651, reward=-377.717
[t=396000.0s] a=7669.86, goal=8219.89, Fs=-1.0000, reward=-454.002
[t=408000.0s] a=7655.61, goal=8219.89, Fs=-0.3781, reward=-456.099
[t=420000.0s] a=7636.15, goal=8219.89, Fs=-0.7633, reward=-473.822
[t=432000.0s] a=7625.14, goal=8219.89, Fs=0.3152, reward=-421.202
[t=444000.0s] a=7610.35, goal=8219.89, Fs=-0.1969, reward=-487.908
[t=456000.0s] a=7602.00, goal=8219.89, Fs=-0.9293, reward=-509.729
[t=468000.0s] a=7591.83, goal=8219.89, Fs=-1.0000, reward=-521.806
[t=480000.0s] a=7578.01, goal=8219.89, Fs=-0.3132, reward=-522.886
[t=492000.0s] a=7567.34, goal=8219.89, Fs=-0.0450, reward=-529.930
[t=504000.0s] a=7541.93, goal=8219.89, Fs=-0.7148, reward=-552.517
[t=516000.0s] a=7523.23, goal=8219.89, Fs=-1.0000, reward=-568.666
[t=528000.0s] a=7517.41, goal=8219.89, Fs=-0.6695, reward=-574.290
[t=540000.0s] a=7504.77, goal=8219.89, Fs=-0.5237, reward=-583.367
[t=552000.0s] a=7503.43, goal=8219.89, Fs=-0.8211, reward=-597.963
[t=564000.0s] a=7491.20, goal=8219.89, Fs=-0.5411, reward=-604.985
[t=576000.0s] a=7488.72, goal=8219.89, Fs=-0.4665, reward=-614.114
[t=588000.0s] a=7473.76, goal=8219.89, Fs=0.1840, reward=-564.373
[t=600000.0s] a=7476.04, goal=8219.89, Fs=-0.4709, reward=-635.449
[t=612000.0s] a=7466.04, goal=8219.89, Fs=-1.0000, reward=-654.384
[t=624000.0s] a=7457.68, goal=8219.89, Fs=0.5019, reward=-600.750
[t=636000.0s] a=7446.83, goal=8219.89, Fs=1.0000, reward=-619.306
[t=648000.0s] a=7428.29, goal=8219.89, Fs=0.6329, reward=-625.654
[t=660000.0s] a=7422.94, goal=8219.89, Fs=0.4770, reward=-633.850
[t=672000.0s] a=7411.78, goal=8219.89, Fs=-0.3223, reward=-699.645
[t=684000.0s] a=7401.67, goal=8219.89, Fs=-0.4385, reward=-712.400
[t=696000.0s] a=7396.62, goal=8219.89, Fs=-0.0794, reward=-717.518
[t=708000.0s] a=7393.57, goal=8219.89, Fs=0.8128, reward=-681.823
[t=720000.0s] a=7394.70, goal=8219.89, Fs=0.0353, reward=-680.048
[t=732000.0s] a=7387.52, goal=8219.89, Fs=-0.3033, reward=-751.786
[t=744000.0s] a=7380.14, goal=8219.89, Fs=0.5401, reward=-709.076
[t=756000.0s] a=7379.64, goal=8219.89, Fs=1.0000, reward=-726.025
[t=768000.0s] a=7387.40, goal=8219.89, Fs=1.0000, reward=-735.249
[t=780000.0s] a=7388.89, goal=8219.89, Fs=0.7314, reward=-741.070
[t=792000.0s] a=7387.77, goal=8219.89, Fs=-1.0000, reward=-812.211
[t=804000.0s] a=7381.07, goal=8219.89, Fs=-0.4253, reward=-814.261
[t=816000.0s] a=7375.02, goal=8219.89, Fs=1.0000, reward=-776.487
[t=828000.0s] a=7382.87, goal=8219.89, Fs=-1.0000, reward=-842.702
[t=840000.0s] a=7385.80, goal=8219.89, Fs=0.3517, reward=-785.684
[t=852000.0s] a=7379.40, goal=8219.89, Fs=-0.2730, reward=-852.144
[t=864000.0s] a=7377.74, goal=8219.89, Fs=0.8883, reward=-814.539
 FAILURE #1 of #1 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7571.57, goal=7849.89, Fs=1.0000, reward=-49.832
[t=24000.0s] a=7553.07, goal=7849.89, Fs=-0.7643, reward=-115.147
[t=36000.0s] a=7545.14, goal=7849.89, Fs=0.2525, reward=-61.263
[t=48000.0s] a=7538.38, goal=7849.89, Fs=-0.5219, reward=-132.979
[t=60000.0s] a=7514.38, goal=7849.89, Fs=-0.1774, reward=-140.212
[t=72000.0s] a=7508.03, goal=7849.89, Fs=0.8131, reward=-103.382
[t=84000.0s] a=7501.34, goal=7849.89, Fs=0.9461, reward=-116.046
