
 ------------------------------------------------- 
[t=12000.0s] a=8361.24, goal=7981.06, Fs=-0.6226, reward=-54.356
[t=24000.0s] a=8357.23, goal=7981.06, Fs=-0.8063, reward=-66.712
[t=36000.0s] a=8355.91, goal=7981.06, Fs=-0.3061, reward=-69.077
[t=48000.0s] a=8355.17, goal=7981.06, Fs=-0.5314, reward=-82.381
[t=60000.0s] a=8335.59, goal=7981.06, Fs=-0.2830, reward=-86.698
[t=72000.0s] a=8303.13, goal=7981.06, Fs=0.2440, reward=-149.867
[t=84000.0s] a=8268.90, goal=7981.06, Fs=-1.0000, reward=-110.784
[t=96000.0s] a=8245.62, goal=7981.06, Fs=0.5995, reward=-169.448
[t=108000.0s] a=8218.76, goal=7981.06, Fs=0.4985, reward=-175.247
[t=120000.0s] a=8189.14, goal=7981.06, Fs=1.0000, reward=-189.808
[t=132000.0s] a=8163.05, goal=7981.06, Fs=-0.3559, reward=-130.538
[t=144000.0s] a=8127.85, goal=7981.06, Fs=-0.9767, reward=-146.329
[t=156000.0s] a=8088.53, goal=7981.06, Fs=-1.0000, reward=-152.747
[t=168000.0s] a=8059.88, goal=7981.06, Fs=-1.0000, reward=-159.882
[t=180000.0s] a=8033.32, goal=7981.06, Fs=0.1418, reward=-161.353
[t=192000.0s] a=7985.43, goal=7981.06, Fs=-1.0000, reward=-179.436
[t=204000.0s] a=7945.13, goal=7981.06, Fs=-0.3766, reward=-183.241
[t=216000.0s] a=7912.62, goal=7981.06, Fs=-0.5757, reward=-199.480
[t=228000.0s] a=7886.47, goal=7981.06, Fs=-1.0000, reward=-218.459
[t=240000.0s] a=7856.32, goal=7981.06, Fs=-1.0000, reward=-231.474
[t=252000.0s] a=7834.98, goal=7981.06, Fs=0.1420, reward=-223.737
[t=264000.0s] a=7815.81, goal=7981.06, Fs=-1.0000, reward=-255.525
[t=276000.0s] a=7786.22, goal=7981.06, Fs=-0.9875, reward=-268.296
[t=288000.0s] a=7763.63, goal=7981.06, Fs=0.1187, reward=-260.523
[t=300000.0s] a=7745.04, goal=7981.06, Fs=0.9527, reward=-284.893
[t=312000.0s] a=7720.44, goal=7981.06, Fs=-0.8786, reward=-353.241
[t=324000.0s] a=7701.79, goal=7981.06, Fs=0.0729, reward=-296.020
[t=336000.0s] a=7680.37, goal=7981.06, Fs=-0.4449, reward=-370.743
[t=348000.0s] a=7670.26, goal=7981.06, Fs=-0.4431, reward=-381.726
[t=360000.0s] a=7661.43, goal=7981.06, Fs=-0.9098, reward=-399.611
[t=372000.0s] a=7637.26, goal=7981.06, Fs=-0.5671, reward=-406.886
[t=384000.0s] a=7617.93, goal=7981.06, Fs=-0.0627, reward=-411.254
[t=396000.0s] a=7599.26, goal=7981.06, Fs=-1.0000, reward=-437.180
[t=408000.0s] a=7576.92, goal=7981.06, Fs=-0.1115, reward=-436.086
[t=420000.0s] a=7562.94, goal=7981.06, Fs=-1.0000, reward=-460.812
[t=432000.0s] a=7540.03, goal=7981.06, Fs=-0.8150, reward=-470.327
[t=444000.0s] a=7524.40, goal=7981.06, Fs=0.1404, reward=-414.771
[t=456000.0s] a=7506.32, goal=7981.06, Fs=-1.0000, reward=-496.474
[t=468000.0s] a=7486.94, goal=7981.06, Fs=1.0000, reward=-451.412
[t=480000.0s] a=7473.85, goal=7981.06, Fs=-0.6780, reward=-514.891
[t=492000.0s] a=7455.05, goal=7981.06, Fs=0.1191, reward=-461.388
[t=504000.0s] a=7439.48, goal=7981.06, Fs=-0.0736, reward=-529.263
[t=516000.0s] a=7432.31, goal=7981.06, Fs=-0.0777, reward=-540.041
[t=528000.0s] a=7417.67, goal=7981.06, Fs=1.0000, reward=-508.339
[t=540000.0s] a=7415.97, goal=7981.06, Fs=0.2975, reward=-507.971
[t=552000.0s] a=7409.12, goal=7981.06, Fs=-0.2655, reward=-575.176
[t=564000.0s] a=7392.73, goal=7981.06, Fs=0.5606, reward=-534.241
[t=576000.0s] a=7382.42, goal=7981.06, Fs=0.7037, reward=-547.419
[t=588000.0s] a=7364.51, goal=7981.06, Fs=-1.0000, reward=-620.655
[t=600000.0s] a=7354.20, goal=7981.06, Fs=-0.1057, reward=-618.272
[t=612000.0s] a=7342.55, goal=7981.06, Fs=-1.0000, reward=-642.851
[t=624000.0s] a=7327.31, goal=7981.06, Fs=-1.0000, reward=-654.376
