[t=12000.0s] a=8509, e=0.1968, goal_e=0.0000, Fr=0.3289, Fs=0.2142, reward=215.411
[t=24000.0s] a=8511, e=0.1944, goal_e=0.0000, Fr=0.0963, Fs=-0.1652, reward=31.301
[t=36000.0s] a=8517, e=0.1928, goal_e=0.0000, Fr=0.3522, Fs=0.1981, reward=209.106
[t=48000.0s] a=8513, e=0.1905, goal_e=0.0000, Fr=0.1691, Fs=-0.1021, reward=-165.963
[t=60000.0s] a=8519, e=0.1889, goal_e=0.0000, Fr=0.3568, Fs=0.1830, reward=201.441
[t=72000.0s] a=8514, e=0.1868, goal_e=0.0000, Fr=0.2119, Fs=-0.0282, reward=-160.352
[t=84000.0s] a=8519, e=0.1849, goal_e=0.0000, Fr=0.3384, Fs=0.1483, reward=202.808
[t=96000.0s] a=8513, e=0.1831, goal_e=0.0000, Fr=0.2406, Fs=0.0352, reward=-152.861
[t=108000.0s] a=8519, e=0.1810, goal_e=0.0000, Fr=0.2829, Fs=0.0683, reward=208.525
[t=120000.0s] a=8513, e=0.1794, goal_e=0.0000, Fr=0.2684, Fs=0.0857, reward=-145.282
[t=132000.0s] a=8517, e=0.1772, goal_e=0.0000, Fr=0.1798, Fs=-0.0700, reward=17.955
[t=144000.0s] a=8512, e=0.1756, goal_e=0.0000, Fr=0.2983, Fs=0.1267, reward=37.732
[t=156000.0s] a=8515, e=0.1733, goal_e=0.0000, Fr=0.0600, Fs=-0.2171, reward=210.770
[t=168000.0s] a=8512, e=0.1718, goal_e=0.0000, Fr=0.3274, Fs=0.1575, reward=241.271
[t=180000.0s] a=8512, e=0.1694, goal_e=0.0000, Fr=0.0247, Fs=-0.2553, reward=225.245
[t=192000.0s] a=8512, e=0.1680, goal_e=0.0000, Fr=0.3515, Fs=0.1762, reward=244.925
[t=204000.0s] a=8509, e=0.1656, goal_e=0.0000, Fr=0.0996, Fs=-0.1864, reward=257.225
[t=216000.0s] a=8512, e=0.1641, goal_e=0.0000, Fr=0.3661, Fs=0.1821, reward=248.899
[t=228000.0s] a=8507, e=0.1618, goal_e=0.0000, Fr=0.1763, Fs=-0.1071, reward=-96.495
[t=240000.0s] a=8511, e=0.1602, goal_e=0.0000, Fr=0.3641, Fs=0.1711, reward=253.373
[t=252000.0s] a=8506, e=0.1583, goal_e=0.0000, Fr=0.2210, Fs=-0.0287, reward=-87.222
[t=264000.0s] a=8511, e=0.1564, goal_e=0.0000, Fr=0.3335, Fs=0.1273, reward=258.668
[t=276000.0s] a=8505, e=0.1547, goal_e=0.0000, Fr=0.2515, Fs=0.0380, reward=-79.277
[t=288000.0s] a=8510, e=0.1527, goal_e=0.0000, Fr=0.2574, Fs=0.0239, reward=265.492
[t=300000.0s] a=8504, e=0.1511, goal_e=0.0000, Fr=0.2822, Fs=0.0905, reward=-71.893
[t=312000.0s] a=8508, e=0.1490, goal_e=0.0000, Fr=0.1369, Fs=-0.1297, reward=274.223
[t=324000.0s] a=8504, e=0.1475, goal_e=0.0000, Fr=0.3151, Fs=0.1318, reward=82.870
[t=336000.0s] a=8506, e=0.1453, goal_e=0.0000, Fr=0.0369, Fs=-0.2398, reward=263.492
[t=348000.0s] a=8504, e=0.1439, goal_e=0.0000, Fr=0.3451, Fs=0.1600, reward=286.524
[t=360000.0s] a=8503, e=0.1415, goal_e=0.0000, Fr=0.0582, Fs=-0.2129, reward=271.230
