
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=672000.0s] a=8388, e=0.1076, goal_e=0.2079, Fr=-1.0000, Fs=0.0038, reward=137.637
[t=684000.0s] a=8375, e=0.1075, goal_e=0.2079, Fr=1.0000, Fs=0.2408, reward=119.056
[t=696000.0s] a=8368, e=0.1087, goal_e=0.2079, Fr=-0.4879, Fs=0.2989, reward=114.769
[t=708000.0s] a=8371, e=0.1101, goal_e=0.2079, Fr=-1.0000, Fs=-0.5121, reward=-82.147
[t=720000.0s] a=8362, e=0.1107, goal_e=0.2079, Fr=-1.0000, Fs=-0.0040, reward=111.160
[t=732000.0s] a=8350, e=0.1124, goal_e=0.2079, Fr=-0.6549, Fs=-0.5901, reward=107.498
[t=744000.0s] a=8359, e=0.1148, goal_e=0.2079, Fr=-0.3812, Fs=0.5775, reward=114.183
[t=756000.0s] a=8360, e=0.1176, goal_e=0.2079, Fr=-0.2857, Fs=1.0000, reward=-83.857
[t=768000.0s] a=8368, e=0.1196, goal_e=0.2079, Fr=0.7493, Fs=1.0000, reward=124.716
[t=780000.0s] a=8351, e=0.1217, goal_e=0.2079, Fr=-1.0000, Fs=-0.9596, reward=117.029
[t=792000.0s] a=8346, e=0.1238, goal_e=0.2079, Fr=-0.0948, Fs=0.3181, reward=-81.112
[t=804000.0s] a=8347, e=0.1268, goal_e=0.2079, Fr=-0.3340, Fs=-0.3252, reward=-78.375
[t=816000.0s] a=8343, e=0.1291, goal_e=0.2079, Fr=1.0000, Fs=-0.0902, reward=-77.978
[t=828000.0s] a=8345, e=0.1302, goal_e=0.2079, Fr=-0.5163, Fs=1.0000, reward=123.594
[t=840000.0s] a=8352, e=0.1316, goal_e=0.2079, Fr=-0.3902, Fs=1.0000, reward=-72.877
[t=852000.0s] a=8353, e=0.1333, goal_e=0.2079, Fr=-0.6924, Fs=-0.2680, reward=-70.409
[t=864000.0s] a=8350, e=0.1355, goal_e=0.2079, Fr=0.4679, Fs=-0.9547, reward=-70.475
[t=876000.0s] a=8363, e=0.1385, goal_e=0.2079, Fr=-0.9352, Fs=-1.0000, reward=139.462
[t=888000.0s] a=8342, e=0.1402, goal_e=0.2079, Fr=0.7497, Fs=-1.0000, reward=-68.285
[t=900000.0s] a=8337, e=0.1437, goal_e=0.2079, Fr=-0.8360, Fs=-1.0000, reward=135.381
[t=912000.0s] a=8347, e=0.1455, goal_e=0.2079, Fr=0.4986, Fs=0.3084, reward=140.493
[t=924000.0s] a=8352, e=0.1470, goal_e=0.2079, Fr=0.2651, Fs=-1.0000, reward=-57.370
[t=936000.0s] a=8347, e=0.1495, goal_e=0.2079, Fr=-0.1608, Fs=-1.0000, reward=143.279
[t=948000.0s] a=8347, e=0.1507, goal_e=0.2079, Fr=1.0000, Fs=-1.0000, reward=-56.978
[t=960000.0s] a=8352, e=0.1521, goal_e=0.2079, Fr=0.5189, Fs=0.6358, reward=-52.518
