
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8498, e=0.0632, goal_e=0.0119, Fr=1.0000, Fs=1.0000, reward=18.601
[t=672000.0s] a=8488, e=0.0609, goal_e=0.0119, Fr=-1.0000, Fs=-0.2783, reward=0.049
[t=684000.0s] a=8494, e=0.0599, goal_e=0.0119, Fr=-0.5271, Fs=1.0000, reward=18.725
[t=696000.0s] a=8485, e=0.0587, goal_e=0.0119, Fr=0.3764, Fs=0.1494, reward=-184.456
[t=708000.0s] a=8498, e=0.0568, goal_e=0.0119, Fr=1.0000, Fs=-0.9528, reward=30.247
[t=720000.0s] a=8497, e=0.0554, goal_e=0.0119, Fr=0.9899, Fs=-1.0000, reward=-168.392
[t=732000.0s] a=8487, e=0.0535, goal_e=0.0119, Fr=-0.9961, Fs=-1.0000, reward=-188.001
[t=744000.0s] a=8481, e=0.0524, goal_e=0.0119, Fr=-1.0000, Fs=-0.1090, reward=9.804
[t=756000.0s] a=8500, e=0.0512, goal_e=0.0119, Fr=-0.1853, Fs=1.0000, reward=-159.912
[t=768000.0s] a=8498, e=0.0491, goal_e=0.0119, Fr=-0.4395, Fs=0.3710, reward=45.868
[t=780000.0s] a=8496, e=0.0478, goal_e=0.0119, Fr=-0.2514, Fs=-0.3596, reward=46.112
[t=792000.0s] a=8496, e=0.0462, goal_e=0.0119, Fr=0.0649, Fs=-0.2057, reward=-149.421
[t=804000.0s] a=8496, e=0.0428, goal_e=0.0119, Fr=1.0000, Fs=1.0000, reward=-148.189
[t=816000.0s] a=8505, e=0.0400, goal_e=0.0119, Fr=0.6691, Fs=-0.9967, reward=-145.001
[t=828000.0s] a=8495, e=0.0382, goal_e=0.0119, Fr=1.0000, Fs=0.9097, reward=-143.142
[t=840000.0s] a=8504, e=0.0366, goal_e=0.0119, Fr=-0.4880, Fs=1.0000, reward=61.282
[t=852000.0s] a=8498, e=0.0353, goal_e=0.0119, Fr=-1.0000, Fs=0.1123, reward=85.605
[t=864000.0s] a=8490, e=0.0332, goal_e=0.0119, Fr=-1.0000, Fs=-1.0000, reward=-146.733
[t=876000.0s] a=8493, e=0.0314, goal_e=0.0119, Fr=0.3154, Fs=0.6684, reward=64.544
