
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8525, e=0.2130, goal_e=0.1111, Fr=-0.6664, Fs=0.6067, reward=-64.000
[t=672000.0s] a=8529, e=0.2130, goal_e=0.1111, Fr=-1.0000, Fs=1.0000, reward=214.680
[t=684000.0s] a=8527, e=0.2127, goal_e=0.1111, Fr=-1.0000, Fs=0.3457, reward=-73.972
[t=696000.0s] a=8525, e=0.2122, goal_e=0.1111, Fr=-0.8639, Fs=0.6927, reward=235.222
[t=708000.0s] a=8525, e=0.2118, goal_e=0.1111, Fr=0.3424, Fs=-0.3765, reward=237.832
[t=720000.0s] a=8528, e=0.2127, goal_e=0.1111, Fr=-1.0000, Fs=-1.0000, reward=-81.419
[t=732000.0s] a=8520, e=0.2130, goal_e=0.1111, Fr=0.1153, Fs=0.5112, reward=-39.571
[t=744000.0s] a=8520, e=0.2123, goal_e=0.1111, Fr=-0.9017, Fs=-0.0635, reward=-42.389
[t=756000.0s] a=8522, e=0.2107, goal_e=0.1111, Fr=0.6960, Fs=0.2246, reward=-45.593
[t=768000.0s] a=8522, e=0.2106, goal_e=0.1111, Fr=1.0000, Fs=-0.8532, reward=-46.771
[t=780000.0s] a=8532, e=0.2108, goal_e=0.1111, Fr=-0.7099, Fs=-1.0000, reward=206.753
[t=792000.0s] a=8544, e=0.2096, goal_e=0.1111, Fr=-0.1116, Fs=-0.1037, reward=-150.920
[t=804000.0s] a=8553, e=0.2112, goal_e=0.1111, Fr=0.1176, Fs=-0.3237, reward=-121.391
[t=816000.0s] a=8560, e=0.2109, goal_e=0.1111, Fr=-0.9892, Fs=1.0000, reward=27.497
[t=828000.0s] a=8553, e=0.2106, goal_e=0.1111, Fr=0.2611, Fs=1.0000, reward=-225.139
[t=840000.0s] a=8542, e=0.2116, goal_e=0.1111, Fr=0.3251, Fs=-0.6148, reward=-144.448
[t=852000.0s] a=8559, e=0.2127, goal_e=0.1111, Fr=-0.2202, Fs=0.8290, reward=29.466
[t=864000.0s] a=8550, e=0.2126, goal_e=0.1111, Fr=-0.4369, Fs=1.0000, reward=-1014.091
 FAILURE #4 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8508, e=0.1529, goal_e=0.1034, Fr=-0.0632, Fs=-0.6358, reward=114.735
[t=24000.0s] a=8497, e=0.1531, goal_e=0.1034, Fr=-0.3079, Fs=-0.4848, reward=372.821
[t=36000.0s] a=8498, e=0.1526, goal_e=0.1034, Fr=1.0000, Fs=-1.0000, reward=122.492
[t=48000.0s] a=8496, e=0.1530, goal_e=0.1034, Fr=0.1693, Fs=-1.0000, reward=369.017
[t=60000.0s] a=8501, e=0.1523, goal_e=0.1034, Fr=-0.2818, Fs=-0.3883, reward=125.787
[t=72000.0s] a=8496, e=0.1525, goal_e=0.1034, Fr=-0.0713, Fs=0.9949, reward=169.887
[t=84000.0s] a=8484, e=0.1526, goal_e=0.1034, Fr=0.5874, Fs=-1.0000, reward=336.074
[t=96000.0s] a=8498, e=0.1527, goal_e=0.1034, Fr=1.0000, Fs=0.6486, reward=121.877
[t=108000.0s] a=8506, e=0.1516, goal_e=0.1034, Fr=1.0000, Fs=-1.0000, reward=366.806
[t=120000.0s] a=8507, e=0.1506, goal_e=0.1034, Fr=-1.0000, Fs=0.0564, reward=386.941
[t=132000.0s] a=8514, e=0.1505, goal_e=0.1034, Fr=1.0000, Fs=-0.6122, reward=344.674
[t=144000.0s] a=8504, e=0.1495, goal_e=0.1034, Fr=-0.0702, Fs=-0.5876, reward=127.869
[t=156000.0s] a=8516, e=0.1496, goal_e=0.1034, Fr=-1.0000, Fs=0.5278, reward=91.017
[t=168000.0s] a=8504, e=0.1503, goal_e=0.1034, Fr=0.6323, Fs=-0.2541, reward=126.065
[t=180000.0s] a=8502, e=0.1510, goal_e=0.1034, Fr=-0.0909, Fs=0.2716, reward=128.594
[t=192000.0s] a=8501, e=0.1500, goal_e=0.1034, Fr=-0.9253, Fs=-1.0000, reward=127.365
[t=204000.0s] a=8510, e=0.1499, goal_e=0.1034, Fr=-1.0000, Fs=-0.2193, reward=358.447
[t=216000.0s] a=8512, e=0.1490, goal_e=0.1034, Fr=0.0285, Fs=0.5026, reward=354.969
[t=228000.0s] a=8512, e=0.1485, goal_e=0.1034, Fr=1.0000, Fs=1.0000, reward=109.230
[t=240000.0s] a=8516, e=0.1493, goal_e=0.1034, Fr=0.1650, Fs=0.2082, reward=343.380
[t=252000.0s] a=8526, e=0.1500, goal_e=0.1034, Fr=-1.0000, Fs=-0.3807, reward=289.335
[t=264000.0s] a=8509, e=0.1509, goal_e=0.1034, Fr=-0.6981, Fs=-0.5977, reward=112.706
[t=276000.0s] a=8515, e=0.1508, goal_e=0.1034, Fr=0.6542, Fs=0.0786, reward=116.858
[t=288000.0s] a=8520, e=0.1511, goal_e=0.1034, Fr=-0.6143, Fs=-0.2495, reward=71.110
[t=300000.0s] a=8509, e=0.1497, goal_e=0.1034, Fr=1.0000, Fs=1.0000, reward=360.849
[t=312000.0s] a=8502, e=0.1511, goal_e=0.1034, Fr=1.0000, Fs=-0.4987, reward=372.852
[t=324000.0s] a=8505, e=0.1499, goal_e=0.1034, Fr=0.3660, Fs=-1.0000, reward=124.241
[t=336000.0s] a=8522, e=0.1497, goal_e=0.1034, Fr=0.4105, Fs=0.8108, reward=65.666
[t=348000.0s] a=8525, e=0.1500, goal_e=0.1034, Fr=-0.6053, Fs=-0.2243, reward=52.770
[t=360000.0s] a=8524, e=0.1506, goal_e=0.1034, Fr=-1.0000, Fs=1.0000, reward=51.768
[t=372000.0s] a=8523, e=0.1509, goal_e=0.1034, Fr=0.3987, Fs=-0.1417, reward=58.235
[t=384000.0s] a=8522, e=0.1496, goal_e=0.1034, Fr=0.8146, Fs=-0.7371, reward=64.872
[t=396000.0s] a=8529, e=0.1492, goal_e=0.1034, Fr=-0.6946, Fs=1.0000, reward=275.130
[t=408000.0s] a=8524, e=0.1501, goal_e=0.1034, Fr=1.0000, Fs=-1.0000, reward=52.680
