
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=660000.0s] a=8675, e=0.0421, goal_e=0.1642, Fr=0.1811, Fs=0.4343, reward=-1006.321
[t=672000.0s] a=8679, e=0.0436, goal_e=0.1642, Fr=1.0000, Fs=-0.4508, reward=-1025.309
[t=684000.0s] a=8673, e=0.0433, goal_e=0.1642, Fr=-1.0000, Fs=-0.2017, reward=-1196.847
[t=696000.0s] a=8686, e=0.0447, goal_e=0.1642, Fr=-1.0000, Fs=1.0000, reward=-1255.187
[t=708000.0s] a=8674, e=0.0440, goal_e=0.1642, Fr=1.0000, Fs=-1.0000, reward=-1198.271
[t=720000.0s] a=8687, e=0.0441, goal_e=0.1642, Fr=0.8409, Fs=-0.5391, reward=-1061.646
[t=732000.0s] a=8684, e=0.0435, goal_e=0.1642, Fr=-1.0000, Fs=-0.0297, reward=-1051.178
[t=744000.0s] a=8681, e=0.0424, goal_e=0.1642, Fr=0.9010, Fs=-1.0000, reward=-1036.963
[t=756000.0s] a=8675, e=0.0420, goal_e=0.1642, Fr=-0.0933, Fs=-1.0000, reward=-1207.943
[t=768000.0s] a=8674, e=0.0429, goal_e=0.1642, Fr=-1.0000, Fs=-1.0000, reward=-999.852
[t=780000.0s] a=8673, e=0.0428, goal_e=0.1642, Fr=1.0000, Fs=1.0000, reward=-1198.040
[t=792000.0s] a=8672, e=0.0438, goal_e=0.1642, Fr=-1.0000, Fs=-0.0526, reward=-1191.005
[t=804000.0s] a=8679, e=0.0440, goal_e=0.1642, Fr=-0.7898, Fs=0.2851, reward=-1024.768
[t=816000.0s] a=8693, e=0.0432, goal_e=0.1642, Fr=1.0000, Fs=0.6696, reward=-1295.080
[t=828000.0s] a=8697, e=0.0442, goal_e=0.1642, Fr=-1.0000, Fs=1.0000, reward=-1112.361
[t=840000.0s] a=8687, e=0.0437, goal_e=0.1642, Fr=0.2316, Fs=0.5522, reward=-1260.884
[t=852000.0s] a=8688, e=0.0434, goal_e=0.1642, Fr=-0.4212, Fs=0.3917, reward=-1067.432
[t=864000.0s] a=8695, e=0.0437, goal_e=0.1642, Fr=-1.0000, Fs=-1.0000, reward=-1304.384
[t=876000.0s] a=8698, e=0.0442, goal_e=0.1642, Fr=-0.2444, Fs=-0.5911, reward=-1314.560
[t=888000.0s] a=8705, e=0.0457, goal_e=0.1642, Fr=-0.4444, Fs=-0.6862, reward=-1347.036
[t=900000.0s] a=8717, e=0.0462, goal_e=0.1642, Fr=0.8467, Fs=1.0000, reward=-1410.052
[t=912000.0s] a=8720, e=0.0468, goal_e=0.1642, Fr=-0.2641, Fs=0.8291, reward=-1421.222
[t=924000.0s] a=8723, e=0.0468, goal_e=0.1642, Fr=1.0000, Fs=0.5799, reward=-1439.478
[t=936000.0s] a=8711, e=0.0485, goal_e=0.1642, Fr=0.9033, Fs=-0.1433, reward=-1173.445
[t=948000.0s] a=8710, e=0.0490, goal_e=0.1642, Fr=0.3058, Fs=1.0000, reward=-1370.262
