
 ------------------------------------------------- 
[t=672000.0s] a=8546, e=0.0001, goal_e=0.1522, Fr=0.0707, Fs=0.0063, reward=-130.284
[t=684000.0s] a=8547, e=0.0001, goal_e=0.1522, Fr=0.0786, Fs=0.0067, reward=-137.781
[t=696000.0s] a=8548, e=0.0001, goal_e=0.1522, Fr=0.0870, Fs=0.0071, reward=-145.575
[t=708000.0s] a=8549, e=0.0001, goal_e=0.1522, Fr=0.0958, Fs=0.0074, reward=-153.597
[t=720000.0s] a=8550, e=0.0001, goal_e=0.1522, Fr=0.1049, Fs=0.0076, reward=-161.767
[t=732000.0s] a=8551, e=0.0001, goal_e=0.1522, Fr=0.1144, Fs=0.0078, reward=-169.996
[t=744000.0s] a=8553, e=0.0001, goal_e=0.1522, Fr=0.1241, Fs=0.0079, reward=-178.198
[t=756000.0s] a=8554, e=0.0001, goal_e=0.1522, Fr=0.1339, Fs=0.0079, reward=-186.285
[t=768000.0s] a=8555, e=0.0001, goal_e=0.1522, Fr=0.1436, Fs=0.0078, reward=-194.174
[t=780000.0s] a=8556, e=0.0001, goal_e=0.1522, Fr=0.1533, Fs=0.0076, reward=-201.792
[t=792000.0s] a=8557, e=0.0002, goal_e=0.1522, Fr=0.1627, Fs=0.0074, reward=-209.074
[t=804000.0s] a=8558, e=0.0002, goal_e=0.1522, Fr=0.1717, Fs=0.0071, reward=-215.971
[t=816000.0s] a=8559, e=0.0002, goal_e=0.1522, Fr=0.1804, Fs=0.0067, reward=-222.444
[t=828000.0s] a=8560, e=0.0002, goal_e=0.1522, Fr=0.1886, Fs=0.0063, reward=-228.467
[t=840000.0s] a=8561, e=0.0002, goal_e=0.1522, Fr=0.1962, Fs=0.0059, reward=-234.027
[t=852000.0s] a=8562, e=0.0002, goal_e=0.1522, Fr=0.2033, Fs=0.0054, reward=-239.122
[t=864000.0s] a=8563, e=0.0002, goal_e=0.1522, Fr=0.2098, Fs=0.0050, reward=-1224.099
 FAILURE #1 of #1 episodes
